# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.19
metadata : {}


# id : NWRW1800000026.19.1.1
[조용헌 살롱] (718) 三南의 개성

[조용헌	[/SS+조용헌/NNP
살롱]	살롱/NNG+]/SS
(718)	(/SS+718/SN+)/SS
三南의	三南/SH+의/JKG
개성	개성/NNG


# id : NWRW1800000026.19.2.1
삼남(충청·전라·경상)은 지형도 다르고 물산이 다르므로 거기에 사는 사람의 개성도 각기 다를 수밖에 없다.

삼남(충청·전라·경상)은	삼남/NNP+(/SS+충청/NNP+·/SP+전라/NNP+·/SP+경상/NNP+)/SS+은/JX
지형도	지형/NNG+도/JX
다르고	다르/VA+고/EC
물산이	물산/NNG+이/JKS
다르므로	다르/VA+므로/EC
거기에	거기/NP+에/JKB
사는	살/VV+는/ETM
사람의	사람/NNG+의/JKG
개성도	개성/NNG+도/JX
각기	각기/MAG
다를	다르/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.19.2.2
돈이 갑자기 생기면 쓰는 용도도 각기 다르다고 한다.

돈이	돈/NNG+이/JKS
갑자기	갑자기/MAG
생기면	생기/VV+면/EC
쓰는	쓰/VV+는/ETM
용도도	용도/NNG+도/JX
각기	각기/MAG
다르다고	다르/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.19.2.3
충청도 사람은 돈이 생기면 옷을 사 입는다는 말이 있다.

충청도	충청도/NNP
사람은	사람/NNG+은/JX
돈이	돈/NNG+이/JKS
생기면	생기/VV+면/EC
옷을	옷/NNG+을/JKO
사	사/VV+아/EC
입는다는	입/VV+는다는/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.19.2.4
전라도는 음식을 해 먹고, 경상도는 집을 고친다는 우스갯소리가 있다.

전라도는	전라도/NNP+는/JX
음식을	음식/NNG+을/JKO
해	하/VV+아/EC
먹고,	먹/VV+고/EC+,/SP
경상도는	경상도/NNP+는/JX
집을	집/NNG+을/JKO
고친다는	고치/VV+ㄴ다는/ETM
우스갯소리가	우스갯소리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.19.2.5
의식주에 대한 우선순위가 다르다는 말이다.

의식주에	의식주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우선순위가	우선순위/NNG+가/JKS
다르다는	다르/VA+다는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.3.1
오늘날 보면 유서 깊은 고택들이 영남에 주로 보존되어 있다.

오늘날	오늘날/NNG
보면	보/VV+면/EC
유서	유서/NNG
깊은	깊/VA+은/ETM
고택들이	고택/NNG+들/XSN+이/JKS
영남에	영남/NNP+에/JKB
주로	주로/MAG
보존되어	보존/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.19.3.2
어림잡아 전국 고택의 60%가량은 경상도에 남아 있지 않나 싶다.

어림잡아	어림잡/VV+아/EC
전국	전국/NNG
고택의	고택/NNG+의/JKG
60%가량은	60/SN+%/SW+가량/XSN+은/JX
경상도에	경상도/NNP+에/JKB
남아	남/VV+아/EC
있지	있/VX+지/EC
않나	않/VX+나/EF
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000026.19.3.3
경상도가 특별히 돈이 많았던 지역도 아닌데, 이처럼 좋은 기와집들이 많이 보존되어 있는 이유는 무엇인가.

경상도가	경상도/NNP+가/JKS
특별히	특별히/MAG
돈이	돈/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
지역도	지역/NNG+도/JX
아닌데,	아니/VCN+ㄴ데/EC+,/SP
이처럼	이/NP+처럼/JKB
좋은	좋/VA+은/ETM
기와집들이	기와집/NNG+들/XSN+이/JKS
많이	많이/MAG
보존되어	보존/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
이유는	이유/NNG+는/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.19.3.4
문중의 결속과 가풍의 보존을 중시하는 퇴계학풍의 영향도 있었다고 본다.

문중의	문중/NNG+의/JKG
결속과	결속/NNG+과/JC
가풍의	가풍/NNG+의/JKG
보존을	보존/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
