# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.43
metadata : {}


# id : NWRW1800000026.43.1.1
[부산·경남] 남해군 '금수강산 물려주기' 가시적 성과;납골평장묘역 큰 호응… 화장률 68% 전국 최고

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
남해군	남해군/NNP
'금수강산	'/SS+금수강산/NNG
물려주기'	물려주/VV+기/ETN+'/SS
가시적	가시/NNG+적/XSN
성과;납골평장묘역	성과/NNG+;/SW+납골/NNG+평장/NNG+묘역/NNG
큰	크/VA+ㄴ/ETM
호응…	호응/NNG+…/SE
화장률	화장/NNG+률/XSN
68%	68/SN+%/SW
전국	전국/NNG
최고	최고/NNG


# id : NWRW1800000026.43.2.1
경남 남해군 서면 연죽리 10만㎡의 남해추모누리.

경남	경남/NNP
남해군	남해군/NNP
서면	서면/NNP
연죽리	연죽리/NNP
10만㎡의	10/SN+만/NR+㎡/SW+의/JKG
남해추모누리.	남해추모누리/NNP+./SF


# id : NWRW1800000026.43.2.2
매장묘역 5곳과 납골당·화장장·장례식장 등을 두루 갖춘 추모누리는 남해군이 지난 97년부터 48억여원을 들여 조성한 종합장례시설이다.

매장묘역	매장/NNG+묘역/NNG
5곳과	5/SN+곳/NNG+과/JC
납골당·화장장·장례식장	납골당/NNG+·/SP+화장장/NNG+·/SP+장례식장/NNG
등을	등/NNB+을/JKO
두루	두루/MAG
갖춘	갖추/VV+ㄴ/ETM
추모누리는	추모누리/NNP+는/JX
남해군이	남해군/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
97년부터	97/SN+년/NNB+부터/JX
48억여원을	48/SN+억/NR+여/XSN+원/NNB+을/JKO
들여	들이/VV+어/EC
조성한	조성/NNG+하/XSV+ㄴ/ETM
종합장례시설이다.	종합/NNG+장례/NNG+시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.43.3.1
추모누리 한쪽 양지 바른 곳에 자리잡은 납골평장묘역에는 20×30㎝ 크기의 비석이 일정한 간격으로 지면에 누워 있다.

추모누리	추모누리/NNP
한쪽	한쪽/NNG
양지	양지/NNG
바른	바르/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
자리잡은	자리/NNG+잡/VV+은/ETM
납골평장묘역에는	납골/NNG+평장/NNG+묘역/NNG+에/JKB+는/JX
20×30㎝	20/SN+×/SW+30/SN+㎝/SW
크기의	크기/NNG+의/JKG
비석이	비석/NNG+이/JKS
일정한	일정/NNG+하/XSA+ㄴ/ETM
간격으로	간격/NNG+으로/JKB
지면에	지면/NNG+에/JKB
누워	눕/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.43.3.2
오석으로 만든 와비(臥碑)에는 고인과 유족들의 이름 등이 새겨져 있고, 와비 사이에는 잔디가 깔려 있다.

오석으로	오석/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
와비(臥碑)에는	와비/NNG+(/SS+臥碑/SH+)/SS+에/JKB+는/JX
고인과	고인/NNG+과/JKB
유족들의	유족/NNG+들/XSN+의/JKG
이름	이름/NNG
등이	등/NNB+이/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있고,	있/VX+고/EC+,/SP
와비	와비/NNG
사이에는	사이/NNG+에/JKB+는/JX
잔디가	잔디/NNG+가/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.43.4.1
납골평장은 남해군이 화장을 장려하기 위해 2004년에 도입한 시책.

납골평장은	납골/NNG+평장/NNG+은/JX
남해군이	남해군/NNP+이/JKS
