# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.380
metadata : {}


# id : NWRW1800000024.380.1.1
소상민·코르키 감독 ‘뉴커런츠’ 영예

소상민·코르키	소상민/NNP+·/SP+코르키/NNP
감독	감독/NNG
‘뉴커런츠’	‘/SS+뉴커런츠/NNG+’/SS
영예	영예/NNG


# id : NWRW1800000024.380.2.1
제14회 부산국제영화제(PIFF)의 아시아 장편영화 경쟁부문인 ‘뉴 커런츠’상은 한국 소상민 감독의 <나는 곤경에 처했다>와 이라크 샤우캇 아민 코르키(왼쪽) 감독의 <킥 오프> 2편에 돌아갔다.

제14회	제/XPN+14/SN+회/NNB
부산국제영화제(PIFF)의	부산/NNP+국제/NNG+영화제/NNG+(/SS+PIFF/SL+)/SS+의/JKG
아시아	아시아/NNP
장편영화	장편/NNG+영화/NNG
경쟁부문인	경쟁/NNG+부문/NNG+이/VCP+ㄴ/ETM
‘뉴	‘/SS+뉴/NNG
커런츠’상은	커런츠/NNG+’/SS+상/NNG+은/JX
한국	한국/NNP
소상민	소상민/NNP
감독의	감독/NNG+의/JKG
<나는	</SS+나/NP+는/JX
곤경에	곤경/NNG+에/JKB
처했다>와	처하/VV+았/EP+다/EF+>/SS+와/JC
이라크	이라크/NNP
샤우캇	샤우캇/NNP
아민	아민/NNP
코르키(왼쪽)	코르키/NNP+(/SS+왼쪽/NNG+)/SS
<킥	</SS+킥/NNP
오프>	오프/NNP+>/SS
2편에	2/SN+편/NNB+에/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.380.3.1
김동호 공동집행위원장은 16일 오전 부산영화제 결산 기자회견에서 수상작을 발표하고 각각 3만달러의 상금을 수여한다고 밝혔다.

김동호	김동호/NNP
공동집행위원장은	공동/NNG+집행/NNG+위원장/NNG+은/JX
16일	16/SN+일/NNB
오전	오전/NNG
부산영화제	부산/NNP+영화제/NNG
결산	결산/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
수상작을	수상작/NNG+을/JKO
