# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.249
metadata : {}


# id : NWRW1800000045.249.1.1
[윤승옥 기자의 야구&]관중석의 회장님, 감독석의 회장님

[윤승옥	[/SS+윤승옥/NNP
기자의	기자/NNG+의/JKG
야구&]관중석의	야구/NNG+&/SW+]/SS+관중석/NNG+의/JKG
회장님,	회장/NNG+님/XSN+,/SP
감독석의	감독석/NNG+의/JKG
회장님	회장/NNG+님/XSN


# id : NWRW1800000045.249.2.1
두산그룹 박용만 회장은 지난주 한국시리즈 3차전 때 일반석에서 팬들과 똑같이 비를 맞아가며 응원을 펼쳐 화제가 됐다.

두산그룹	두산그룹/NNP
박용만	박용만/NNP
회장은	회장/NNG+은/JX
지난주	지난주/NNG
한국시리즈	한국/NNP+시리즈/NNG
3차전	3/SN+차전/NNB
때	때/NNG
일반석에서	일반석/NNG+에서/JKB
팬들과	팬/NNG+들/XSN+과/JKB
똑같이	똑같이/MAG
비를	비/NNG+를/JKO
맞아가며	맞/VV+아/EC+가/VX+며/EC
응원을	응원/NNG+을/JKO
펼쳐	펼치/VV+어/EC
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.249.2.2
야구단에 대한 평소 철학이 그대로 묻어나는 장면이었다.

야구단에	야구단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평소	평소/NNG
철학이	철학/NNG+이/JKS
그대로	그대로/MAG
묻어나는	묻어나/VV+는/ETM
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.249.2.3
그는 두산이 14년 만에 한국시리즈 정상에 오른 직후 “나는 야구를 좋아하지만 팬의 한 사람으로서 좋아하는 것이지, 야구단 운영에서는 전문가가 아니다”고 말했다.

그는	그/NP+는/JX
두산이	두산/NNP+이/JKS
14년	14/SN+년/NNB
만에	만/NNB+에/JKB
한국시리즈	한국/NNP+시리즈/NNG
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
직후	직후/NNG
“나는	“/SS+나/NP+는/JX
야구를	야구/NNG+를/JKO
좋아하지만	좋아하/VV+지만/EC
팬의	팬/NNG+의/JKG
한	한/MMN
