# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.245
metadata : {}


# id : NWRW1800000025.245.1.1
남양주 별내지구 1700채 연내 분양

남양주	남양주/NNP
별내지구	별내지구/NNP
1700채	1700/SN+채/NNB
연내	연내/NNG
분양	분양/NNG


# id : NWRW1800000025.245.2.1
올해 분양을 앞둔 수도권 인기 지역 중 하나로 꼽히는 경기 남양주시 별내지구에 마지막 아파트 단지가 공급을 앞두고 있다.

올해	올해/NNG
분양을	분양/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
수도권	수도/NNG+권/XSN
인기	인기/NNG
지역	지역/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
경기	경기/NNP
남양주시	남양주시/NNP
별내지구에	별내지구/NNP+에/JKB
마지막	마지막/NNG
아파트	아파트/NNG
단지가	단지/NNG+가/JKS
공급을	공급/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.245.2.2
별내지구는 서울과 맞닿아 있기 때문에 접근성이 뛰어나 주목받고 있는 지역이다.

별내지구는	별내지구/NNP+는/JX
서울과	서울/NNP+과/JKB
맞닿아	맞닿/VV+아/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
접근성이	접근/NNG+성/XSN+이/JKS
뛰어나	뛰어나/VA+아/EC
주목받고	주목/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.245.2.3
경춘선, 지하철 8호선 등과 연결돼 있고 지구 가운데로 서울외곽순환고속도로가 지나가 교통이 편리하다.

경춘선,	경춘선/NNP+,/SP
지하철	지하철/NNG
8호선	8/SN+호선/NNB
등과	등/NNB+과/JKB
연결돼	연결/NNG+되/XSV+어/EC
있고	있/VX+고/EC
지구	지구/NNG
가운데로	가운데/NNG+로/JKB
서울외곽순환고속도로가	서울외곽순환고속도로/NNP+가/JKS
지나가	지나가/VV+아/EC
교통이	교통/NNG+이/JKS
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.245.3.1
실제 5월 한화건설이 분양한 A19블록의 ‘한화 꿈에그린 더스타’는 최고 8 대 1의 청약경쟁률을 보이며 1순위 청약을 모두 마감했다.

실제	실제/MAG
5월	5/SN+월/NNB
한화건설이	한화건설/NNP+이/JKS
분양한	분양/NNG+하/XSV+ㄴ/ETM
A19블록의	A/SL+19/SN+블록/NNG+의/JKG
‘한화	‘/SS+한화/NNP
꿈에그린	꿈에그린/NNP
더스타’는	더스타/NNP+’/SS+는/JX
최고	최고/NNG
8	8/SN
대	대/NNB
1의	1/SN+의/JKG
청약경쟁률을	청약/NNG+경쟁/NNG+률/XSN+을/JKO
보이며	보이/VV+며/EC
1순위	1/SN+순위/NNG
청약을	청약/NNG+을/JKO
모두	모두/MAG
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.245.3.2
여기에 정부가 8·29 부동산대책을 내놓음에 따라 남아 있는 별내지구 분양에 관심이 모아지고 있는 것.

여기에	여기/NP+에/JKB
정부가	정부/NNG+가/JKS
8·29	8/SN+·/SP+29/SN
부동산대책을	부동산/NNG+대책/NNG+을/JKO
내놓음에	내놓/VV+음/ETN+에/JKB
따라	따르/VV+아/EC
남아	남/VV+아/EC
있는	있/VX+는/ETM
별내지구	별내지구/NNP
분양에	분양/NNG+에/JKB
관심이	관심/NNG+이/JKS
모아지고	모으/VV+아/EC+지/VX+고/EC
것.	것/NNB+./SF


# id : NWRW1800000025.245.3.3
이미영 스피드뱅크 팀장은 “별내지구를 포함한 하반기 분양 단지는 입지 여건이 우수하면서 분양가도 크게 낮아 실수요자를 중심으로 인기를 끌 것”이라고 말했다.

이미영	이미영/NNP
