# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.90
metadata : {}


# id : NWRW1800000029.90.1.1
대림, 필리핀 정유플랜트 20억달러 수주… 동남아지역 최대규모

대림,	대림/NNP+,/SP
필리핀	필리핀/NNP
정유플랜트	정유/NNG+플랜트/NNG
20억달러	20/SN+억/NR+달러/NNB
수주…	수주/NNG+…/SE
동남아지역	동남아/NNP+지역/NNG
최대규모	최대/NNG+규모/NNG


# id : NWRW1800000029.90.2.1
대림산업이 필리핀에서 20억 달러(원-달러 환율 1125원 기준·약 2조2500억 원) 규모의 정유플랜트 공사를 수주했다.

대림산업이	대림산업/NNP+이/JKS
필리핀에서	필리핀/NNP+에서/JKB
20억	20/SN+억/NR
달러(원-달러	달러/NNB+(/SS+원/NNG+-/SO+달러/NNG
환율	환율/NNG
1125원	1125/SN+원/NNB
기준·약	기준/NNG+·/SP+약/MMA
2조2500억	2/SN+조/NR+2500/SN+억/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
정유플랜트	정유/NNG+플랜트/NNG
공사를	공사/NNG+를/JKO
수주했다.	수주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.90.2.2
국내 건설사가 동남아시아지역에서 수주한 공사 가운데 최대 규모다.

국내	국내/NNG
건설사가	건설사/NNG+가/JKS
동남아시아지역에서	동남아시아지역/NNP+에서/JKB
수주한	수주/NNG+하/XSV+ㄴ/ETM
공사	공사/NNG
가운데	가운데/NNG
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.90.3.1
대림산업은 필리핀의 주요 정유회사 가운데 하나인 페트론사가 발주한 ‘페트론 리파이너리 마스터플랜 2단계’ 사업의 착공 지시서를 접수했다고 15일 밝혔다.

대림산업은	대림산업/NNP+은/JX
필리핀의	필리핀/NNP+의/JKG
주요	주요/NNG
정유회사	정유/NNG+회사/NNG
가운데	가운데/NNG
하나인	하나/NR+이/VCP+ㄴ/ETM
페트론사가	페트론사/NNP+가/JKS
발주한	발주/NNG+하/XSV+ㄴ/ETM
‘페트론	‘/SS+페트론/NNP
리파이너리	리파이너리/NNG
마스터플랜	마스터플랜/NNG
2단계’	2/SN+단계/NNG+’/SS
사업의	사업/NNG+의/JKG
착공	착공/NNG
지시서를	지시서/NNG+를/JKO
접수했다고	접수/NNG+하/XSV+았/EP+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.90.3.2
착공 지시서는 건설공사를 시작하라는 내용을 담은 것으로 계약서에 준한 법적 구속력을 갖는 것으로 알려졌다.

착공	착공/NNG
지시서는	지시서/NNG+는/JX
건설공사를	건설/NNG+공사/NNG+를/JKO
시작하라는	시작/NNG+하/XSV+라는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
것으로	것/NNB+으로/JKB
계약서에	계약서/NNG+에/JKB
준한	준하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
구속력을	구속력/NNG+을/JKO
갖는	갖/VV+는/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.90.3.3
대림은 이달 안에 설계 시공 자재구매를 일괄적으로 맡는 내용을 담은 본계약을 할 것으로 예상했다.

대림은	대림/NNP+은/JX
이달	이달/NNG
안에	안/NNG+에/JKB
설계	설계/NNG
시공	시공/NNG
자재구매를	자재/NNG+구매/NNG+를/JKO
일괄적으로	일괄/NNG+적/XSN+으로/JKB
맡는	맡/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
본계약을	본계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.90.4.1
