# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.191
metadata : {}


# id : NWRW1800000022.191.1.1
"피보다 돈" 포르쉐·폴크스바겐 전쟁;합병, 집안싸움으로 난항 따져보면 대주주는 사촌간 서로 회사 주도하려 다퉈

"피보다	"/SS+피/NNG+보다/JKB
돈"	돈/NNG+"/SS
포르쉐·폴크스바겐	포르쉐/NNP+·/SP+폴크스바겐/NNP
전쟁;합병,	전쟁/NNG+;/SW+합병/NNG+,/SP
집안싸움으로	집안싸움/NNG+으로/JKB
난항	난항/NNG
따져보면	따지/VV+어/EC+보/VX+면/EC
대주주는	대/XPN+주주/NNG+는/JX
사촌간	사촌/NNG+간/NNB
서로	서로/MAG
회사	회사/NNG
주도하려	주도/NNG+하/XSV+려/EC
다퉈	다투/VV+어/EF


# id : NWRW1800000022.191.2.1
지난 6일 자동차업체 '포르쉐사(社)'와 '폴크스바겐사'는 두 회사의 합병 계획을 발표했다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
자동차업체	자동차/NNG+업체/NNG
'포르쉐사(社)'와	'/SS+포르쉐사/NNP+(/SS+社/SH+)/SS+'/SS+와/JC
'폴크스바겐사'는	'/SS+폴크스바겐사/NNP+'/SS+는/JX
두	두/MMN
회사의	회사/NNG+의/JKG
합병	합병/NNG
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.191.2.2
미국 GM(제너럴모터스)사의 파산 전망 등 세계 자동차업계의 지각변동이 예상되는 가운데, 몸집 불리기를 통해 위기를 극복하겠다는 계산이다.

미국	미국/NNP
GM(제너럴모터스)사의	GM/SL+(/SS+제너럴모터스/NNP+)/SS+사/NNG+의/JKG
파산	파산/NNG
전망	전망/NNG
등	등/NNB
세계	세계/NNG
자동차업계의	자동차업/NNG+계/XSN+의/JKG
지각변동이	지각/NNG+변동/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
가운데,	가운데/NNG+,/SP
몸집	몸집/NNG
불리기를	불리/VV+기/ETN+를/JKO
통해	통하/VV+아/EC
위기를	위기/NNG+를/JKO
극복하겠다는	극복/NNG+하/XSV+겠/EP+다는/ETM
