# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.277
metadata : {}


# id : NWRW1800000033.277.1.1
[오늘과 내일/하태원] 중국이라는 벽에 대고 말하기

[오늘과	[/SS+오늘/NNG+과/JC
내일/하태원]	내일/NNG+//SP+하태원/NNP+]/SS
중국이라는	중국/NNP+이/VCP+라는/ETM
벽에	벽/NNG+에/JKB
대고	대/VV+고/EC
말하기	말/NNG+하/XSV+기/ETN


# id : NWRW1800000033.277.2.1
1990년대 중반 이후 북한 상황이 급박하지 않은 적이 없었지만 미국 버락 오바마 행정부가 들어선 2009, 2010년의 한반도 상황은 장거리 로켓 발사, 핵 실험, 천안함 폭침, 연평도 포격을 거치며 긴장이 최고조에 달했다.

1990년대	1990/SN+년대/NNB
중반	중반/NNG
이후	이후/NNG
북한	북한/NNP
상황이	상황/NNG+이/JKS
급박하지	급박/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
적이	적/NNB+이/JKS
없었지만	없/VA+었/EP+지만/EC
미국	미국/NNP
버락	버락/NNP
오바마	오바마/NNP
행정부가	행정부/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
2009,	2009/SN+,/SP
2010년의	2010/SN+년/NNB+의/JKG
한반도	한반도/NNP
상황은	상황/NNG+은/JX
장거리	장거리/NNG
로켓	로켓/NNG
발사,	발사/NNG+,/SP
핵	핵/NNG
실험,	실험/NNG+,/SP
천안함	천안함/NNP
폭침,	폭침/NNG+,/SP
연평도	연평도/NNP
포격을	포격/NNG+을/JKO
거치며	거치/VV+며/EC
긴장이	긴장/NNG+이/JKS
최고조에	최/XPN+고조/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.277.2.2
최근 제프리 베이더 전 백악관 국가안보회의(NSC) 아시아담당 선임보좌관이 내놓은 책 ‘오바마와 중국의 부상’에는 한 치 앞을 내다볼 수 없도록 격화하던 위기상황을 관리하기 위한 미국 권력 심층부의 노력이 세세히 묘사됐다.

최근	최근/MAG
제프리	제프리/NNP
베이더	베이더/NNP
전	전/MMD
백악관	백악관/NNP
국가안보회의(NSC)	국가안보회의/NNP+(/SS+NSC/SL+)/SS
아시아담당	아시아/NNP+담당/NNG
선임보좌관이	선임/NNG+보좌관/NNG+이/JKS
내놓은	내놓/VV+은/ETM
책	책/NNG
‘오바마와	‘/SS+오바마/NNP+와/JC
중국의	중국/NNP+의/JKG
부상’에는	부상/NNG+’/SS+에/JKB+는/JX
한	한/MMN
치	치/NNB
앞을	앞/NNG+을/JKO
내다볼	내다보/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
격화하던	격화/NNG+하/XSV+던/ETM
위기상황을	위기/NNG+상황/NNG+을/JKO
관리하기	관리/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
미국	미국/NNP
권력	권력/NNG
심층부의	심층부/NNG+의/JKG
노력이	노력/NNG+이/JKS
세세히	세세히/MAG
묘사됐다.	묘사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.277.3.1
북한의 기습적인 170발 포사격으로 민간인 2명과 군인 2명을 잃고 절치부심하던 우리 군은 북한의 보복위협에도 불구하고 2010년 12월 연평도 사격훈련 재개를 결심했다.

북한의	북한/NNP+의/JKG
기습적인	기습/NNG+적/XSN+이/VCP+ㄴ/ETM
170발	170/SN+발/NNB
포사격으로	포/NNG+사격/NNG+으로/JKB
민간인	민간인/NNG
2명과	2/SN+명/NNB+과/JC
군인	군인/NNG
2명을	2/SN+명/NNB+을/JKO
잃고	잃/VV+고/EC
절치부심하던	절치부심/NNG+하/XSV+던/ETM
우리	우리/NP
군은	군/NNG+은/JX
보복위협에도	보복/NNG+위협/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
연평도	연평도/NNP
사격훈련	사격/NNG+훈련/NNG
재개를	재개/NNG+를/JKO
