# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.199
metadata : {}


# id : NWRW1800000056.199.1.1
미국·독일 사례 보니…법관 사이 ‘성골·진골’ 없다

미국·독일	미국/NNP+·/SP+독일/NNP
사례	사례/NNG
보니…법관	보/VV+니/EC+…/SE+법관/NNG
사이	사이/NNG
‘성골·진골’	‘/SS+성골/NNG+·/SP+진골/NNG+’/SS
없다	없/VA+다/EF


# id : NWRW1800000056.199.2.1
[한겨레] 25일 국제인권법연구회가 연 학술대회에선 대법원장 인사권 독점에 대한 일종의 대안으로 미국과 독일 법관 인사제도가 소개됐다.

[한겨레]	[/SS+한겨레/NNP+]/SS
25일	25/SN+일/NNB
국제인권법연구회가	국제/NNG+인권법/NNG+연구회/NNG+가/JKS
연	열/VV+ㄴ/ETM
학술대회에선	학술/NNG+대회/NNG+에서/JKB+ㄴ/JX
대법원장	대법원장/NNG
인사권	인사/NNG+권/XSN
독점에	독점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
대안으로	대안/NNG+으로/JKB
미국과	미국/NNP+과/JC
독일	독일/NNP
법관	법관/NNG
인사제도가	인사/NNG+제도/NNG+가/JKS
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.199.2.2
독일 법관 인사제도 관련 발표를 맡은 이종수 연세대 법학전문대학원 교수는 “우리나라처럼 대법원장이 법관 인사를 좌지우지하는 경우는 드물다.

독일	독일/NNP
법관	법관/NNG
인사제도	인사/NNG+제도/NNG
관련	관련/NNG
발표를	발표/NNG+를/JKO
맡은	맡/VV+은/ETM
이종수	이종수/NNP
연세대	연세대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“우리나라처럼	“/SS+우리나라/NNG+처럼/JKB
대법원장이	대법원장/NNG+이/JKS
인사를	인사/NNG+를/JKO
좌지우지하는	좌지우지/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000056.199.2.3
대법원 중심의 사법부 독립성이 강조되면서 법원행정처 등에 의한 사법부 내부의 법관 인사가 당연하게 여겨져왔다.

대법원	대/XPN+법원/NNG
중심의	중심/NNG+의/JKG
사법부	사법부/NNG
독립성이	독립/NNG+성/XSN+이/JKS
강조되면서	강조/NNG+되/XSV+면서/EC
법원행정처	법원/NNG+행정처/NNG
등에	등/NNB+에/JKB
의한	의하/VV+ㄴ/ETM
내부의	내부/NNG+의/JKG
법관	법관/NNG
인사가	인사/NNG+가/JKS
당연하게	당연/NNG+하/XSA+게/EC
여겨져왔다.	여기/VV+어/EC+지/VX+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.199.2.4
사법부는 형식적으로 독립됐을지 몰라도 법관의 독립은 기대만큼 확보되지 못했다”고 꼬집었다.

사법부는	사법부/NNG+는/JX
형식적으로	형식/NNG+적/XSN+으로/JKB
독립됐을지	독립/NNG+되/XSV+었/EP+을지/EF
몰라도	모르/VV+아도/EC
법관의	법관/NNG+의/JKG
독립은	독립/NNG+은/JX
기대만큼	기대/NNG+만큼/JKB
확보되지	확보/NNG+되/XSV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.199.3.1
이 교수는 독일에선 법원 내 사무분담이 상향식으로 정해진다는 점에 주목했다.

이	이/NNP
교수는	교수/NNG+는/JX
독일에선	독일/NNP+에서/JKB+ㄴ/JX
법원	법원/NNG
내	내/NNB
사무분담이	사무/NNG+분담/NNG+이/JKS
상향식으로	상향식/NNG+으로/JKB
정해진다는	정하/VV+아/EC+지/VX+ㄴ다는/ETM
점에	점/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.3.2
이 교수는 “독일의 경우 행정부처에서 사법행정을 주관하지만, 법원 내 사무분담은 각급 법원의 법원운영위원회에서 맡는다.

이	이/NNP
교수는	교수/NNG+는/JX
“독일의	“/SS+독일/NNP+의/JKG
경우	경우/NNG
행정부처에서	행정/NNG+부처/NNG+에서/JKB
사법행정을	사법/NNG+행정/NNG+을/JKO
주관하지만,	주관/NNG+하/XSV+지만/EC+,/SP
법원	법원/NNG
내	내/NNB
사무분담은	사무/NNG+분담/NNG+은/JX
각급	각급/NNG
법원의	법원/NNG+의/JKG
법원운영위원회에서	법원/NNG+운영/NNG+위원회/NNG+에서/JKB
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000056.199.3.3
법관들 사이에서 선출된 위원들이 사무분담 관련 법관들의 의견을 사전에 청취한다”고 했다.

법관들	법관/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
위원들이	위원/NNG+들/XSN+이/JKS
사무분담	사무/NNG+분담/NNG
관련	관련/NNG
법관들의	법관/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
사전에	사전/NNG+에/JKB
청취한다”고	청취/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.3.4
한국 사법부에선 판사회의가 비슷한 기능을 하지만, 통상 법원장과 수석부 등에 의해 정해진 사무분담을 사후 ‘추인’하는 데 그쳐왔다는 점에서 차이가 있다.

한국	한국/NNP
사법부에선	사법부/NNG+에서/JKB+ㄴ/JX
판사회의가	판사/NNG+회의/NNG+가/JKS
비슷한	비슷하/VA+ㄴ/ETM
기능을	기능/NNG+을/JKO
하지만,	하/VV+지만/EC+,/SP
통상	통상/MAG
법원장과	법원장/NNG+과/JC
수석부	수석부/NNG
등에	등/NNB+에/JKB
의해	의하/VV+아/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
사무분담을	사무/NNG+분담/NNG+을/JKO
사후	사후/NNG
‘추인’하는	‘/SS+추인/NNG+’/SS+하/XSV+는/ETM
데	데/NNB
그쳐왔다는	그치/VV+어/EC+오/VX+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.199.4.1
‘미국 사법부의 독립성과 책무성’이란 주제로 발표한 강용승 연세대 교수는 한국 사법부의 법관 서열화를 핵심 문제로 꼽았다.

‘미국	‘/SS+미국/NNP
사법부의	사법부/NNG+의/JKG
독립성과	독립/NNG+성/XSN+과/JC
책무성’이란	책무/NNG+성/XSN+’/SS+이/VCP+란/ETM
주제로	주제/NNG+로/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
강용승	강용승/NNP
연세대	연세대/NNP
교수는	교수/NNG+는/JX
한국	한국/NNP
법관	법관/NNG
서열화를	서열/NNG+화/XSN+를/JKO
핵심	핵심/NNG
문제로	문제/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.4.2
법원행정처 출신은 ‘성골’로, 행정처를 거치지 않은 판사는 ‘진골’로 분류된다는 말이 나올 정도로 법관 사이 위계가 공고하다는 점을 꼬집은 것이다.

법원행정처	법원/NNG+행정처/NNG
출신은	출신/NNG+은/JX
‘성골’로,	‘/SS+성골/NNG+’/SS+로/JKB+,/SP
행정처를	행정처/NNG+를/JKO
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
판사는	판사/NNG+는/JX
‘진골’로	‘/SS+진골/NNG+’/SS+로/JKB
분류된다는	분류/NNG+되/XSV+ㄴ다는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
법관	법관/NNG
사이	사이/NNG
위계가	위계/NNG+가/JKS
공고하다는	공고하/VA+다는/ETM
점을	점/NNG+을/JKO
꼬집은	꼬집/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.199.4.3
강 교수는 “미국 연방법원엔 승진이나 재임용 개념이 없다.

강	강/NNP
교수는	교수/NNG+는/JX
“미국	“/SS+미국/NNP
연방법원엔	연방/NNG+법원/NNG+에/JKB+ㄴ/JX
승진이나	승진/NNG+이나/JC
재임용	재/XPN+임용/NNG
