# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.82
metadata : {}


# id : NWRW1800000049.82.1.1
[융합의 공대3.0]여성 친화적 공학교육 시스템으로 섬세함과 창의력 키워

[융합의	[/SS+융합/NNG+의/JKG
공대3.0]여성	공대/NNG+3/SN+./SP+0/SN+]/SS+여성/NNG
친화적	친화/NNG+적/XSN
공학교육	공학/NNG+교육/NNG
시스템으로	시스템/NNG+으로/JKB
섬세함과	섬세하/VA+ㅁ/ETN+과/JC
창의력	창의력/NNG
키워	키우/VV+어/EF


# id : NWRW1800000049.82.2.1
숙명여대는 교육부가 시행하는 프라임(산업연계교육 활성화 선도대학) 사업에 선정됐다.

숙명여대는	숙명여대/NNP+는/JX
교육부가	교육부/NNG+가/JKS
시행하는	시행/NNG+하/XSV+는/ETM
프라임(산업연계교육	프라임/NNG+(/SS+산업/NNG+연계/NNG+교육/NNG
활성화	활성/NNG+화/XSN
선도대학)	선도/NNG+대학/NNG+)/SS
사업에	사업/NNG+에/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.82.2.2
3년간 총 450억 원의 정부 재정지원을 받는 사회수요 선도대학(대형) 유형에 선정된 9개 대학 중 유일한 여대다.

3년간	3/SN+년/NNB+간/XSN
총	총/MMA
450억	450/SN+억/NR
원의	원/NNB+의/JKG
정부	정부/NNG
재정지원을	재정/NNG+지원/NNG+을/JKO
받는	받/VV+는/ETM
사회수요	사회/NNG+수요/NNG
선도대학(대형)	선도/NNG+대학/NNG+(/SS+대형/NNG+)/SS
유형에	유형/NNG+에/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
9개	9/SN+개/NNB
대학	대학/NNG
중	중/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
여대다.	여대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.82.3.1
프라임 지원금 3년간 450억 원 수주

프라임	프라임/NNG
지원금	지원금/NNG
3년간	3/SN+년/NNB+간/XSN
450억	450/SN+억/NR
원	원/NNB
수주	수주/NNG


# id : NWRW1800000049.82.4.1
프라임사업 선정에 따라 숙명여대는 올해 화공생명공학부와 IT공학과 등 2개 전공으로 출범한 공과대학을 내년에 총 5개 학부 내 8개 전공으로 확대한다.

프라임사업	프라임/NNG+사업/NNG
선정에	선정/NNG+에/JKB
따라	따르/VV+아/EC
숙명여대는	숙명여대/NNP+는/JX
올해	올해/NNG
화공생명공학부와	화공/NNG+생명/NNG+공학부/NNG+와/JC
IT공학과	IT/SL+공학과/NNG
등	등/NNB
2개	2/SN+개/NNB
전공으로	전공/NNG+으로/JKB
출범한	출범/NNG+하/XSV+ㄴ/ETM
공과대학을	공과/NNG+대학/NNG+을/JKO
내년에	내년/NNG+에/JKB
총	총/MMA
5개	5/SN+개/NNB
학부	학부/NNG
내	내/NNB
8개	8/SN+개/NNB
확대한다.	확대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.5.1
기존 이과대학에 속했던 나노물리학과, 컴퓨터과학부가 공대로 이동해 각각 응용물리전공, 컴퓨터과학전공으로 개편되며, SW융합전공, 전자공학전공, 기계시스템학부, 기초공학부가 새로 생긴다.

기존	기존/NNG
이과대학에	이과/NNG+대학/NNG+에/JKB
속했던	속하/VV+았/EP+던/ETM
나노물리학과,	나노/NNG+물리학과/NNG+,/SP
컴퓨터과학부가	컴퓨터/NNG+과학부/NNG+가/JKS
공대로	공대/NNG+로/JKB
이동해	이동/NNG+하/XSV+아/EC
각각	각각/MAG
응용물리전공,	응용/NNG+물리/NNG+전공/NNG+,/SP
컴퓨터과학전공으로	컴퓨터/NNG+과학/NNG+전공/NNG+으로/JKB
개편되며,	개편/NNG+되/XSV+며/EC+,/SP
SW융합전공,	SW/SL+융합/NNG+전공/NNG+,/SP
전자공학전공,	전자/NNG+공학/NNG+전공/NNG+,/SP
기계시스템학부,	기계/NNG+시스템/NNG+학부/NNG+,/SP
기초공학부가	기초/NNG+공학부/NNG+가/JKS
새로	새로/MAG
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.5.2
2015년 전체 입학정원 대비 5.1%에 불과했던 공학계열의 비중은 2017년 18.6%로 늘어날 것으로 전망된다.

2015년	2015/SN+년/NNB
전체	전체/NNG
입학정원	입학/NNG+정원/NNG
대비	대비/NNG
5.1%에	5/SN+./SP+1/SN+%/SW+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
공학계열의	공학/NNG+계열/NNG+의/JKG
비중은	비중/NNG+은/JX
2017년	2017/SN+년/NNB
18.6%로	18/SN+./SP+6/SN+%/SW+로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.6.1
숙명여대는 미래산업 전망과 여성인력 수요를 함께 분석해 ‘8대 집중산업군’을 도출하고, 이를 바탕으로 여학생 취업률, 입시경쟁률, 여학생 비율, 산업별 인력수요까지 종합적으로 고려해 신설 학과를 선택했다.

숙명여대는	숙명여대/NNP+는/JX
미래산업	미래/NNG+산업/NNG
전망과	전망/NNG+과/JC
여성인력	여성/NNG+인력/NNG
수요를	수요/NNG+를/JKO
함께	함께/MAG
분석해	분석/NNG+하/XSV+아/EC
‘8대	‘/SS+8/SN+대/NNG
집중산업군’을	집중/NNG+산업군/NNG+’/SS+을/JKO
