# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.375
metadata : {}


# id : NWRW1800000038.375.1.1
[지방부채 100兆 시대, 나라 살림까지 흔든다] "중앙정부가 부실 지자체에 불이익 줘야… 단체장 해임·지자체 지원금 삭감 필요"

[지방부채	[/SS+지방/NNG+부채/NNG
100兆	100/SN+兆/SH
시대,	시대/NNG+,/SP
나라	나라/NNG
살림까지	살림/NNG+까지/JX
흔든다]	흔들/VV+ㄴ다/EF+]/SS
"중앙정부가	"/SS+중앙/NNG+정부/NNG+가/JKS
부실	부실/NNG
지자체에	지자체/NNG+에/JKB
불이익	불/XPN+이익/NNG
줘야…	주/VV+어야/EC+…/SE
단체장	단체장/NNG
해임·지자체	해임/NNG+·/SP+지자체/NNG
지원금	지원금/NNG
삭감	삭감/NNG
필요"	필요/NNG+"/SS


# id : NWRW1800000038.375.2.1
전문가들 지방재정 개선 방안

전문가들	전문가/NNG+들/XSN
지방재정	지방/NNG+재정/NNG
개선	개선/NNG
방안	방안/NNG


# id : NWRW1800000038.375.3.1
지방자치단체의 방만한 재정 상태를 개선하기 위해선 중앙정부가 개입해 지자체의 무분별한 사업 추진에 제동을 걸고 지방정부의 재정 정보도 투명하게 공개토록 해야 한다고 전문가들은 지적했다.

지방자치단체의	지방/NNG+자치/NNG+단체/NNG+의/JKG
방만한	방만하/VA+ㄴ/ETM
재정	재정/NNG
상태를	상태/NNG+를/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
중앙정부가	중앙/NNG+정부/NNG+가/JKS
개입해	개입/NNG+하/XSV+아/EC
지자체의	지자체/NNG+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
사업	사업/NNG
추진에	추진/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
지방정부의	지방/NNG+정부/NNG+의/JKG
정보도	정보/NNG+도/JX
투명하게	투명/NNG+하/XSA+게/EC
공개토록	공개/NNG+하/XSV+도록/EC
해야	하/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.4.1
①재정 부실 단체장 해임제도 필요

①재정	①/SN+재정/NNG
부실	부실/NNG
단체장	단체장/NNG
해임제도	해임/NNG+제도/NNG
필요	필요/NNG


# id : NWRW1800000038.375.5.1
김선빈 삼성경제연구소 수석연구원은 "현재 안전행정부는 지자체의 직접 채무만 평가지표로 삼고 있는데 산하 공기업 부채와 민자 사업 부담까지 포괄하는 종합적인 재정 위기관리시스템을 구축해야 한다"고 했다.

김선빈	김선빈/NNP
삼성경제연구소	삼성경제연구소/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
"현재	"/SS+현재/MAG
안전행정부는	안전/NNG+행정부/NNG+는/JX
지자체의	지자체/NNG+의/JKG
직접	직접/MAG
채무만	채무/NNG+만/JX
평가지표로	평가/NNG+지표/NNG+로/JKB
삼고	삼/VV+고/EC
있는데	있/VX+는데/EC
산하	산하/NNG
공기업	공기업/NNG
부채와	부채/NNG+와/JC
민자	민자/NNG
사업	사업/NNG
부담까지	부담/NNG+까지/JX
포괄하는	포괄/NNG+하/XSV+는/ETM
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
재정	재정/NNG
위기관리시스템을	위기관리/NNG+시스템/NNG+을/JKO
구축해야	구축/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.5.2
그는 "미국처럼 재정 부실 지자체의 단체장을 해임하는 제도도 검토할 필요가 있다"고 했다.

그는	그/NP+는/JX
"미국처럼	"/SS+미국/NNP+처럼/JKB
재정	재정/NNG
부실	부실/NNG
지자체의	지자체/NNG+의/JKG
단체장을	단체장/NNG+을/JKO
해임하는	해임/NNG+하/XSV+는/ETM
제도도	제도/NNG+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.6.1
②지방 공기업 난립 막아야

②지방	②/SN+지방/NNG
공기업	공기업/NNG
난립	난립/NNG
막아야	막/VV+아야/EC


# id : NWRW1800000038.375.7.1
