# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.266
metadata : {}


# id : NWRW1800000030.266.1.1
[특파원 칼럼] 出産이냐 다문화냐

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
出産이냐	出産/SH+이/VCP+냐/EF
다문화냐	다문화/NNG+이/VCP+냐/EF


# id : NWRW1800000030.266.2.1
외국인 혐오증으로 살인마가 된 노르웨이의 브레이빅은 "일본과 한국을 모델로 삼자"고 했다.

외국인	외국인/NNG
혐오증으로	혐오증/NNG+으로/JKB
살인마가	살인마/NNG+가/JKC
된	되/VV+ㄴ/ETM
노르웨이의	노르웨이/NNP+의/JKG
브레이빅은	브레이빅/NNP+은/JX
"일본과	"/SS+일본/NNP+과/JC
한국을	한국/NNP+을/JKO
모델로	모델/NNG+로/JKB
삼자"고	삼/VV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.266.2.2
그에겐 외국인 이민에 대해 소극적인 한국과 일본이 이상향(理想鄕)으로 보였던 모양이다.

그에겐	그/NP+에게/JKB+ㄴ/JX
외국인	외국인/NNG
이민에	이민/NNG+에/JKB
대해	대하/VV+아/EC
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
한국과	한국/NNP+과/JC
일본이	일본/NNP+이/JKS
이상향(理想鄕)으로	이상향/NNG+(/SS+理想鄕/SH+)/SS+으로/JKB
보였던	보이/VV+었/EP+던/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.266.3.1
일본은 한국보다도 외국인 경계론의 뿌리가 훨씬 깊다.

일본은	일본/NNP+은/JX
한국보다도	한국/NNP+보다/JKB+도/JX
외국인	외국인/NNG
경계론의	경계/NNG+론/XSN+의/JKG
뿌리가	뿌리/NNG+가/JKS
훨씬	훨씬/MAG
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000030.266.3.2
최근 한 시사 잡지는 '중국인들이 일본을 접수한다'는 기사를 실었다.

최근	최근/NNG
한	한/MMN
시사	시사/NNG
잡지는	잡지/NNG+는/JX
'중국인들이	'/SS+중국인/NNG+들/XSN+이/JKS
일본을	일본/NNP+을/JKO
접수한다'는	접수/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
기사를	기사/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.266.3.3
장기 체류 목적으로 일본에 입국한 중국인이 이미 100만명을 넘었으며 이런 속도라면 중국인이 결국 일본을 탈취할 수 있다는 주장이었다.

장기	장기/NNG
체류	체류/NNG
목적으로	목적/NNG+으로/JKB
일본에	일본/NNP+에/JKB
입국한	입국/NNG+하/XSV+ㄴ/ETM
중국인이	중국인/NNG+이/JKS
이미	이미/MAG
100만명을	100/SN+만/NR+명/NNB+을/JKO
넘었으며	넘/VV+었/EP+으며/EC
이런	이런/MMD
속도라면	속도/NNG+이/VCP+라면/EC
결국	결국/MAG
일본을	일본/NNP+을/JKO
탈취할	탈취/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
주장이었다.	주장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.266.3.4
평생 일본인들과 똑같이 세금을 내면서 살고 있는 재일교포에게 참정권 부여를 거부하는 등 차별 정책을 고집하는 것도 외국인 경계론이 밑바탕에 깔려 있다.

평생	평생/NNG
일본인들과	일본인/NNG+들/XSN+과/JKB
똑같이	똑같이/MAG
세금을	세금/NNG+을/JKO
내면서	내/VV+면서/EC
살고	살/VV+고/EC
있는	있/VX+는/ETM
재일교포에게	재일/NNG+교포/NNG+에게/JKB
참정권	참정/NNG+권/XSN
부여를	부여/NNG+를/JKO
거부하는	거부/NNG+하/XSV+는/ETM
등	등/NNB
차별	차별/NNG
정책을	정책/NNG+을/JKO
고집하는	고집/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
외국인	외국인/NNG
경계론이	경계/NNG+론/XSN+이/JKS
밑바탕에	밑바탕/NNG+에/JKB
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.266.3.5
차기 총리 1순위로 꼽혔던 마에하라 세이지(前原誠司) 전 외상이 중도 퇴진한 것은 그를 아들처럼 여기던 재일교포 노인이 연간 5만엔(약 67만원)의 정치헌금을 한 것을 일부 정치인이 문제 삼았기 때문이다.

차기	차기/NNG
총리	총리/NNG
1순위로	1/SN+순위/NNG+로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
마에하라	마에하라/NNP
세이지(前原誠司)	세이지/NNP+(/SS+前原誠司/SH+)/SS
전	전/MMD
외상이	외상/NNG+이/JKS
중도	중도/NNG
퇴진한	퇴진/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그를	그/NP+를/JKO
아들처럼	아들/NNG+처럼/JKB
여기던	여기/VV+던/ETM
재일교포	재일/NNG+교포/NNG
노인이	노인/NNG+이/JKS
연간	연간/NNG
5만엔(약	5/SN+만/NR+엔/NNB+(/SS+약/MMA
67만원)의	67/SN+만/NR+원/NNB+)/SS+의/JKG
정치헌금을	정치/NNG+헌금/NNG+을/JKO
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
일부	일부/NNG
정치인이	정치인/NNG+이/JKS
문제	문제/NNG
삼았기	삼/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.266.3.6
재일교포는 평생을 살아도 결국 외국인이며 그들의 정치헌금이 일본의 정책을 왜곡할 수 있다는 이유에서였다.

재일교포는	재일/NNG+교포/NNG+는/JX
평생을	평생/NNG+을/JKO
살아도	살/VV+아도/EC
결국	결국/MAG
외국인이며	외국인/NNG+이/VCP+며/EC
그들의	그/NP+들/XSN+의/JKG
정치헌금이	정치/NNG+헌금/NNG+이/JKS
일본의	일본/NNP+의/JKG
정책을	정책/NNG+을/JKO
왜곡할	왜곡/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
이유에서였다.	이유/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.266.4.1
이와 관련한 코미디 같은 해프닝도 있다.

이와	이/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
코미디	코미디/NNG
같은	같/VA+은/ETM
해프닝도	해프닝/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.266.4.2
일본의 일부 정치인은 외국 자본이 일본의 호수와 계곡 주변 땅을 사들이자, 중국이 환경오염으로 먹을 물이 고갈되면서 일본 수자원을 노리는 것이라며 이를 금지하는 법률까지 추진하고 있다.

일본의	일본/NNP+의/JKG
일부	일부/NNG
정치인은	정치인/NNG+은/JX
외국	외국/NNG
자본이	자본/NNG+이/JKS
호수와	호수/NNG+와/JC
계곡	계곡/NNG
주변	주변/NNG
땅을	땅/NNG+을/JKO
사들이자,	사들이/VV+자/EC+,/SP
중국이	중국/NNP+이/JKS
환경오염으로	환경/NNG+오염/NNG+으로/JKB
먹을	먹/VV+을/ETM
물이	물/NNG+이/JKS
고갈되면서	고갈/NNG+되/XSV+면서/EC
일본	일본/NNP
수자원을	수자원/NNG+을/JKO
노리는	노리/VV+는/ETM
것이라며	것/NNB+이/VCP+라며/EC
이를	이/NP+를/JKO
금지하는	금지/NNG+하/XSV+는/ETM
법률까지	법률/NNG+까지/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.266.4.3
최근 이 음모론은 수원지 주변 땅을 일본인들에게 비싼 가격에 팔려고 사기꾼들이 과장한 것으로 밝혀졌지만, 상당수 일본인은 여전히 중국이 일본 수자원을 노리고 있다고 믿는다.

최근	최근/NNG
이	이/MMD
음모론은	음모/NNG+론/XSN+은/JX
수원지	수원지/NNG
주변	주변/NNG
땅을	땅/NNG+을/JKO
일본인들에게	일본인/NNG+들/XSN+에게/JKB
비싼	비싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
팔려고	팔/VV+려고/EC
사기꾼들이	사기/NNG+꾼/XSN+들/XSN+이/JKS
과장한	과장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌지만,	밝히/VV+어/EC+지/VX+었/EP+지만/EC+,/SP
상당수	상당수/NNG
일본인은	일본인/NNG+은/JX
여전히	여전히/MAG
중국이	중국/NNP+이/JKS
일본	일본/NNP
수자원을	수자원/NNG+을/JKO
노리고	노리/VV+고/EC
있다고	있/VX+다고/EC
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000030.266.4.4
같은 핏줄이랄 수 있는 브라질 일본 이민자 후손에 대해서도 예외는 아니다.

같은	같/VA+은/ETM
핏줄이랄	핏줄/NNG+이/VCP+랄/ETM
수	수/NNB
있는	있/VA+는/ETM
브라질	브라질/NNP
일본	일본/NNP
이민자	이민자/NNG
후손에	후손/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
예외는	예외/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.266.4.5
리먼 쇼크가 터지자 일본 정부는 자국 이민자들의 후손인 일본계(系) 브라질인들을 항공료 등 돈을 주고 대거 브라질로 돌려보냈다.

리먼	리먼/NNP
쇼크가	쇼크/NNG+가/JKS
터지자	터지/VV+자/EC
일본	일본/NNP
정부는	정부/NNG+는/JX
자국	자국/NNG
이민자들의	이민자/NNG+들/XSN+의/JKG
후손인	후손/NNG+이/VCP+ㄴ/ETM
일본계(系)	일본/NNP+계/XSN+(/SS+系/SH+)/SS
브라질인들을	브라질인/NNG+들/XSN+을/JKO
항공료	항공료/NNG
등	등/NNB
돈을	돈/NNG+을/JKO
주고	주/VV+고/EC
대거	대거/MAG
브라질로	브라질/NNP+로/JKB
돌려보냈다.	돌려보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.266.4.6
일본인 일자리도 부족한데, 그들까지 보살피기 버겁다는 이유에서였다.

일본인	일본인/NNG
일자리도	일자리/NNG+도/JX
부족한데,	부족/NNG+하/XSA+ㄴ데/EC+,/SP
그들까지	그/NP+들/XSN+까지/JX
보살피기	보살피/VV+기/ETN
버겁다는	버겁/VA+다는/ETM
이유에서였다.	이유/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.266.5.1
일본은 선진국 중에서 거의 유일하게 이민에 대해 이중·삼중 벽을 쌓는 데 성공했지만 역설적으로 그 성공이 일본의 발목을 잡고 있다.

일본은	일본/NNP+은/JX
선진국	선진국/NNG
중에서	중/NNB+에서/JKB
거의	거의/MAG
유일하게	유일/NNG+하/XSA+게/EC
이민에	이민/NNG+에/JKB
대해	대하/VV+아/EC
