# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.388
metadata : {}


# id : NWRW1800000026.388.1.1
광물자원공사, 남아공 유연탄 광산 지분 인수

광물자원공사,	광물자원공사/NNP+,/SP
남아공	남아공/NNP
유연탄	유연탄/NNG
광산	광산/NNG
지분	지분/NNG
인수	인수/NNG


# id : NWRW1800000026.388.2.1
한국광물자원공사는 호주 광산회사인 '컨티넨탈 콜'로부터 남아공 블락플라츠(Vlakplaatz) 유연탄 광산 지분 37%를 1380만달러(약 159억원)에 인수했다고 29일 밝혔다.

한국광물자원공사는	한국광물자원공사/NNP+는/JX
호주	호주/NNP
광산회사인	광산/NNG+회사/NNG+이/VCP+ㄴ/ETM
'컨티넨탈	'/SS+컨티넨탈/NNP
콜'로부터	콜/NNP+'/SS+로부터/JKB
남아공	남아공/NNP
블락플라츠(Vlakplaatz)	블락플라츠/NNP+(/SS+Vlakplaatz/SL+)/SS
유연탄	유연탄/NNG
광산	광산/NNG
지분	지분/NNG
37%를	37/SN+%/SW+를/JKO
1380만달러(약	1380/SN+만/NR+달러/NNB+(/SS+약/MMA
159억원)에	159/SN+억/NR+원/NNB+)/SS+에/JKB
인수했다고	인수/NNG+하/XSV+았/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.388.3.1
두 회사는 내년부터 본격 탐사에 들어가 2013년부터 30년간 매년 최대 300만t의 유연탄을 생산할 계획이다.

두	두/MMN
회사는	회사/NNG+는/JX
내년부터	내년/NNG+부터/JX
본격	본격/NNG
탐사에	탐사/NNG+에/JKB
들어가	들어가/VV+아/EC
2013년부터	2013/SN+년/NNB+부터/JX
30년간	30/SN+년/NNB+간/XSN
매년	매년/MAG
최대	최대/NNG
300만t의	300/SN+만/NR+t/SW+의/JKG
유연탄을	유연탄/NNG+을/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.388.3.2
블락플라츠 탄광은 요하네스버그에서 동쪽으로 약 65㎞ 떨어진 곳에 있으며 매장량은 1억4500만t으로 추산된다.

블락플라츠	블락플라츠/NNP
탄광은	탄광/NNG+은/JX
요하네스버그에서	요하네스버그/NNP+에서/JKB
동쪽으로	동쪽/NNG+으로/JKB
약	약/MMA
65㎞	65/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
있으며	있/VA+으며/EC
매장량은	매장량/NNG+은/JX
1억4500만t으로	1/SN+억/NR+4500/SN+만/NR+t/SW+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.388.4.1
광물공사 관계자는 "우리나라가 아프리카에서 유연탄을 확보한 것은 이번이 처음"이라며 "호주와 인도네시아에 편중된 유연탄 공급처를 아프리카로 다변화하는 계기가 됐다"고 말했다.

광물공사	광물공사/NNP
관계자는	관계자/NNG+는/JX
"우리나라가	"/SS+우리나라/NNG+가/JKS
아프리카에서	아프리카/NNP+에서/JKB
유연탄을	유연탄/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음"이라며	처음/NNG+"/SS+이/VCP+라며/EC
"호주와	"/SS+호주/NNP+와/JC
인도네시아에	인도네시아/NNP+에/JKB
편중된	편중/NNG+되/XSV+ㄴ/ETM
유연탄	유연탄/NNG
공급처를	공급처/NNG+를/JKO
아프리카로	아프리카/NNP+로/JKB
다변화하는	다변/NNG+화/XSN+하/XSV+는/ETM
계기가	계기/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


