# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.277
metadata : {}


# id : NWRW1800000056.277.1.1
금의환향 최혜진 “세리, 인비 언니처럼 되고 싶어요”

금의환향	금의환향/NNG
최혜진	최혜진/NNP
“세리,	“/SS+세리/NNP+,/SP
인비	인비/NNP
언니처럼	언니/NNG+처럼/JKB
되고	되/VV+고/EC
싶어요”	싶/VX+어요/EF+”/SS


# id : NWRW1800000056.277.2.1
US여자오픈 2위…드라이버샷 260~270야드 장타자

US여자오픈	US/SL+여자/NNG+오픈/NNG
2위…드라이버샷	2/SN+위/NNB+…/SE+드라이버/NNG+샷/NNG
260~270야드	260/SN+~/SO+270/SN+야드/NNB
장타자	장타자/NNG


# id : NWRW1800000056.277.3.1
약점인 어프로치도 보완 ‘멘탈 강하고 체력 좋아’

약점인	약점/NNG+이/VCP+ㄴ/ETM
어프로치도	어프로치/NNG+도/JX
보완	보완/NNG
‘멘탈	‘/SS+멘탈/NNG
강하고	강하/VA+고/EC
체력	체력/NNG
좋아’	좋/VA+아/EC+’/SS


# id : NWRW1800000056.277.4.1
국가대표 에이스…9월 프로전향 예정

국가대표	국가/NNG+대표/NNG
에이스…9월	에이스/NNG+…/SE+9/SN+월/NNB
프로전향	프로/NNG+전향/NNG
예정	예정/NNG


# id : NWRW1800000056.277.5.1
“박세리처럼 뛰어난 선수가 될 것 같습니다.”

“박세리처럼	“/SS+박세리/NNP+처럼/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
선수가	선수/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같습니다.”	같/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000056.277.6.1
지난 2일 강원도 평창의 버치힐골프클럽(파72)에서 열린 2017 한국여자프로골프(KLPGA) 투어 초정탄산수 용평리조트오픈 마지막날 아마추어 국가대표 에이스 최혜진(18·부산 학산여고3)이 우승했을 때, 박소영 여자 국가대표팀 코치가 취재진의 질문에 한 말이다.

지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
강원도	강원도/NNP
평창의	평창/NNP+의/JKG
버치힐골프클럽(파72)에서	버치힐골프클럽/NNP+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
2017	2017/SN
한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어	투어/NNG
초정탄산수	초정탄산수/NNP
용평리조트오픈	용평리조트/NNP+오픈/NNG
마지막날	마지막/NNG+날/NNG
아마추어	아마추어/NNG
국가대표	국가/NNG+대표/NNG
에이스	에이스/NNG
최혜진(18·부산	최혜진/NNP+(/SS+18/SN+·/SP+부산/NNP
학산여고3)이	학산여고/NNP+3/SN+)/SS+이/JKS
우승했을	우승/NNG+하/XSV+았/EP+을/ETM
때,	때/NNG+,/SP
박소영	박소영/NNP
여자	여자/NNG
국가대표팀	국가/NNG+대표/NNG+팀/NNG
코치가	코치/NNG+가/JKS
취재진의	취재진/NNG+의/JKG
질문에	질문/NNG+에/JKB
한	하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.277.6.2
당시 최혜진은 한국여자프로골프 ‘대세’ 소리를 들으며 상한가를 치던 베테랑 김지현(26)을 상대로 5타 차 역전 드라마를 펼치며 국가대표 간판스타의 힘을 보여줬고, 국내 정규 프로투어 첫 우승의 감격을 누렸다.

당시	당시/NNG
최혜진은	최혜진/NNP+은/JX
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
‘대세’	‘/SS+대세/NNG+’/SS
소리를	소리/NNG+를/JKO
들으며	듣/VV+으며/EC
상한가를	상한/NNG+가/XSN+를/JKO
치던	치/VV+던/ETM
베테랑	베테랑/NNG
김지현(26)을	김지현/NNP+(/SS+26/SN+)/SS+을/JKO
상대로	상대/NNG+로/JKB
5타	5/SN+타/NNG
차	차/NNG
역전	역전/NNG
드라마를	드라마/NNG+를/JKO
펼치며	펼치/VV+며/EC
국가대표	국가/NNG+대표/NNG
간판스타의	간판스타/NNG+의/JKG
힘을	힘/NNG+을/JKO
보여줬고,	보이/VV+어/EC+주/VX+었/EP+고/EC+,/SP
국내	국내/NNG
정규	정규/NNG
프로투어	프로투어/NNG
첫	첫/MMN
우승의	우승/NNG+의/JKG
감격을	감격/NNG+을/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.6.3
아마추어의 한국여자프로골프 투어 우승은 2012년 롯데마트 여자오픈에서 우승한 김효주 이후 5년 만이다.

아마추어의	아마추어/NNG+의/JKG
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
투어	투어/NNG
우승은	우승/NNG+은/JX
2012년	2012/SN+년/NNB
롯데마트	롯데마트/NNP
여자오픈에서	여자/NNG+오픈/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
김효주	김효주/NNP
이후	이후/NNG
5년	5/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.277.7.1
그런 최혜진이 2주 만에 미국여자프로골프(LPGA) 투어 최고의 메이저대회인 미국골프협회(USGA) 제72회 유에스여자오픈에서 당당히 2위(9언더파 279타)에 입상하고 금의환향해 주목을 받고 있다.

그런	그런/MMD
최혜진이	최혜진/NNP+이/JKS
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
미국여자프로골프(LPGA)	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
투어	투어/NNG
최고의	최고/NNG+의/JKG
메이저대회인	메이저/NNG+대회/NNG+이/VCP+ㄴ/ETM
미국골프협회(USGA)	미국골프협회/NNP+(/SS+USGA/SL+)/SS
제72회	제/XPN+72/SN+회/NNB
유에스여자오픈에서	유에스/NNP+여자/NNG+오픈/NNG+에서/JKB
당당히	당당히/MAG
2위(9언더파	2/SN+위/NNB+(/SS+9/SN+언더/NNG+파/NNG
279타)에	279/SN+타/NNG+)/SS+에/JKB
입상하고	입상/NNG+하/XSV+고/EC
금의환향해	금의환향/NNG+하/XSV+아/EC
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.277.7.2
오는 8월23일 만 18살이 되는 최혜진은 대한골프협회와 협의를 거쳐 9월께 프로로 전향할 것으로 알려졌다.

오는	오/VV+는/ETM
8월23일	8/SN+월/NNB+23/SN+일/NNB
만	만/MMA
18살이	18/SN+살/NNB+이/JKC
되는	되/VV+는/ETM
최혜진은	최혜진/NNP+은/JX
대한골프협회와	대한골프협회/NNP+와/JKB
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
9월께	9/SN+월/NNB+께/XSN
프로로	프로/NNG+로/JKB
전향할	전향/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.7.3
일단 8월18~20일 열리는 한국여자프로골프 투어 보그너 엠비엔(MBN) 여자오픈에는 아마추어로 뛴다.

일단	일단/MAG
8월18~20일	8/SN+월/NNB+18/SN+~/SO+20/SN+일/NNB
열리는	열리/VV+는/ETM
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
투어	투어/NNG
보그너	보그너/NNP
엠비엔(MBN)	엠비엔/NNP+(/SS+MBN/SL+)/SS
여자오픈에는	여자/NNG+오픈/NNG+에/JKB+는/JX
아마추어로	아마추어/NNG+로/JKB
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.277.8.1
18일 새벽 미국에서 귀국한 최혜진은 “이번 유에스여자오픈에서 1차 목표가 컷 통과였고, 지난해(38위)보다 좋은 성적을 내고 싶었다.

18일	18/SN+일/NNB
새벽	새벽/NNG
미국에서	미국/NNP+에서/JKB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
최혜진은	최혜진/NNP+은/JX
“이번	“/SS+이번/NNG
유에스여자오픈에서	유에스/NNP+여자/NNG+오픈/NNG+에서/JKB
1차	1/SN+차/NNB
목표가	목표/NNG+가/JKS
컷	컷/NNG
통과였고,	통과/NNG+이/VCP+었/EP+고/EC+,/SP
지난해(38위)보다	지난해/NNG+(/SS+38/SN+위/NNB+)/SS+보다/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내고	내/VV+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.277.8.2
잘하면 톱10 안에 들 수 있다는 생각도 했다.

잘하면	잘/MAG+하/XSV+면/EC
톱10	톱/NNG+10/SN
안에	안/NNG+에/JKB
들	들/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각도	생각/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.8.3
큰 대회에서 내 플레이를 할 수 있어서 영광이었고 재미있게 좋은 경험을 했다”고 말했다.

큰	크/VA+ㄴ/ETM
대회에서	대회/NNG+에서/JKB
내	나/NP+의/JKG
플레이를	플레이/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있어서	있/VA+어서/EC
영광이었고	영광/NNG+이/VCP+었/EP+고/EC
재미있게	재미있/VA+게/EC
좋은	좋/VA+은/ETM
경험을	경험/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.9.1
최혜진은 유에스여자오픈 4라운드에서 15번홀까지 박성현(24)과 함께 공동선두를 달려 1967년 카트린 라코스트(프랑스) 이후 50년 만에 아마추어 챔피언으로 탄생할 수 있는 절호의 기회를 맞았다.

최혜진은	최혜진/NNP+은/JX
유에스여자오픈	유에스/NNP+여자/NNG+오픈/NNG
4라운드에서	4/SN+라운드/NNG+에서/JKB
15번홀까지	15/SN+번/NNB+홀/NNG+까지/JX
박성현(24)과	박성현/NNP+(/SS+24/SN+)/SS+과/JKB
함께	함께/MAG
공동선두를	공동/NNG+선두/NNG+를/JKO
달려	달리/VV+어/EC
1967년	1967/SN+년/NNB
카트린	카트린/NNP
라코스트(프랑스)	라코스트/NNP+(/SS+프랑스/NNP+)/SS
이후	이후/NNG
50년	50/SN+년/NNB
만에	만/NNB+에/JKB
아마추어	아마추어/NNG
챔피언으로	챔피언/NNG+으로/JKB
