# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.58
metadata : {}


# id : NWRW1800000021.58.1.1
李대통령 “중앙-지방정부 힘 합쳐야”

李대통령	李/SH+대통령/NNG
“중앙-지방정부	“/SS+중앙/NNG+-/SO+지방/NNG+정부/NNG
힘	힘/NNG
합쳐야”	합치/VV+어야/EC+”/SS


# id : NWRW1800000021.58.2.1
이명박 대통령은 20일 오세훈 서울시장, 김문수 경기지사, 안상수 인천시장 등 수도권 광역자치단체장 3명을 청와대로 초청해 비공개 만찬을 했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
20일	20/SN+일/NNB
오세훈	오세훈/NNP
서울시장,	서울시장/NNG+,/SP
김문수	김문수/NNP
경기지사,	경기/NNP+지사/NNG+,/SP
안상수	안상수/NNP
인천시장	인천시장/NNG
등	등/NNB
수도권	수도/NNG+권/XSN
광역자치단체장	광역/NNG+자치/NNG+단체장/NNG
3명을	3/SN+명/NNB+을/JKO
청와대로	청와대/NNP+로/JKB
초청해	초청/NNG+하/XSV+아/EC
비공개	비/XPN+공개/NNG
만찬을	만찬/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.58.3.1
청와대 측은 경인운하와 수도권 규제완화 방안 및 경제 활성화를 위한 협력 방안을 찾기 위해 만난 것이라고 회동 배경을 설명했다.

청와대	청와대/NNP
측은	측/NNB+은/JX
경인운하와	경인운하/NNP+와/JC
수도권	수도/NNG+권/XSN
규제완화	규제/NNG+완화/NNG
방안	방안/NNG
및	및/MAG
경제	경제/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
협력	협력/NNG
방안을	방안/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
만난	만나/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
회동	회동/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.58.4.1
이 대통령은 이날 만찬에서 정부가 추진하고 있는 재정의 조기 집행, 4대 강 살리기 사업, 일자리 창출 노력을 설명하고 단체장들의 적극적인 협력을 당부했다고 한다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
만찬에서	만찬/NNG+에서/JKB
정부가	정부/NNG+가/JKS
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
재정의	재정/NNG+의/JKG
조기	조기/NNG
집행,	집행/NNG+,/SP
4대	4/SN+대/NNG
강	강/NNG
살리기	살리/VV+기/ETN
사업,	사업/NNG+,/SP
일자리	일자리/NNG
창출	창출/NNG
노력을	노력/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
단체장들의	단체장/NNG+들/XSN+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
협력을	협력/NNG+을/JKO
당부했다고	당부/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


