# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.210
metadata : {}


# id : NWRW1800000038.210.1.1
'공소장 변경' SK재판부, 量刑엔 영향 없다는데…

'공소장	'/SS+공소장/NNG
변경'	변경/NNG+'/SS
SK재판부,	SK/SL+재판부/NNG+,/SP
量刑엔	量刑/SH+에/JKB+ㄴ/JX
영향	영향/NNG
없다는데…	없/VA+다는데/EC+…/SE


# id : NWRW1800000038.210.2.1
'崔회장 범행동기' 변경 요청… 김원홍 증인 채택은 기각

'崔회장	'/SS+崔/SH+회장/NNG
범행동기'	범행/NNG+동기/NNG+'/SS
변경	변경/NNG
요청…	요청/NNG+…/SE
김원홍	김원홍/NNP
증인	증인/NNG
채택은	채택/NNG+은/JX
기각	기각/NNG


# id : NWRW1800000038.210.3.1
SK그룹 최태원(53) 회장 형제의 횡령 사건에 대한 재판을 재개한 서울고법 형사4부(재판장 문용선)가 27일 검찰에 범행 동기와 경위에 대한 공소장 변경을 요청했다.

SK그룹	SK그룹/NNP
최태원(53)	최태원/NNP+(/SS+53/SN+)/SS
회장	회장/NNG
형제의	형제/NNG+의/JKG
횡령	횡령/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재판을	재판/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
서울고법	서울고법/NNP
형사4부(재판장	형사/NNG+4/SN+부/NNG+(/SS+재판장/NNG
문용선)가	문용선/NNP+)/SS+가/JKS
27일	27/SN+일/NNB
검찰에	검찰/NNG+에/JKB
범행	범행/NNG
동기와	동기/NNG+와/JC
경위에	경위/NNG+에/JKB
공소장	공소장/NNG
변경을	변경/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.4.1
재판부는 이날 "450억원 횡령과 관련한 공소 사실 중 범행 동기와 경위를 내일(28일)까지 변경해 달라"면서도 "죄명이나 적용 법조를 바꾸는 것이 아니어서 (공소장 변경으로) 유·무죄 판단은 물론 양형에 영향을 미치지 않을 것"이라고 말했다.

재판부는	재판부/NNG+는/JX
이날	이날/NNG
"450억원	"/SS+450/SN+억/NR+원/NNB
횡령과	횡령/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
공소	공소/NNG
사실	사실/NNG
중	중/NNB
범행	범행/NNG
동기와	동기/NNG+와/JC
경위를	경위/NNG+를/JKO
내일(28일)까지	내일/NNG+(/SS+28/SN+일/NNB+)/SS+까지/JX
변경해	변경/NNG+하/XSV+아/EC
달라"면서도	달/VX+라/EF+"/SS+면서/EC+도/JX
"죄명이나	"/SS+죄명/NNG+이나/JC
적용	적용/NNG
법조를	법조/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
것이	것/NNB+이/JKC
아니어서	아니/VCN+어서/EC
(공소장	(/SS+공소장/NNG
변경으로)	변경/NNG+으로/JKB+)/SS
유·무죄	유·무죄/NNG
판단은	판단/NNG+은/JX
물론	물론/MAG
양형에	양형/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.5.1
재판부는 "최태원 피고인이 공소 사실의 핵심인 펀드 선지급을 인정하면서도 (검찰이 제시한) 범행 동기에 대해선 전혀 동의하지 않으면서 무죄를 주장하고 있다"며 "피고인의 방어권을 보장하고, 투명하고 분명한 재판을 위해서 공소장을 바꾸자고 하는 것"이라고 했다.

재판부는	재판부/NNG+는/JX
"최태원	"/SS+최태원/NNP
피고인이	피고인/NNG+이/JKS
공소	공소/NNG
사실의	사실/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
펀드	펀드/NNG
선지급을	선지급/NNG+을/JKO
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
(검찰이	(/SS+검찰/NNG+이/JKS
제시한)	제시/NNG+하/XSV+ㄴ/ETM+)/SS
범행	범행/NNG
동기에	동기/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
전혀	전혀/MAG
동의하지	동의/NNG+하/XSV+지/EC
않으면서	않/VX+으면서/EC
무죄를	무죄/NNG+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"피고인의	"/SS+피고인/NNG+의/JKG
방어권을	방어/NNG+권/XSN+을/JKO
보장하고,	보장/NNG+하/XSV+고/EC+,/SP
투명하고	투명/NNG+하/XSA+고/EC
분명한	분명/MAG+하/XSA+ㄴ/ETM
재판을	재판/NNG+을/JKO
위해서	위하/VV+아서/EC
공소장을	공소장/NNG+을/JKO
바꾸자고	바꾸/VV+자고/EC
하는	하/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.6.1
그러면서 재판부는 '투자위탁금과 기존 채무 유지에 필요한 자금을 조달하기 위해'로 알려진 기존의 범행 동기를 바꾸라는 '지침'을 검찰에 주문했다.

그러면서	그러/VV+면서/EC
재판부는	재판부/NNG+는/JX
'투자위탁금과	'/SS+투자/NNG+위탁금/NNG+과/JC
기존	기존/NNG
채무	채무/NNG
유지에	유지/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자금을	자금/NNG+을/JKO
조달하기	조달/NNG+하/XSV+기/ETN
