# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.141
metadata : {}


# id : NWRW1800000045.141.1.1
“예술이 대체 뭐냐” 예술 밖에서 던진 질문

“예술이	“/SS+예술/NNG+이/JKS
대체	대체/MAG
뭐냐”	뭐/NP+이/VCP+냐/EF+”/SS
예술	예술/NNG
밖에서	밖/NNG+에서/JKB
던진	던지/VV+ㄴ/ETM
질문	질문/NNG


# id : NWRW1800000045.141.2.1
스위스 취리히에서 초대전 갖는 문경원-전준호 작가

스위스	스위스/NNP
취리히에서	취리히/NNP+에서/JKB
초대전	초대전/NNG
갖는	갖/VV+는/ETM
문경원-전준호	문경원/NNP+-/SO+전준호/NNP
작가	작가/NNG


# id : NWRW1800000045.141.3.1
“미술계는 돈과 권력의 놀이판이다.

“미술계는	“/SS+미술/NNG+계/XSN+는/JX
돈과	돈/NNG+과/JC
권력의	권력/NNG+의/JKG
놀이판이다.	놀이판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.141.3.2
철저하게 폐쇄적인 ‘그들만의 리그’다.

철저하게	철저/NNG+하/XSA+게/EC
폐쇄적인	폐쇄/NNG+적/XSN+이/VCP+ㄴ/ETM
‘그들만의	‘/SS+그/NP+들/XSN+만/JX+의/JKG
리그’다.	리그/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.141.3.3
소외된 소수의 약자를 배려하고 조명하는 취지를 내세운 전시일지라도 그 이면에는 헤게모니를 둘러싼 각 집단의 이전투구가 깔려 있는 경우가 허다하다.

소외된	소외/NNG+되/XSV+ㄴ/ETM
소수의	소수/NNG+의/JKG
약자를	약자/NNG+를/JKO
배려하고	배려/NNG+하/XSV+고/EC
조명하는	조명/NNG+하/XSV+는/ETM
취지를	취지/NNG+를/JKO
내세운	내세우/VV+ㄴ/ETM
전시일지라도	전시/NNG+이/VCP+ㄹ지라도/EC
그	그/MMD
이면에는	이면/NNG+에/JKB+는/JX
