# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.91
metadata : {}


# id : NWRW1800000037.91.1.1
[Outdoor]컬럼비아, 따뜻하고 안전한 산행의 벗 ‘옴니 히트’

[Outdoor]컬럼비아,	[/SS+Outdoor/SL+]/SS+컬럼비아/NNP+,/SP
따뜻하고	따뜻하/VA+고/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
산행의	산행/NNG+의/JKG
벗	벗/NNG
‘옴니	‘/SS+옴니/NNP
히트’	히트/NNP+’/SS


# id : NWRW1800000037.91.2.1
컬럼비아는 디자인에 기능성을 갖췄다는 ‘비주얼 테크’ 브랜드를 강조한다.

컬럼비아는	컬럼비아/NNP+는/JX
디자인에	디자인/NNG+에/JKB
기능성을	기능/NNG+성/XSN+을/JKO
갖췄다는	갖추/VV+었/EP+다는/ETM
‘비주얼	‘/SS+비주얼/NNG
테크’	테크/NNG+’/SS
브랜드를	브랜드/NNG+를/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.91.2.2
소비자들이 아웃도어를 입고 등산할 때 기능성에 만족하는 것도 중요하지만 눈으로 봤을 때도 해당 제품의 매력을 느낄 수 있도록 한다는 것이다.

소비자들이	소비자/NNG+들/XSN+이/JKS
아웃도어를	아웃도어/NNG+를/JKO
입고	입/VV+고/EC
등산할	등산/NNG+하/XSV+ㄹ/ETM
때	때/NNG
기능성에	기능/NNG+성/XSN+에/JKB
만족하는	만족/NNG+하/XSA+는/ETM
것도	것/NNB+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
눈으로	눈/NNG+으로/JKB
봤을	보/VV+았/EP+을/ETM
때도	때/NNG+도/JX
해당	해당/NNG
제품의	제품/NNG+의/JKG
매력을	매력/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.91.3.1
컬럼비아는 올가을에도 비주얼 테크의 대표 상품인 ‘옴니 히트’ 적용 물량을 대폭 늘릴 계획이다.

컬럼비아는	컬럼비아/NNP+는/JX
올가을에도	올가을/NNG+에/JKB+도/JX
비주얼	비주얼/NNG
테크의	테크/NNG+의/JKG
대표	대표/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
‘옴니	‘/SS+옴니/NNP
히트’	히트/NNP+’/SS
적용	적용/NNG
물량을	물량/NNG+을/JKO
대폭	대폭/MAG
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.91.4.1
옴니 히트는 소재 표면의 은색점이 체온을 반사해 보온 효과를 주는 기술이다.

옴니	옴니/NNP
히트는	히트/NNP+는/JX
소재	소재/NNG
표면의	표면/NNG+의/JKG
은색점이	은색/NNG+점/NNG+이/JKS
체온을	체온/NNG+을/JKO
반사해	반사/NNG+하/XSV+아/EC
보온	보온/NNG
효과를	효과/NNG+를/JKO
주는	주/VV+는/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.91.4.2
신체 특성에 따라 보온이 필요한 부위에 안감으로 넣어 일교차가 심한 가을철 아웃도어 활동 때 체온 보호에 도움을 준다.

신체	신체/NNG
특성에	특성/NNG+에/JKB
따라	따르/VV+아/EC
보온이	보온/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
부위에	부위/NNG+에/JKB
안감으로	안감/NNG+으로/JKB
넣어	넣/VV+어/EC
일교차가	일교차/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
가을철	가을철/NNG
아웃도어	아웃도어/NNG
활동	활동/NNG
때	때/NNG
체온	체온/NNG
보호에	보호/NNG+에/JKB
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.91.4.3
자체 개발한 방투습 기술도 적용돼 하이킹과 트레킹 등 멀티 아웃도어에 알맞다.

자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
방투습	방투습/NNG
기술도	기술/NNG+도/JX
적용돼	적용/NNG+되/XSV+어/EC
하이킹과	하이킹/NNG+과/JC
트레킹	트레킹/NNG
등	등/NNB
멀티	멀티/NNG
아웃도어에	아웃도어/NNG+에/JKB
알맞다.	알맞/VA+다/EF+./SF


# id : NWRW1800000037.91.4.4
이번 가을 제품으론 컬럼비아의 정통 클래식 디자인과 자연적인 컬러가 돋보이는 사파리 스타일의 ‘오브라이 폴스 재킷’이 눈에 띈다.

이번	이번/NNG
가을	가을/NNG
제품으론	제품/NNG+으로/JKB+ㄴ/JX
컬럼비아의	컬럼비아/NNP+의/JKG
정통	정통/NNG
클래식	클래식/NNG
디자인과	디자인/NNG+과/JC
자연적인	자연/NNG+적/XSN+이/VCP+ㄴ/ETM
컬러가	컬러/NNG+가/JKS
돋보이는	돋보이/VV+는/ETM
사파리	사파리/NNG
스타일의	스타일/NNG+의/JKG
‘오브라이	‘/SS+오브라이/NNP
폴스	폴스/NNP
재킷’이	재킷/NNG+’/SS+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.91.4.5
컬럼비아를 상징하는 큰 포켓 디자인이 더해져 경쾌하고 캐주얼한 분위기를 연출했다.

컬럼비아를	컬럼비아/NNP+를/JKO
상징하는	상징/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
포켓	포켓/NNG
디자인이	디자인/NNG+이/JKS
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
경쾌하고	경쾌하/VA+고/EC
캐주얼한	캐주얼/NNG+하/XSA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.91.5.1
가방과 등산화까지 함께 마련하면 금상첨화다.

가방과	가방/NNG+과/JC
등산화까지	등산화/NNG+까지/JX
함께	함께/MAG
마련하면	마련/NNG+하/XSV+면/EC
금상첨화다.	금상첨화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.91.5.2
‘매니악 데어 백팩’은 탑로딩 방식의 배낭이다.

‘매니악	‘/SS+매니악/NNP
데어	데어/NNP
