# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.99
metadata : {}


# id : NWRW1800000052.99.1.1
중 vs 미·일, 아세안에선 ‘중 일단 승’

중	중/NNP
vs	vs/SL
미·일,	미·일/NNP+,/SP
아세안에선	아세안/NNP+에서/JKB+ㄴ/JX
‘중	‘/SS+중/NNP
일단	일단/MAG
승’	승/NNG+’/SS


# id : NWRW1800000052.99.2.1
정상회의 성명에 중재판결 언급않아

정상회의	정상/NNG+회의/NNG
성명에	성명/NNG+에/JKB
중재판결	중재/NNG+판결/NNG
언급않아	언급/NNG+않/XSV+아/EF


# id : NWRW1800000052.99.3.1
주최국은 ‘친중’…필·미얀마는 ‘온건파’ 새 정권

주최국은	주최국/NNG+은/JX
‘친중’…필·미얀마는	‘/SS+친중/NNG+’/SS+…/SE+필/NNP+·/SP+미얀마/NNP+는/JX
‘온건파’	‘/SS+온건파/NNG+’/SS
새	새/MMA
정권	정권/NNG


# id : NWRW1800000052.99.4.1
일본, 필리핀에 대형순찰선 2척 공여

일본,	일본/NNP+,/SP
필리핀에	필리핀/NNP+에/JKB
대형순찰선	대형/NNG+순찰선/NNG
2척	2/SN+척/NNB
공여	공여/NNG


# id : NWRW1800000052.99.5.1
남중국해 중재 판결 이후 처음 열린 동남아시아국가연합(아세안) 정상회의는 아세안 국가들을 둘러싼 미국·일본 대 중국 구도의 외교전을 명확히 확인하는 자리였지만, 일단은 중국이 우세를 점했다는 평가가 제기된다.

남중국해	남중국해/NNP
중재	중재/NNG
판결	판결/NNG
이후	이후/NNG
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
동남아시아국가연합(아세안)	동남아시아국가연합/NNP+(/SS+아세안/NNP+)/SS
정상회의는	정상/NNG+회의/NNG+는/JX
아세안	아세안/NNP
국가들을	국가/NNG+들/XSN+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
미국·일본	미국/NNP+·/SP+일본/NNP
대	대/NNB
중국	중국/NNP
구도의	구도/NNG+의/JKG
외교전을	외교전/NNG+을/JKO
명확히	명확히/MAG
확인하는	확인/NNG+하/XSV+는/ETM
자리였지만,	자리/NNG+이/VCP+었/EP+지만/EC+,/SP
일단은	일단/MAG+은/JX
중국이	중국/NNP+이/JKS
우세를	우세/NNG+를/JKO
점했다는	점하/VV+았/EP+다는/ETM
평가가	평가/NNG+가/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.99.6.1
6일부터 사흘간 진행중인 아세안 정상회의는 7일 채택한 의장성명에서 남중국해의 인공섬들에 대한 깊은 우려를 표시했다.

6일부터	6/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
아세안	아세안/NNP
정상회의는	정상/NNG+회의/NNG+는/JX
7일	7/SN+일/NNB
채택한	채택/NNG+하/XSV+ㄴ/ETM
의장성명에서	의장/NNG+성명/NNG+에서/JKB
남중국해의	남중국해/NNP+의/JKG
인공섬들에	인공/NNG+섬/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
깊은	깊/VA+은/ETM
우려를	우려/NNG+를/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.99.6.2
현재 문제가 되는 인공섬 대부분은 중국이 건설중인 곳들이지만, 성명은 중국을 직접적으로 거론하지 않았다.

현재	현재/MAG
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
인공섬	인공/NNG+섬/NNG
대부분은	대/XPN+부분/NNG+은/JX
중국이	중국/NNP+이/JKS
건설중인	건설/NNG+중/NNB+이/VCP+ㄴ/ETM
곳들이지만,	곳/NNG+들/XSN+이/VCP+지만/EC+,/SP
성명은	성명/NNG+은/JX
중국을	중국/NNP+을/JKO
직접적으로	직접/NNG+적/XSN+으로/JKB
거론하지	거론/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.99.6.3
성명은 또 남중국해에 대한 중국의 권리를 사실상 부정한 지난 7월 중재판결도 언급하지 않았다.

성명은	성명/NNG+은/JX
또	또/MAG
남중국해에	남중국해/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
권리를	권리/NNG+를/JKO
사실상	사실/NNG+상/XSN
부정한	부정/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
중재판결도	중재/NNG+판결/NNG+도/JX
언급하지	언급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.99.7.1
의장국인 라오스가 마련한 성명은 초안 단계에서부터 중재 판결이 언급되지 않은 것으로 알려졌다.

의장국인	의장국/NNG+이/VCP+ㄴ/ETM
라오스가	라오스/NNP+가/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
성명은	성명/NNG+은/JX
초안	초안/NNG
단계에서부터	단계/NNG+에서부터/JKB
중재	중재/NNG
판결이	판결/NNG+이/JKS
언급되지	언급/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.99.7.2
이에 대해, 타이 <방콕포스트>는 6일 “베이징의 외교 승리”라고 평가했다.

이에	이/NP+에/JKB
대해,	대하/VV+아/EC+,/SP
타이	타이/NNP
<방콕포스트>는	</SS+방콕포스트/NNP+>/SS+는/JX
6일	6/SN+일/NNB
