# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.332
metadata : {}


# id : NWRW1800000026.332.1.1
대형마트도 배추 등 채소 할인판매

대형마트도	대형/NNG+마트/NNG+도/JX
배추	배추/NNG
등	등/NNB
채소	채소/NNG
할인판매	할인/NNG+판매/NNG


# id : NWRW1800000026.332.2.1
서울시와 농협에 이어 주요 대형마트들도 배추를 포함한 채소류 할인 판매에 들어간다.

서울시와	서울시/NNP+와/JC
농협에	농협/NNP+에/JKB
이어	잇/VV+어/EC
주요	주요/NNG
대형마트들도	대형/NNG+마트/NNG+들/XSN+도/JX
배추를	배추/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
채소류	채소/NNG+류/XSN
할인	할인/NNG
판매에	판매/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.332.3.1
7일 유통업계에 따르면 신세계 이마트는 이달 13일까지 전국 129개 점포에서 무·대파·시금치·양파·고추·애호박·쌈채소·고구마 등 농산물 8종을 최대 38.5%까지 할인 판매한다.

7일	7/SN+일/NNB
유통업계에	유통업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
신세계	신세계/NNP
이마트는	이마트/NNP+는/JX
이달	이달/NNG
13일까지	13/SN+일/NNB+까지/JX
전국	전국/NNG
129개	129/SN+개/NNB
점포에서	점포/NNG+에서/JKB
무·대파·시금치·양파·고추·애호박·쌈채소·고구마	무/NNG+·/SP+대/XPN+파/NNG+·/SP+시금치/NNG+·/SP+양파/NNG+·/SP+고추/NNG+·/SP+애호박/NNG+·/SP+쌈/NNG+채소/NNG+·/SP+고구마/NNG
등	등/NNB
농산물	농산물/NNG
8종을	8/SN+종/NNG+을/JKO
최대	최대/NNG
38.5%까지	38/SN+./SP+5/SN+%/SW+까지/JX
할인	할인/NNG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.332.4.1
무는 6일까지 개당 4150원이었던 것을 3250원에 팔고, 한 단 가격이 5680원인 대파는 3980원에 내놓는다.

무는	무/NNG+는/JX
6일까지	6/SN+일/NNB+까지/JX
개당	개/NNB+당/XSN
4150원이었던	4150/SN+원/NNB+이/VCP+었/EP+던/ETM
것을	것/NNB+을/JKO
3250원에	3250/SN+원/NNB+에/JKB
팔고,	팔/VV+고/EC+,/SP
한	한/MMN
단	단/NNG
가격이	가격/NNG+이/JKS
5680원인	5680/SN+원/NNG+이/VCP+ㄴ/ETM
대파는	대/XPN+파/NNG+는/JX
3980원에	3980/SN+원/NNG+에/JKB
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000026.332.4.2
배추는 수급상황이 안정될 때까지 현재 가격(포기당 6450원)을 유지하기로 했다.

배추는	배추/NNG+는/JX
수급상황이	수급/NNG+상황/NNG+이/JKS
안정될	안정/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
현재	현재/MAG
가격(포기당	가격/NNG+(/SS+포기/NNG+당/XSN
6450원)을	6450/SN+원/NNG+)/SS+을/JKO
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.332.5.1
홈플러스는 같은 기간 118개 전 점포에서 배추·고추 등 채소류를 30%까지 싸게 판다.

홈플러스는	홈플러스/NNP+는/JX
같은	같/VA+은/ETM
기간	기간/NNG
118개	118/SN+개/NNB
전	전/MMN
점포에서	점포/NNG+에서/JKB
배추·고추	배추/NNG+·/SP+고추/NNG
등	등/NNB
채소류를	채소/NNG+류/XSN+를/JKO
30%까지	30/SN+%/SW+까지/JX
싸게	싸/VA+게/EC
판다.	팔/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.332.5.2
배추는 한 포기에 5980원, 알타리는 한 단에 3980원에 판매하고 풋고추·부추·깻잎·쑥갓 등 열 가지 채소류는 저렴하게 내놓는다.

배추는	배추/NNG+는/JX
한	한/MMN
포기에	포기/NNG+에/JKB
5980원,	5980/SN+원/NNG+,/SP
알타리는	알타리/NNG+는/JX
단에	단/NNG+에/JKB
3980원에	3980/SN+원/NNG+에/JKB
판매하고	판매/NNG+하/XSV+고/EC
