# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.149
metadata : {}


# id : NWRW1800000036.149.1.1
다빈치·미켈란젤로…르네상스 천재들이 왔다

다빈치·미켈란젤로…르네상스	다빈치/NNP+·/SP+미켈란젤로/NNP+…/SE+르네상스/NNG
천재들이	천재/NNG+들/XSN+이/JKS
왔다	오/VV+았/EP+다/EF


# id : NWRW1800000036.149.2.1
[한겨레] 바티칸 박물관전

[한겨레]	[/SS+한겨레/NNP+]/SS
바티칸	바티칸/NNP
박물관전	박물관전/NNG


# id : NWRW1800000036.149.3.1
라파엘로까지 3대화가 작품 포함

라파엘로까지	라파엘로/NNP+까지/JX
3대화가	3/SN+대/NNG+화가/NNG
작품	작품/NNG
포함	포함/NNG


# id : NWRW1800000036.149.4.1
‘라오콘 군상’ 등은 국내 첫 전시

‘라오콘	‘/SS+라오콘/NNP
군상’	군상/NNG+’/SS
등은	등/NNB+은/JX
국내	국내/NNG
첫	첫/MMN
전시	전시/NNG


# id : NWRW1800000036.149.5.1
2000년 가까이 세계에서 가장 강력한 힘을 지녔던 곳이 가톨릭의 심장 바티칸임을 생각하면 바티칸 박물관이 소장한 보물들의 규모와 위세도 충분히 짐작이 된다.

2000년	2000/SN+년/NNB
가까이	가까이/MAG
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
힘을	힘/NNG+을/JKO
지녔던	지니/VV+었/EP+던/ETM
곳이	곳/NNG+이/JKS
가톨릭의	가톨릭/NNG+의/JKG
심장	심장/NNG
바티칸임을	바티칸/NNP+이/VCP+ㅁ/ETN+을/JKO
생각하면	생각/NNG+하/XSV+면/EC
바티칸	바티칸/NNP
박물관이	박물관/NNG+이/JKS
소장한	소장/NNG+하/XSV+ㄴ/ETM
보물들의	보물/NNG+들/XSN+의/JKG
규모와	규모/NNG+와/JC
위세도	위세/NNG+도/JX
충분히	충분히/MAG
짐작이	짐작/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.149.5.2
수많은 세계적 미술관과 박물관보다 더 유명한 바티칸 박물관의 자랑거리 소장품 70여점이 한국에 왔다.

수많은	수많/VA+은/ETM
세계적	세계/NNG+적/XSN
미술관과	미술관/NNG+과/JC
박물관보다	박물관/NNG+보다/JKB
더	더/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
바티칸	바티칸/NNP
박물관의	박물관/NNG+의/JKG
자랑거리	자랑거리/NNG
소장품	소장품/NNG
70여점이	70/SN+여/XSN+점/NNB+이/JKS
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.149.5.3
서울 예술의전당 한가람미술관에서 내년 3월31일까지 열리는 ‘바티칸 박물관전-르네상스의 천재 화가들’ 전시회다.

서울	서울/NNP
예술의전당	예술의전당/NNP
한가람미술관에서	한가람미술관/NNP+에서/JKB
내년	내년/NNG
3월31일까지	3/SN+월/NNB+31/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
‘바티칸	‘/SS+바티칸/NNP
박물관전-르네상스의	박물관전/NNG+-/SO+르네상스/NNG+의/JKG
천재	천재/NNG
화가들’	화가/NNG+들/XSN+’/SS
전시회다.	전시회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.6.1
