# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.185
metadata : {}


# id : NWRW1800000046.185.1.1
[NOW] 1200명 중 110명이 육아휴직… 한 區廳의 아우성

[NOW]	[/SS+NOW/SL+]/SS
1200명	1200/SN+명/NNB
중	중/NNB
110명이	110/SN+명/NNB+이/JKS
육아휴직…	육아/NNG+휴직/NNG+…/SE
한	한/MMN
區廳의	區廳/SH+의/JKG
아우성	아우성/NNG


# id : NWRW1800000046.185.2.1
지자체들 "대체인력 좀…"

지자체들	지자체/NNG+들/XSN
"대체인력	"/SS+대체/NNG+인력/NNG
좀…"	좀/MAG+…/SE+"/SS


# id : NWRW1800000046.185.3.1
지난 27일 오후 서울의 한 구청 여권민원과는 점심때가 훌쩍 지난 근무 시간인데도 창구 4곳 중 2곳이 비어 있었다.

지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
오후	오후/NNG
서울의	서울/NNP+의/JKG
한	한/MMN
구청	구청/NNG
여권민원과는	여권/NNG+민원과/NNG+는/JX
점심때가	점심때/NNG+가/JKS
훌쩍	훌쩍/MAG
근무	근무/NNG
시간인데도	시간/NNG+이/VCP+ㄴ데/EC+도/JX
창구	창구/NNG
4곳	4/SN+곳/NNG
중	중/NNB
2곳이	2/SN+곳/NNG+이/JKS
비어	비/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.185.3.2
대기 의자엔 민원인 10여명이 순번을 기다리고 있었다.

대기	대기/NNG
의자엔	의자/NNG+에/JKB+ㄴ/JX
민원인	민원인/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
순번을	순번/NNG+을/JKO
기다리고	기다리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.185.3.3
이 여권민원과 정원은 26명이지만 현재 4명이 출산휴가와 육아휴직으로 자리를 비운 상태다.

이	이/MMD
여권민원과	여권/NNG+민원과/NNG
정원은	정원/NNG+은/JX
26명이지만	26/SN+명/NNB+이/VCP+지만/EC
현재	현재/MAG
4명이	4/SN+명/NNB+이/JKS
출산휴가와	출산/NNG+휴가/NNG+와/JC
육아휴직으로	육아/NNG+휴직/NNG+으로/JKB
자리를	자리/NNG+를/JKO
비운	비우/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.185.3.4
하루 방문 민원인이 400~500명에 달할 만큼 붐비는 곳이지만 인력은 충원되지 않고 있다.

하루	하루/NNG
방문	방문/NNG
민원인이	민원인/NNG+이/JKS
400~500명에	400/SN+~/SO+500/SN+명/NNB+에/JKB
달할	달하/VV+ㄹ/ETM
만큼	만큼/NNB
붐비는	붐비/VV+는/ETM
곳이지만	곳/NNG+이/VCP+지만/EC
인력은	인력/NNG+은/JX
충원되지	충원/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.185.3.5
구청 관계자는 "여권 발급 기일을 지키려면 신청 당일 서류 작업을 마무리해야 하기 때문에 어제도 밤 10시까지 일했다"며 "석 달 전 계약직 직원 1명을 채용했지만 여권 업무를 처리할 법적 권한이 없어서 단순 작업만 하고 있다"고 했다.

구청	구청/NNG
관계자는	관계자/NNG+는/JX
"여권	"/SS+여권/NNG
발급	발급/NNG
기일을	기일/NNG+을/JKO
지키려면	지키/VV+려면/EC
신청	신청/NNG
당일	당일/NNG
서류	서류/NNG
작업을	작업/NNG+을/JKO
마무리해야	마무리/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
어제도	어제/NNG+도/JX
밤	밤/NNG
10시까지	10/SN+시/NNB+까지/JX
