# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.118
metadata : {}


# id : NWRW1800000054.118.1.1
'잘 해라' 대신 '잘 할 수 있어'라 해보세요

'잘	'/SS+잘/MAG
해라'	하/VV+아라/EF+'/SS
대신	대신/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있어'라	있/VA+어/EF+'/SS+라/JKQ
해보세요	하/VV+아/EC+보/VX+시/EP+어요/EF


# id : NWRW1800000054.118.2.1
백지선 아이스하키 男 대표팀 감독

백지선	백지선/NNP
아이스하키	아이스하키/NNG
男	男/SH
대표팀	대표/NNG+팀/NNG
감독	감독/NNG


# id : NWRW1800000054.118.3.1
20일 서울대 사범대학교.

20일	20/SN+일/NNB
서울대	서울대/NNP
사범대학교.	사범/NNG+대/XPN+학교/NNG+./SF


# id : NWRW1800000054.118.3.2
외국인 학생 60여명이 백지선(50·사진) 아이스하키 남자 국가대표팀 감독의 말 한마디 한마디에 집중했다.

외국인	외국인/NNG
학생	학생/NNG
60여명이	60/SN+여/XSN+명/NNB+이/JKS
백지선(50·사진)	백지선/NNP+(/SS+50/SN+·/SP+사진/NNG+)/SS
아이스하키	아이스하키/NNG
남자	남자/NNG
국가대표팀	국가/NNG+대표/NNG+팀/NNG
감독의	감독/NNG+의/JKG
말	말/NNG
한마디	한마디/NNG
한마디에	한마디/NNG+에/JKB
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.3.3
이들은 동남아, 아프리카 등 스포츠 환경이 열악한 개발도상국에서 서울대로 와 스포츠행정가 양성 교육을 받고 있다.

이들은	이/NP+들/XSN+은/JX
동남아,	동남아/NNP+,/SP
아프리카	아프리카/NNP
등	등/NNB
스포츠	스포츠/NNG
환경이	환경/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
개발도상국에서	개발/NNG+도상국/NNG+에서/JKB
서울대로	서울대/NNP+로/JKB
와	오/VV+아/EC
스포츠행정가	스포츠/NNG+행정가/NNG
양성	양성/NNG
교육을	교육/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.118.3.4
아이스하키 불모지였던 한국에서 남자 아이스하키팀을 세계 정상급으로 끌어올린 백지선 감독이 이들에게 자신만의 리더십을 전하기 위해 서울대 강단에 섰다.

아이스하키	아이스하키/NNG
불모지였던	불모지/NNG+이/VCP+었/EP+던/ETM
한국에서	한국/NNP+에서/JKB
남자	남자/NNG
아이스하키팀을	아이스하키/NNG+팀/NNG+을/JKO
세계	세계/NNG
정상급으로	정상급/NNG+으로/JKB
끌어올린	끌어올리/VV+ㄴ/ETM
백지선	백지선/NNP
감독이	감독/NNG+이/JKS
이들에게	이/NP+들/XSN+에게/JKB
자신만의	자신/NNG+만/JX+의/JKG
리더십을	리더십/NNG+을/JKO
전하기	전하/VV+기/ETN
위해	위하/VV+아/EC
서울대	서울대/NNP
강단에	강단/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.118.4.1
백 감독은 자신의 아이스하키 경험을 바탕으로 리더십의 중요성을 강조했다.

백	백/NNP
감독은	감독/NNG+은/JX
자신의	자신/NNG+의/JKG
아이스하키	아이스하키/NNG
경험을	경험/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
리더십의	리더십/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.4.2
"리더는 긍정적인 태도를 가져야 한다.

"리더는	"/SS+리더/NNG+는/JX
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
가져야	가지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.118.4.3
긍정적인 태도가 사람을 바꾼다"고 했다.

긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도가	태도/NNG+가/JKS
사람을	사람/NNG+을/JKO
바꾼다"고	바꾸/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.4.4
백 감독은 훈련과 시합 때 선수들에게 "이것밖에 못하냐"는 부정적인 언어 대신 "잘했어.

백	백/NNP
감독은	감독/NNG+은/JX
훈련과	훈련/NNG+과/JC
시합	시합/NNG
때	때/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
"이것밖에	"/SS+이것/NP+밖에/JX
못하냐"는	못/MAG+하/VV+냐/EF+"/SS+는/ETM
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
언어	언어/NNG
대신	대신/NNG
"잘했어.	"/SS+잘/MAG+하/XSV+았/EP+어/EF+./SF


# id : NWRW1800000054.118.4.5
우리가 이길 수 있다고 믿어" 같은 긍정적 언어를 사용했다고 한다.

우리가	우리/NP+가/JKS
이길	이기/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
믿어"	믿/VV+어/EF+"/SS
같은	같/VA+은/ETM
긍정적	긍정/NNG+적/XSN
언어를	언어/NNG+를/JKO
사용했다고	사용/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.118.5.1
그 결과는 놀라웠다.

그	그/MMD
결과는	결과/NNG+는/JX
놀라웠다.	놀랍/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.118.5.2
2014년 3부리그에 머물던 한국 국가대표팀은 그해 7월 백 감독 부임 이후 성적이 꾸준히 올랐다.

2014년	2014/SN+년/NNB
3부리그에	3부리그/NNG+에/JKB
머물던	머물/VV+던/ETM
한국	한국/NNP
