# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.379
metadata : {}


# id : NWRW1800000033.379.1.1
[선택 2012 대선 D-21]安 지지층 21.9% “아직 마음 못정해”

[선택	[/SS+선택/NNG
2012	2012/SN
대선	대선/NNG
D-21]安	D/SL+-/SO+21/SN+]/SS+安/SH
지지층	지지/NNG+층/XSN
21.9%	21/SN+./SP+9/SN+%/SW
“아직	“/SS+아직/MAG
마음	마음/NNG
못정해”	못/MAG+정하/VV+아/EF+”/SS


# id : NWRW1800000033.379.2.1
■ R&R 24~26일 여론조사… 40대 초반 文, 후반 朴 우세

■	■/SW
R&R	R/SL+&/SW+R/SL
24~26일	24/SN+~/SO+26/SN+일/NNB
여론조사…	여론/NNG+조사/NNG+…/SE
40대	40/SN+대/NNB
초반	초반/NNG
文,	文/SH+,/SP
후반	후반/NNG
朴	朴/SH
우세	우세/NNG


# id : NWRW1800000033.379.3.1
안철수 전 대선후보의 지지자 중 20%가량은 이번 대선에서 지지할 후보를 정하지 못한 것으로 나타났다.

안철수	안철수/NNP
전	전/MMD
대선후보의	대선/NNG+후보/NNG+의/JKG
지지자	지지자/NNG
중	중/NNB
20%가량은	20/SN+%/SW+가량/XSN+은/JX
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
지지할	지지/NNG+하/XSV+ㄹ/ETM
후보를	후보/NNG+를/JKO
정하지	정하/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.379.3.2
‘안철수 현상’을 만들어낸 이들 부동층의 표심이 중요한 변수로 떠오른 가운데 이들 중 상당수는 안 전 후보의 갑작스러운 사퇴에 대안 후보를 찾기보다 투표를 포기할 가능성이 크다는 분석도 나온다.

‘안철수	‘/SS+안철수/NNP
현상’을	현상/NNG+’/SS+을/JKO
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
이들	이/NP+들/XSN
부동층의	부동/NNG+층/XSN+의/JKG
표심이	표심/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
변수로	변수/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
가운데	가운데/NNG
중	중/NNB
상당수는	상당수/NNG+는/JX
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
갑작스러운	갑작스럽/VA+ㄴ/ETM
