# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.265
metadata : {}


# id : NWRW1800000029.265.1.1
[2011서울국제마라톤- 제 82회 동아마라톤]35세 굼리, 마라톤 전향 5년만에 생애 첫 우승”

[2011서울국제마라톤-	[/SS+2011/SN+서울/NNP+국제/NNG+마라톤/NNG+-/SO
제	제/XPN
82회	82/SN+회/NNB
동아마라톤]35세	동아/NNP+마라톤/NNG+]/SS+35/SN+세/NNB
굼리,	굼리/NNP+,/SP
마라톤	마라톤/NNG
전향	전향/NNG
5년만에	5/SN+년/NNB+만/NNB+에/JKB
생애	생애/NNG
첫	첫/MMN
우승”	우승/NNG+”/SS


# id : NWRW1800000029.265.2.1
“2등 꼬리표 떼고 이제 내 인생에 초록불”

“2등	“/SS+2/SN+등/NNB
꼬리표	꼬리표/NNG
떼고	떼/VV+고/EC
이제	이제/MAG
내	나/NP+의/JKG
인생에	인생/NNG+에/JKB
초록불”	초록불/NNG+”/SS


# id : NWRW1800000029.265.3.1
엘리트 남자부 우승 굼리

엘리트	엘리트/NNG
남자부	남자부/NNG
우승	우승/NNG
굼리	굼리/NNP


# id : NWRW1800000029.265.4.1
“내 인생에 초록불(Green Light)이 켜진 것 같다.”

“내	“/SS+나/NP+의/JKG
인생에	인생/NNG+에/JKB
초록불(Green	초록불/NNG+(/SS+Green/SL
Light)이	Light/SL+)/SS+이/JKS
켜진	켜/VV+어/EC+지/VX+ㄴ/ETM
것	것/NNB
같다.”	같/VA+다/EF+./SF+”/SS


# id : NWRW1800000029.265.5.1
20일 2011 서울국제마라톤대회 겸 제82회 동아마라톤대회에서 2시간9분11초의 기록으로 우승한 압데르라힘 굼리(35·모로코)는 결승테이프를 끊은 직후 비에 젖은 잠실주경기장 트랙에 입맞춤을 했다.

20일	20/SN+일/NNB
2011	2011/SN
서울국제마라톤대회	서울/NNP+국제/NNG+마라톤/NNG+대회/NNG
겸	겸/NNB
제82회	제/XPN+82/SN+회/NNB
동아마라톤대회에서	동아/NNP+마라톤/NNG+대회/NNG+에서/JKB
2시간9분11초의	2/SN+시간/NNB+9/SN+분/NNB+11/SN+초/NNB+의/JKG
기록으로	기록/NNG+으로/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
압데르라힘	압데르라힘/NNP
굼리(35·모로코)는	굼리/NNP+(/SS+35/SN+·/SP+모로코/NNP+)/SS+는/JX
결승테이프를	결승/NNG+테이프/NNG+를/JKO
끊은	끊/VV+은/ETM
직후	직후/NNG
비에	비/NNG+에/JKB
젖은	젖/VV+은/ETM
잠실주경기장	잠실주경기장/NNP
트랙에	트랙/NNG+에/JKB
입맞춤을	입맞춤/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.6.1
2008년 런던 마라톤에서 2시간5분30초로 3위에 오른 그는 이번 대회 참가 선수 중 유일하게 2시간5분대 기록을 갖고 있었다.

2008년	2008/SN+년/NNB
런던	런던/NNP
마라톤에서	마라톤/NNG+에서/JKB
2시간5분30초로	2/SN+시간/NNB+5/SN+분/NNB+30/SN+초/NNB+로/JKB
3위에	3/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
그는	그/NP+는/JX
이번	이번/NNG
대회	대회/NNG
참가	참가/NNG
선수	선수/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
2시간5분대	2/SN+시간/NNB+5/SN+분/NNB+대/XSN
기록을	기록/NNG+을/JKO
갖고	갖/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.265.6.2
그는 2007년 런던 마라톤에서 2위(2시간7분44초)를 했고 2009년 시카고 마라톤에서도 2위(2시간6분04초)에 오르는 등 메이저대회에서 꾸준히 좋은 성적을 냈다.

그는	그/NP+는/JX
2007년	2007/SN+년/NNB
런던	런던/NNP
마라톤에서	마라톤/NNG+에서/JKB
2위(2시간7분44초)를	2/SN+위/NNB+(/SS+2/SN+시간/NNB+7/SN+분/NNB+44/SN+초/NNB+)/SS+를/JKO
했고	하/VV+았/EP+고/EC
2009년	2009/SN+년/NNB
시카고	시카고/NNP
마라톤에서도	마라톤/NNG+에서/JKB+도/JX
2위(2시간6분04초)에	2/SN+위/NNB+(/SS+2/SN+시간/NNB+6/SN+분/NNB+04/SN+초/NNB+)/SS+에/JKB
오르는	오르/VV+는/ETM
등	등/NNB
메이저대회에서	메이저/NNG+대회/NNG+에서/JKB
꾸준히	꾸준히/MAG
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.265.6.3
하지만 우승과는 인연이 없었다.

하지만	하지만/MAJ
우승과는	우승/NNG+과/JKB+는/JX
인연이	인연/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.265.7.1
대회 전 기자회견에서 “2등만 많이 했다.

대회	대회/NNG
전	전/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“2등만	“/SS+2/SN+등/NNB+만/JX
많이	많이/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.7.2
이번 대회에서 2등 꼬리표를 떼보겠다”고 각오를 밝혔던 그는 처음 밟은 한국 땅에서 우승 한을 풀었다.

이번	이번/NNG
대회에서	대회/NNG+에서/JKB
2등	2/SN+등/NNB
