# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.59
metadata : {}


# id : NWRW1800000030.59.1.1
다리 저리고 아프면 무조건 디스크?

다리	다리/NNG
저리고	저리/VA+고/EC
아프면	아프/VA+면/EC
무조건	무/XPN+조건/NNG
디스크?	디스크/NNG+?/SF


# id : NWRW1800000030.59.1.2
혈관 좁아지는 말초동맥질환도 많다

혈관	혈관/NNG
좁아지는	좁아지/VV+는/ETM
말초동맥질환도	말초/NNG+동맥/NNG+질환/NNG+도/JX
많다	많/VA+다/EF


# id : NWRW1800000030.59.2.1
대전에 사는 김모(70)씨는 2년 전부터 조금만 걸어도 다리가 아파 앉아서 쉬어야 했다.

대전에	대전/NNP+에/JKB
사는	살/VV+는/ETM
김모(70)씨는	김/NNP+모/NP+(/SS+70/SN+)/SS+씨/NNB+는/JX
2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
조금만	조금/NNG+만/JX
걸어도	걷/VV+어도/EC
다리가	다리/NNG+가/JKS
아파	아프/VA+아/EC
앉아서	앉/VV+아서/EC
쉬어야	쉬/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.59.2.2
척추에 문제가 있는 줄 알고 병원을 찾아갔으나 이상이 없었고, 의사는 "혈관문제일 수도 있다"며 혈관 단층 촬영을 시행했다.

척추에	척추/NNG+에/JKB
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
줄	줄/NNB
알고	알/VV+고/EC
병원을	병원/NNG+을/JKO
찾아갔으나	찾아가/VV+았/EP+으나/EC
이상이	이상/NNG+이/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
의사는	의사/NNG+는/JX
"혈관문제일	"/SS+혈관/NNG+문제/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
혈관	혈관/NNG
단층	단층/NNG
촬영을	촬영/NNG+을/JKO
시행했다.	시행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.59.2.3
검사결과 오른쪽 대퇴동맥이 90%가량 좁아지고 왼쪽은 완전히 막힌 말초동맥 질환이었다.

검사결과	검사/NNG+결과/NNG
오른쪽	오른쪽/NNG
대퇴동맥이	대퇴/NNG+동맥/NNG+이/JKS
90%가량	90/SN+%/SW+가량/XSN
좁아지고	좁아지/VV+고/EC
왼쪽은	왼쪽/NNG+은/JX
완전히	완전히/MAG
막힌	막히/VV+ㄴ/ETM
말초동맥	말초/NNG+동맥/NNG
질환이었다.	질환/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.59.2.4
의사는 "조금만 늦었으면 발이 괴사해 절단할 상황이었다"고 말했다.

의사는	의사/NNG+는/JX
"조금만	"/SS+조금/NNG+만/JX
늦었으면	늦/VA+었/EP+으면/EC
발이	발/NNG+이/JKS
괴사해	괴사/NNG+하/XSV+아/EC
절단할	절단/NNG+하/XSV+ㄹ/ETM
상황이었다"고	상황/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.59.2.5
김씨는 오른쪽 혈관에 스텐트를 삽입하고 왼쪽 혈관에 인조혈관을 붙이는 대수술을 받았다.

김씨는	김/NNP+씨/NNB+는/JX
오른쪽	오른쪽/NNG
혈관에	혈관/NNG+에/JKB
스텐트를	스텐트/NNG+를/JKO
삽입하고	삽입/NNG+하/XSV+고/EC
왼쪽	왼쪽/NNG
인조혈관을	인조/NNG+혈관/NNG+을/JKO
붙이는	붙이/VV+는/ETM
대수술을	대/XPN+수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.59.3.1
◆환자 절반은 척추 질환으로 착각

◆환자	◆/SW+환자/NNG
절반은	절반/NNG+은/JX
척추	척추/NNG
질환으로	질환/NNG+으로/JKB
착각	착각/NNG


# id : NWRW1800000030.59.4.1
말초동맥 질환은 노화와 함께 동맥경화로 혈관이 좁아지고 혈액 공급이 제대로 이뤄지지 않는 질병이다.

말초동맥	말초/NNG+동맥/NNG
질환은	질환/NNG+은/JX
노화와	노화/NNG+와/JKB
함께	함께/MAG
동맥경화로	동맥/NNG+경화/NNG+로/JKB
혈관이	혈관/NNG+이/JKS
좁아지고	좁아지/VV+고/EC
혈액	혈액/NNG
공급이	공급/NNG+이/JKS
제대로	제대로/MAG
이뤄지지	이뤄지/VV+지/EC
않는	않/VX+는/ETM
질병이다.	질병/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.59.4.2
대부분 다리의 말초동맥부터 문제가 생긴다.

대부분	대/XPN+부분/NNG
다리의	다리/NNG+의/JKG
말초동맥부터	말초/NNG+동맥/NNG+부터/JX
문제가	문제/NNG+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.59.5.1
현재 국내 60세 이상의 약 18%가 정도 차는 있지만 말초동맥 질환을 가지고 있다.

현재	현재/MAG
국내	국내/NNG
60세	60/SN+세/NNB
이상의	이상/NNG+의/JKG
약	약/MMA
18%가	18/SN+%/SW+가/JKS
정도	정도/NNG
차는	차/NNG+는/JX
있지만	있/VA+지만/EC
말초동맥	말초/NNG+동맥/NNG
질환을	질환/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.59.5.2
걸을 때마다 다리가 저리고 아픈 것이 주요 증상인데, 척추관협착증과 증상이 비슷해 헷갈리는 환자가 많다.

걸을	걷/VV+을/ETM
때마다	때/NNG+마다/JX
다리가	다리/NNG+가/JKS
저리고	저리/VA+고/EC
아픈	아프/VA+ㄴ/ETM
것이	것/NNB+이/JKS
주요	주요/NNG
증상인데,	증상/NNG+이/VCP+ㄴ데/EC+,/SP
척추관협착증과	척추관/NNG+협착증/NNG+과/JKB
증상이	증상/NNG+이/JKS
비슷해	비슷하/VA+아/EC
헷갈리는	헷갈리/VV+는/ETM
환자가	환자/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.59.5.3
건양대병원 흉부외과 윤치순 교수는 "말초동맥 질환 환자의 절반가량은 척추 질환으로 착각해서 정형외과를 들렀다 온다"고 말했다.

건양대병원	건양대병원/NNP
흉부외과	흉부외과/NNG
윤치순	윤치순/NNP
교수는	교수/NNG+는/JX
"말초동맥	"/SS+말초/NNG+동맥/NNG
질환	질환/NNG
환자의	환자/NNG+의/JKG
절반가량은	절반/NNG+가량/XSN+은/JX
척추	척추/NNG
질환으로	질환/NNG+으로/JKB
착각해서	착각/NNG+하/XSV+아서/EC
정형외과를	정형외과/NNG+를/JKO
들렀다	들르/VV+었/EP+다/EC
온다"고	오/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.59.6.1
말초동맥 질환은 제때 치료하지 않으면 가만히 있을 때도 다리에 통증이 계속되고 상처가 생겨도 잘 낫지 않으며, 결국 발이 썩는다.

말초동맥	말초/NNG+동맥/NNG
질환은	질환/NNG+은/JX
제때	제때/NNG
치료하지	치료/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
가만히	가만히/MAG
있을	있/VV+을/ETM
때도	때/NNG+도/JX
다리에	다리/NNG+에/JKB
통증이	통증/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
상처가	상처/NNG+가/JKS
생겨도	생기/VV+어도/EC
잘	잘/MAG
낫지	낫/VV+지/EC
않으며,	않/VX+으며/EC+,/SP
결국	결국/MAG
발이	발/NNG+이/JKS
썩는다.	썩/VV+는다/EF+./SF


# id : NWRW1800000030.59.6.2
세브란스병원 심장혈관외과 이택연 교수는 "증상이 가벼우면 아스피린이나 혈관확장제 등을 써서 약물치료를 하며, 약물로 효과가 없으면 스텐트 시술이나 인조혈관을 붙이는 수술을 해야 한다"고 말했다.

세브란스병원	세브란스병원/NNP
심장혈관외과	심장혈관외과/NNG
이택연	이택연/NNP
교수는	교수/NNG+는/JX
"증상이	"/SS+증상/NNG+이/JKS
가벼우면	가볍/VA+으면/EC
아스피린이나	아스피린/NNP+이나/JC
혈관확장제	혈관/NNG+확장제/NNG
등을	등/NNB+을/JKO
써서	쓰/VV+어서/EC
약물치료를	약물/NNG+치료/NNG+를/JKO
하며,	하/VV+며/EC+,/SP
약물로	약물/NNG+로/JKB
효과가	효과/NNG+가/JKS
없으면	없/VA+으면/EC
스텐트	스텐트/NNG
시술이나	시술/NNG+이나/JC
인조혈관을	인조/NNG+혈관/NNG+을/JKO
붙이는	붙이/VV+는/ETM
수술을	수술/NNG+을/JKO
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.59.7.1
혈관이 100% 막혀 조직의 괴사가 일어난 상태라면 현재의 의술로는 치료할 수 없어 환부를 절단해야 하므로 일찍 발견하는 것이 관건이다.

혈관이	혈관/NNG+이/JKS
100%	100/SN+%/SW
막혀	막히/VV+어/EC
조직의	조직/NNG+의/JKG
괴사가	괴사/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
상태라면	상태/NNG+이/VCP+라면/EC
현재의	현재/NNG+의/JKG
의술로는	의술/NNG+로/JKB+는/JX
치료할	치료/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
환부를	환부/NNG+를/JKO
절단해야	절단/NNG+하/XSV+아야/EC
하므로	하/VX+므로/EC
일찍	일찍/MAG
발견하는	발견/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.59.7.2
조직이 죽기 시작했으면 괴사 부위가 확대되는 것을 막기 위한 약물치료 등을 한다.

조직이	조직/NNG+이/JKS
죽기	죽/VV+기/ETN
시작했으면	시작/NNG+하/XSV+았/EP+으면/EC
괴사	괴사/NNG
부위가	부위/NNG+가/JKS
확대되는	확대/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
약물치료	약물/NNG+치료/NNG
등을	등/NNB+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.59.8.1
◆다리 혈압이 팔 혈압보다 낮으면 의심해야

◆다리	◆/SW+다리/NNG
혈압이	혈압/NNG+이/JKS
팔	팔/NNG
혈압보다	혈압/NNG+보다/JKB
낮으면	낮/VA+으면/EC
의심해야	의심/NNG+하/XSV+아야/EC


# id : NWRW1800000030.59.9.1
걸을 때 나타나는 증상과 함께 발목·무릎 등 다리의 혈압이 팔 혈압의 90%에 미치지 못하면 말초동맥 질환을 의심해볼 필요가 있다.

걸을	걷/VV+을/ETM
때	때/NNG
나타나는	나타나/VV+는/ETM
증상과	증상/NNG+과/JKB
함께	함께/MAG
발목·무릎	발목/NNG+·/SP+무릎/NNG
등	등/NNB
다리의	다리/NNG+의/JKG
혈압이	혈압/NNG+이/JKS
팔	팔/NNG
혈압의	혈압/NNG+의/JKG
90%에	90/SN+%/SW+에/JKB
미치지	미치/VV+지/EC
못하면	못하/VX+면/EC
말초동맥	말초/NNG+동맥/NNG
질환을	질환/NNG+을/JKO
의심해볼	의심/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.59.9.2
일반인은 스스로 발목 등의 혈압을 정확하게 재기 어려우므로 가까운 병·의원에 가서 재는 것이 확실하다.

일반인은	일반인/NNG+은/JX
스스로	스스로/MAG
발목	발목/NNG
등의	등/NNB+의/JKG
