# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.96
metadata : {}


# id : NWRW1800000045.96.1.1
순천향대, 학생부교과전형, 2개 교과에 가중치 10% 부여

순천향대,	순천향대/NNP+,/SP
학생부교과전형,	학생부/NNG+교과/NNG+전형/NNG+,/SP
2개	2/SN+개/NNB
교과에	교과/NNG+에/JKB
가중치	가중/NNG+치/XSN
10%	10/SN+%/SW
부여	부여/NNG


# id : NWRW1800000045.96.2.1
[2016 大入수시 필승전략]

[2016	[/SS+2016/SN
大入수시	大入/SH+수시/NNG
필승전략]	필승/NNG+전략/NNG+]/SS


# id : NWRW1800000045.96.3.1
순천향대는 2016학년도 수시모집에서 총 모집 인원의 68%인 1737명을 선발한다.

순천향대는	순천향대/NNP+는/JX
2016학년도	2016/SN+학년도/NNG
수시모집에서	수시/NNG+모집/NNG+에서/JKB
총	총/MMA
모집	모집/NNG
인원의	인원/NNG+의/JKG
68%인	68/SN+%/SW+이/VCP+ㄴ/ETM
1737명을	1737/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.3.2
9월 9∼15일 인터넷으로 원서를 접수한다.

9월	9/SN+월/NNB
9∼15일	9/SN+∼/SO+15/SN+일/NNB
인터넷으로	인터넷/NNG+으로/JKB
원서를	원서/NNG+를/JKO
접수한다.	접수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.3.3
수시모집은 크게 학생부교과전형(865명), 학생부종합전형(772명), 실기위주전형(100명)으로 나뉜다.

수시모집은	수시/NNG+모집/NNG+은/JX
크게	크/VA+게/EC
학생부교과전형(865명),	학생부/NNG+교과/NNG+전형/NNG+(/SS+865/SN+명/NNB+)/SS+,/SP
학생부종합전형(772명),	학생부/NNG+종합/NNG+전형/NNG+(/SS+772/SN+명/NNB+)/SS+,/SP
실기위주전형(100명)으로	실기/NNG+위주/NNG+전형/NNG+(/SS+100/SN+명/NNB+)/SS+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.4.1
학생부교과전형은 학생부교과 성적을 일괄 합산해 100% 반영하며, 수능 최저학력기준을 적용해 학생을 선발한다.

학생부교과전형은	학생부/NNG+교과/NNG+전형/NNG+은/JX
학생부교과	학생부/NNG+교과/NNG
성적을	성적/NNG+을/JKO
일괄	일괄/NNG
합산해	합산/NNG+하/XSV+아/EC
100%	100/SN+%/SW
반영하며,	반영/NNG+하/XSV+며/EC+,/SP
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
학생을	학생/NNG+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.4.2
학생부 성적 반영 교과는 순천향대 지정교과 분류표 내에서 국어 수학 영어 사회 과학 5개 교과 전 과목을 반영하고, 모집단위별로 특정 2개 교과에 가중치를 10%씩 부여한다.

학생부	학생부/NNG
성적	성적/NNG
반영	반영/NNG
교과는	교과/NNG+는/JX
순천향대	순천향대/NNP
지정교과	지정/NNG+교과/NNG
분류표	분류표/NNG
내에서	내/NNB+에서/JKB
국어	국어/NNG
수학	수학/NNG
영어	영어/NNP
사회	사회/NNG
과학	과학/NNG
5개	5/SN+개/NNB
교과	교과/NNG
전	전/MMN
과목을	과목/NNG+을/JKO
반영하고,	반영/NNG+하/XSV+고/EC+,/SP
모집단위별로	모집/NNG+단위/NNG+별/XSN+로/JKB
특정	특정/NNG
2개	2/SN+개/NNB
교과에	교과/NNG+에/JKB
가중치를	가중/NNG+치/XSN+를/JKO
10%씩	10/SN+%/SW+씩/XSN
부여한다.	부여/NNG+하/XSV+ㄴ다/EF+./SF


