# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.96
metadata : {}


# id : NWRW1800000028.96.1.1
험한 세상 다리가 된 휠체어컬링 7년 사랑

험한	험하/VA+ㄴ/ETM
세상	세상/NNG
다리가	다리/NNG+가/JKC
된	되/VV+ㄴ/ETM
휠체어컬링	휠체어/NNG+컬링/NNG
7년	7/SN+년/NNB
사랑	사랑/NNG


# id : NWRW1800000028.96.2.1
김학성(42)씨는 19년 전 산업재해로 하반신 장애를 입었다.

김학성(42)씨는	김학성/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
19년	19/SN+년/NNB
전	전/NNG
산업재해로	산업/NNG+재해/NNG+로/JKB
하반신	하반신/NNG
장애를	장애/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.96.2.2
삶의 나락으로 떨어졌던 그에게 다시 용기를 준 것은 스포츠였다.

삶의	삶/NNG+의/JKG
나락으로	나락/NNG+으로/JKB
떨어졌던	떨어지/VV+었/EP+던/ETM
그에게	그/NP+에게/JKB
다시	다시/MAG
용기를	용기/NNG+를/JKO
준	주/VV+ㄴ/ETM
것은	것/NNB+은/JX
스포츠였다.	스포츠/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.96.2.3
창던지기, 포환던지기 등 육상 투척 선수로 장애인체전에 출전했던 그는 2003년부터 휠체어컬링에 빠져들었다.

창던지기,	창던지기/NNG+,/SP
포환던지기	포환던지기/NNG
등	등/NNB
육상	육상/NNG
투척	투척/NNG
선수로	선수/NNG+로/JKB
장애인체전에	장애인/NNG+체전/NNG+에/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
2003년부터	2003/SN+년/NNB+부터/JX
휠체어컬링에	휠체어/NNG+컬링/NNG+에/JKB
빠져들었다.	빠지/VV+어/EC+들/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.96.2.4
그는 휠체어컬링 동호인 모임인 강원도 원주 연세드림팀에서 자신과 비슷한 처지의 동료들을 만났다.

그는	그/NP+는/JX
휠체어컬링	휠체어/NNG+컬링/NNG
동호인	동호인/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
강원도	강원도/NNP
원주	원주/NNP
연세드림팀에서	연세드림팀/NNP+에서/JKB
자신과	자신/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
처지의	처지/NNG+의/JKG
동료들을	동료/NNG+들/XSN+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.2.5
김명진(39)씨는 29살 때 교통사고로 하반신 장애를 입었고, 조양현(43)씨는 추락사고로 휠체어에 의지하게 됐다.

김명진(39)씨는	김명진/NNP+(/SS+39/SN+)/SS+씨/NNB+는/JX
29살	29/SN+살/NNB
때	때/NNG
교통사고로	교통사고/NNG+로/JKB
하반신	하반신/NNG
장애를	장애/NNG+를/JKO
입었고,	입/VV+었/EP+고/EC+,/SP
조양현(43)씨는	조양현/NNP+(/SS+43/SN+)/SS+씨/NNB+는/JX
추락사고로	추락/NNG+사고/NNG+로/JKB
휠체어에	휠체어/NNG+에/JKB
의지하게	의지/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.96.2.6
박길우(43)씨도 2002년 산업재해로 장애인이 된 뒤 이듬해 휠체어컬링에 입문했다.

박길우(43)씨도	박길우/NNP+(/SS+43/SN+)/SS+씨/NNB+도/JX
2002년	2002/SN+년/NNB
산업재해로	산업/NNG+재해/NNG+로/JKB
장애인이	장애인/NNG+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
이듬해	이듬해/NNG
휠체어컬링에	휠체어/NNG+컬링/NNG+에/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.2.7
2005년에는 만성질환에 의한 척수 출혈로 하반신을 못 쓰게 된 여성 장애인 강미숙(42)씨가 합류했다.

2005년에는	2005/SN+년/NNB+에/JKB+는/JX
만성질환에	만성/NNG+질환/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
척수	척수/NNG
출혈로	출혈/NNG+로/JKB
하반신을	하반신/NNG+을/JKO
못	못/MAG
쓰게	쓰/VV+게/EC
된	되/VV+ㄴ/ETM
여성	여성/NNG
장애인	장애인/NNG
강미숙(42)씨가	강미숙/NNP+(/SS+42/SN+)/SS+씨/NNB+가/JKS
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.2.8
이들이 6~7년 동안 얼음판 위에 흘린 땀이 지금 저 멀리 캐나다 밴쿠버에서 열매를 맺고 있다.

이들이	이/NP+들/XSN+이/JKS
6~7년	6/SN+~/SO+7/SN+년/NNB
동안	동안/NNG
얼음판	얼음판/NNG
위에	위/NNG+에/JKB
흘린	흘리/VV+ㄴ/ETM
땀이	땀/NNG+이/JKS
지금	지금/MAG
저	저/MMD
멀리	멀리/MAG
캐나다	캐나다/NNP
밴쿠버에서	밴쿠버/NNP+에서/JKB
열매를	열매/NNG+를/JKO
맺고	맺/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.96.3.1
태극마크를 단 이들은 19일 새벽(한국시각) 밴쿠버 패럴림픽센터에서 열린 밴쿠버 겨울장애인올림픽(패럴림픽) 휠체어컬링 예선 풀리그 마지막 9차전에서 독일을 9-2로 완파하고 예선 3위(6승3패)로 4강에 올랐다.

태극마크를	태극/NNG+마크/NNG+를/JKO
단	달/VV+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
19일	19/SN+일/NNB
새벽(한국시각)	새벽/NNG+(/SS+한국/NNP+시각/NNG+)/SS
밴쿠버	밴쿠버/NNP
패럴림픽센터에서	패럴림픽/NNG+센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
