# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.385
metadata : {}


# id : NWRW1800000046.385.1.1
朴대통령 訪中에 경제사절단 대거 동행

朴대통령	朴/SH+대통령/NNG
訪中에	訪中/SH+에/JKB
경제사절단	경제/NNG+사절단/NNG
대거	대거/MAG
동행	동행/NNG


# id : NWRW1800000046.385.2.1
기업대표 128명 등 156명

기업대표	기업/NNG+대표/NNG
128명	128/SN+명/NNB
등	등/NNB
156명	156/SN+명/NNB


# id : NWRW1800000046.385.3.1
박근혜 대통령의 2~4일 방중(訪中)에 역대 최대인 156명의 경제 사절단이 동행한다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
2~4일	2/SN+~/SO+4/SN+일/NNB
방중(訪中)에	방중/NNG+(/SS+訪中/SH+)/SS+에/JKB
역대	역대/NNG
최대인	최대/NNG+이/VCP+ㄴ/ETM
156명의	156/SN+명/NNB+의/JKG
경제	경제/NNG
사절단이	사절단/NNG+이/JKS
동행한다.	동행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.385.3.2
안종범 청와대 경제수석은 31일 춘추관에서 방중 관련 브리핑을 갖고 "4일 상하이에서 열릴 비즈니스포럼에는 역대 최대 규모의 우리 경제 사절단이 참여할 것"이라고 밝혔다.

안종범	안종범/NNP
청와대	청와대/NNP
경제수석은	경제/NNG+수석/NNG+은/JX
31일	31/SN+일/NNB
춘추관에서	춘추관/NNP+에서/JKB
방중	방중/NNG
관련	관련/NNG
브리핑을	브리핑/NNG+을/JKO
갖고	갖/VV+고/EC
"4일	"/SS+4/SN+일/NNB
상하이에서	상하이/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
비즈니스포럼에는	비즈니스/NNG+포럼/NNG+에/JKB+는/JX
역대	역대/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
우리	우리/NP
경제	경제/NNG
사절단이	사절단/NNG+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.385.4.1
정부가 확정한 경제 사절단 명단엔 박용만 대한상공회의소 회장(두산그룹 회장) 등 기업 대표 128명이 포함됐다.

정부가	정부/NNG+가/JKS
확정한	확정/NNG+하/XSV+ㄴ/ETM
경제	경제/NNG
사절단	사절단/NNG
명단엔	명단/NNG+에/JKB+ㄴ/JX
박용만	박용만/NNP
대한상공회의소	대한상공회의소/NNP
회장(두산그룹	회장/NNG+(/SS+두산그룹/NNP
회장)	회장/NNG+)/SS
등	등/NNB
기업	기업/NNG
대표	대표/NNG
128명이	128/SN+명/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.385.4.2
이 중 대기업은 삼성 중국 본사와 현대차, LG, 롯데, 현대중공업, 포스코, 금호, 두산 등 23개 사다.

이	이/NP
중	중/NNB
대기업은	대/XPN+기업/NNG+은/JX
삼성	삼성/NNP
중국	중국/NNP
본사와	본사/NNG+와/JC
현대차,	현대차/NNP+,/SP
LG,	LG/SL+,/SP
롯데,	롯데/NNP+,/SP
현대중공업,	현대중공업/NNP+,/SP
포스코,	포스코/NNP+,/SP
금호,	금호/NNP+,/SP
두산	두산/NNP
등	등/NNB
23개	23/SN+개/NNB
사다.	사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.385.4.3
중견·중소기업 대표단은 105개 사로 전체의 82.2%를 차지한다.

