# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.54
metadata : {}


# id : NWRW1800000049.54.1.1
시진핑 위협하는 ‘태상왕 장쩌민’

시진핑	시진핑/NNP
위협하는	위협/NNG+하/XSV+는/ETM
‘태상왕	‘/SS+태상왕/NNG
장쩌민’	장쩌민/NNP+’/SS


# id : NWRW1800000049.54.2.1
아직도 주요정책 결정에 영향력… 시진핑, 90세 생일 축하행사 제동

아직도	아직/MAG+도/JX
주요정책	주요/NNG+정책/NNG
결정에	결정/NNG+에/JKB
영향력…	영향력/NNG+…/SE
시진핑,	시진핑/NNP+,/SP
90세	90/SN+세/NNB
생일	생일/NNG
축하행사	축하/NNG+행사/NNG
제동	제동/NNG


# id : NWRW1800000049.54.3.1
1인 권력 체제를 추구하는 시진핑(習近平) 중국 국가주석이 ‘태상왕’ 장쩌민(江澤民) 전 국가주석을 여전히 두려워한다는 분석이 나왔다.

1인	1/SN+인/NNG
권력	권력/NNG
체제를	체제/NNG+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석이	국가주석/NNG+이/JKS
‘태상왕’	‘/SS+태상왕/NNG+’/SS
장쩌민(江澤民)	장쩌민/NNP+(/SS+江澤民/SH+)/SS
전	전/MMD
국가주석을	국가주석/NNG+을/JKO
여전히	여전히/MAG
두려워한다는	두려워하/VV+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.54.4.1
영국 BBC방송은 중국 공안 당국이 장 전 주석의 팬클럽 하쓰(蛤絲·두꺼비클럽)가 추진한 장 전 주석의 90세 생일(1926년 8월 17일생) 축하 행사 계획에 제동을 걸었다고 15일 보도했다.

영국	영국/NNP
BBC방송은	BBC방송/NNP+은/JX
중국	중국/NNP
공안	공안/NNG
당국이	당국/NNG+이/JKS
장	장/NNP
전	전/MMD
주석의	주석/NNG+의/JKG
팬클럽	팬클럽/NNG
하쓰(蛤絲·두꺼비클럽)가	하쓰/NNP+(/SS+蛤絲/SH+·/SP+두꺼비클럽/NNP+)/SS+가/JKS
추진한	추진/NNG+하/XSV+ㄴ/ETM
90세	90/SN+세/NNB
생일(1926년	생일/NNG+(/SS+1926/SN+년/NNB
8월	8/SN+월/NNB
17일생)	17/SN+일/NNB+생/XSN+)/SS
축하	축하/NNG
행사	행사/NNG
계획에	계획/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸었다고	걸/VV+었/EP+다고/EC
15일	15/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.54.4.2
중국 당국은 인권변호사들과 인권·노동 단체들이 장 전 주석의 생일 축하 행사를 계기로 반(反)체제 활동을 벌일 가능성에 대비했다고 해명한 것으로 전해졌다.

중국	중국/NNP
당국은	당국/NNG+은/JX
인권변호사들과	인권/NNG+변호사/NNG+들/XSN+과/JC
인권·노동	인권/NNG+·/SP+노동/NNG
단체들이	단체/NNG+들/XSN+이/JKS
장	장/NNP
전	전/MMD
주석의	주석/NNG+의/JKG
생일	생일/NNG
축하	축하/NNG
행사를	행사/NNG+를/JKO
계기로	계기/NNG+로/JKB
반(反)체제	반/XPN+(/SS+反/SH+)/SS+체제/NNG
활동을	활동/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대비했다고	대비/NNG+하/XSV+았/EP+다고/EC
해명한	해명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.54.4.3
BBC방송은 이에 대해 ‘장 전 주석이 매우 늙었는데도 불구하고 시 주석이 그의 정치적 영향력에 위협을 느끼고 있는 것’이라고 분석했다.

BBC방송은	BBC방송/NNP+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
‘장	‘/SS+장/NNP
전	전/MMD
주석이	주석/NNG+이/JKS
매우	매우/MAG
늙었는데도	늙/VV+었/EP+는데/EC+도/JX
불구하고	불구하/VV+고/EC
시	시/NNP
그의	그/NP+의/JKG
정치적	정치/NNG+적/XSN
영향력에	영향력/NNG+에/JKB
위협을	위협/NNG+을/JKO
느끼고	느끼/VV+고/EC
있는	있/VX+는/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.54.5.1
2012년 11월 공산당 총서기에 취임한 시 주석은 반부패 운동을 앞세워 정적들을 제거하며 권력을 굳히고 있다.

2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
공산당	공산당/NNP
총서기에	총서기/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
시	시/NNP
주석은	주석/NNG+은/JX
반부패	반/XPN+부패/NNG
운동을	운동/NNG+을/JKO
앞세워	앞세우/VV+어/EC
정적들을	정적/NNG+들/XSN+을/JKO
제거하며	제거/NNG+하/XSV+며/EC
권력을	권력/NNG+을/JKO
굳히고	굳히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.54.5.2
하지만 장 전 주석은 예외다.

하지만	하지만/MAJ
장	장/NNP
전	전/MMD
주석은	주석/NNG+은/JX
예외다.	예외/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.54.5.3
공산당 관계자들은 장 전 주석이 시 주석의 주요 정책에 대해 “그렇게 하면 안 된다.

공산당	공산당/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
장	장/NNP
전	전/MMD
주석이	주석/NNG+이/JKS
시	시/NNP
주석의	주석/NNG+의/JKG
주요	주요/NNG
정책에	정책/NNG+에/JKB
대해	대하/VV+아/EC
“그렇게	“/SS+그렇/VA+게/EC
하면	하/VV+면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.54.5.4
