# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.356
metadata : {}


# id : NWRW1800000033.356.1.1
美의회 보고서 “日에 넘겨준건 시정권… 영유권과 무관”

美의회	美/SH+의회/NNG
보고서	보고서/NNG
“日에	“/SS+日/SH+에/JKB
넘겨준건	넘겨주/VV+ㄴ/ETM+건/NNB
시정권…	시정/NNG+권/XSN+…/SE
영유권과	영유/NNG+권/XSN+과/JKB
무관”	무관/NNG+”/SS


# id : NWRW1800000033.356.2.1
1972년 오키나와-센카쿠 반환 관련 ‘영토분쟁 중립’ 재확인 “美, 대만-中눈치봤다”… 日언론, 분쟁의 불씨 우려

1972년	1972/SN+년/NNB
오키나와-센카쿠	오키나와/NNP+-/SO+센카쿠/NNP
반환	반환/NNG
관련	관련/NNG
‘영토분쟁	‘/SS+영토/NNG+분쟁/NNG
중립’	중립/NNG+’/SS
재확인	재/XPN+확인/NNG
“美,	“/SS+美/SH+,/SP
대만-中눈치봤다”…	대만/NNP+-/SO+中/SH+눈치/NNG+보/VV+았/EP+다/EF+”/SS+…/SE
日언론,	日/SH+언론/NNG+,/SP
분쟁의	분쟁/NNG+의/JKG
불씨	불씨/NNG
우려	우려/NNG


# id : NWRW1800000033.356.3.1
미국이 센카쿠(尖閣) 열도(중국명 댜오위다오·釣魚島) 분쟁과 관련해 일본에 영유권(sovereignty)이 아니라 입법·행정·사법권을 의미하는 시정권(施政權·administration)만 인정했다는 기존 방침을 재확인했다.

미국이	미국/NNP+이/JKS
센카쿠(尖閣)	센카쿠/NNP+(/SS+尖閣/SH+)/SS
열도(중국명	열도/NNG+(/SS+중국/NNP+명/NNG
댜오위다오·釣魚島)	댜오위다오/NNP+·/SP+釣魚島/SH+)/SS
분쟁과	분쟁/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
일본에	일본/NNP+에/JKB
영유권(sovereignty)이	영유/NNG+권/XSN+(/SS+sovereignty/SL+)/SS+이/JKC
아니라	아니/VCN+라/EC
입법·행정·사법권을	입법/NNG+·/SP+행정/NNG+·/SP+사법/NNG+권/XSN+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
시정권(施政權·administration)만	시정/NNG+권/XSN+(/SS+施政權/SH+·/SP+administration/SL+)/SS+만/JX
인정했다는	인정/NNG+하/XSV+았/EP+다는/ETM
기존	기존/NNG
방침을	방침/NNG+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.3.2
미국이 센카쿠 열도를 둘러싼 일본과 중국 사이의 영유권 분쟁과 관련해 중립적인 방침을 재천명함에 따라 양국 간 분쟁이 더욱 격렬해질 것으로 전망된다.

미국이	미국/NNP+이/JKS
센카쿠	센카쿠/NNP
열도를	열도/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
일본과	일본/NNP+과/JC
중국	중국/NNP
사이의	사이/NNG+의/JKG
영유권	영유/NNG+권/XSN
분쟁과	분쟁/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
중립적인	중립/NNG+적/XSN+이/VCP+ㄴ/ETM
방침을	방침/NNG+을/JKO
재천명함에	재/XPN+천명/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
양국	양국/NNG
간	간/NNB
분쟁이	분쟁/NNG+이/JKS
더욱	더욱/MAG
격렬해질	격렬하/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.356.4.1
미 의회 조사국(CRS)은 지난달 25일 이 같은 내용을 담은 ‘센카쿠 열도 분쟁: 미국의 협정 의무’라는 제목의 보고서를 만들어 의회에 보고한 것으로 5일 확인됐다.

미	미/NNP
의회	의회/NNG
조사국(CRS)은	조사국/NNG+(/SS+CRS/SL+)/SS+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
이	이/MMD
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘센카쿠	‘/SS+센카쿠/NNP
열도	열도/NNG
분쟁:	분쟁/NNG+:/SP
미국의	미국/NNP+의/JKG
협정	협정/NNG
의무’라는	의무/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
만들어	만들/VV+어/EC
의회에	의회/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
5일	5/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


