# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.291
metadata : {}


# id : NWRW1800000040.291.1.1
판페르시 21호골…수아레스 1골차 추격

판페르시	판페르시/NNP
21호골…수아레스	21/SN+호/NNB+골/NNG+…/SE+수아레스/NNP
1골차	1/SN+골/NNG+차/NNG
추격	추격/NNG


# id : NWRW1800000040.291.2.1
EPL 득점왕 경쟁 다시 불붙어

EPL	EPL/SL
득점왕	득점왕/NNG
경쟁	경쟁/NNG
다시	다시/MAG
불붙어	불붙/VV+어/EC


# id : NWRW1800000040.291.3.1
2012~2013 시즌 잉글랜드 프리미어리그가 종반으로 치달으면서 맨체스터 유나이티드의 우승이 사실상 확정적인 가운데, 맨유의 골잡이 로빈 판페르시가 다시 득점왕 경쟁에 불을 붙였다.

2012~2013	2012/SN+~/SO+2013/SN
시즌	시즌/NNG
잉글랜드	잉글랜드/NNP
프리미어리그가	프리미어리그/NNG+가/JKS
종반으로	종반/NNG+으로/JKB
치달으면서	치닫/VV+으면서/EC
맨체스터	맨체스터/NNP
유나이티드의	유나이티드/NNP+의/JKG
우승이	우승/NNG+이/JKS
사실상	사실상/MAG
확정적인	확정/NNG+적/XSN+이/VCP+ㄴ/ETM
가운데,	가운데/NNG+,/SP
맨유의	맨유/NNP+의/JKG
골잡이	골잡이/NNG
로빈	로빈/NNP
판페르시가	판페르시/NNP+가/JKS
다시	다시/MAG
득점왕	득점왕/NNG
경쟁에	경쟁/NNG+에/JKB
불을	불/NNG+을/JKO
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.291.4.1
17일(현지시각) 볼린 그라운드에서 열린 맨유의 웨스트햄 유나이티드와의 33라운드 원정경기.

17일(현지시각)	17/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
볼린	볼린/NNP
그라운드에서	그라운드/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
맨유의	맨유/NNP+의/JKG
웨스트햄	웨스트햄/NNP
유나이티드와의	유나이티드/NNP+와/JKB+의/JKG
33라운드	33/SN+라운드/NNG
원정경기.	원정/NNG+경기/NNG+./SF


# id : NWRW1800000040.291.4.2
맨유는 1-2로 뒤지던 후반 32분 판페르시가 골을 넣은 데 힘입어 2-2로 힘겹게 비겼다.

맨유는	맨유/NNP+는/JX
1-2로	1/SN+-/SO+2/SN+로/JKB
뒤지던	뒤지/VV+던/ETM
후반	후반/NNG
32분	32/SN+분/NNB
판페르시가	판페르시/NNP+가/JKS
골을	골/NNG+을/JKO
넣은	넣/VV+은/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
2-2로	2/SN+-/SO+2/SN+로/JKB
힘겹게	힘겹/VA+게/EC
비겼다.	비기/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.291.4.3
이로써 맨유는 26승3무4패 승점 81를 기록해, 한 경기를 덜 치른 2위 맨체스터 시티(20승8무4패 승점 68)와의 격차를 유지했다.

이로써	이/NP+로써/JKB
맨유는	맨유/NNP+는/JX
26승3무4패	26/SN+승/NNB+3/SN+무/NNB+4/SN+패/NNB
승점	승점/NNG
81를	81/SN+를/JKO
기록해,	기록/NNG+하/XSV+아/EC+,/SP
한	한/MMN
경기를	경기/NNG+를/JKO
덜	덜/MAG
치른	치르/VV+ㄴ/ETM
2위	2/SN+위/NNB
맨체스터	맨체스터/NNP
시티(20승8무4패	시티/NNP+(/SS+20/SN+승/NNB+8/SN+무/NNB+4/SN+패/NNB
68)와의	68/SN+)/SS+와/JKB+의/JKG
격차를	격차/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.291.4.4
맨유는 앞으로 남은 5경기에서 승점 6을 추가할 경우, 자력 우승을 확정한다.

맨유는	맨유/NNP+는/JX
앞으로	앞/NNG+으로/JKB
남은	남/VV+은/ETM
5경기에서	5/SN+경기/NNG+에서/JKB
승점	승점/NNG
6을	6/SN+을/JKO
추가할	추가/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
자력	자력/NNG
