# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.200
metadata : {}


# id : NWRW1800000029.200.1.1
故장자연 친필 추정 편지 23장 압수

故장자연	故/SH+장자연/NNP
친필	친필/NNG
추정	추정/NNG
편지	편지/NNG
23장	23/SN+장/NNB
압수	압수/NNG


# id : NWRW1800000029.200.2.1
경찰, 감방 수색… 국과수에 필적감정 의뢰전씨에 프로파일러 보내 주장의 진위 분석

경찰,	경찰/NNG+,/SP
감방	감방/NNG
수색…	수색/NNG+…/SE
국과수에	국과수/NNP+에/JKB
필적감정	필적/NNG+감정/NNG
의뢰전씨에	의뢰/NNG+전/NNP+씨/NNB+에/JKB
프로파일러	프로파일러/NNG
보내	보내/VV+어/EC
주장의	주장/NNG+의/JKG
진위	진위/NNG
분석	분석/NNG


# id : NWRW1800000029.200.3.1
2009년 3월 자살한 연기자 장자연 씨와 수백 통의 편지를 주고받았다고 주장하는 전모 씨(31)가 수감된 감방에서 장 씨의 친필로 추정되는 편지가 발견돼 경찰이 진위 확인에 나섰다.

2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
자살한	자살/NNG+하/XSV+ㄴ/ETM
연기자	연기자/NNG
장자연	장자연/NNP
씨와	씨/NNB+와/JKB
수백	수백/NR
통의	통/NNB+의/JKG
편지를	편지/NNG+를/JKO
주고받았다고	주고받/VV+았/EP+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
전모	전/NNP+모/NP
씨(31)가	씨/NNB+(/SS+31/SN+)/SS+가/JKS
수감된	수감/NNG+되/XSV+ㄴ/ETM
감방에서	감방/NNG+에서/JKB
장	장/NNP
씨의	씨/NNB+의/JKG
친필로	친필/NNG+로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
편지가	편지/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
경찰이	경찰/NNG+이/JKS
진위	진위/NNG
확인에	확인/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.4.1
경기지방경찰청과 분당경찰서는 9일 전 씨가 수감된 광주교도소에 대한 압수수색을 실시해 편지 23장과 편지봉투 20여 개, 복사본 신문 스크랩 70여 장, 우편물 수발대장 등 박스 2개 분량의 자료를 압수했다고 밝혔다.

경기지방경찰청과	경기지방경찰청/NNP+과/JC
분당경찰서는	분당경찰서/NNP+는/JX
9일	9/SN+일/NNB
전	전/NNP
씨가	씨/NNB+가/JKS
수감된	수감/NNG+되/XSV+ㄴ/ETM
광주교도소에	광주교도소/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색을	압수/NNG+수색/NNG+을/JKO
실시해	실시/NNG+하/XSV+아/EC
편지	편지/NNG
23장과	23/SN+장/NNB+과/JC
편지봉투	편지/NNG+봉투/NNG
20여	20/SN+여/XSN
개,	개/NNB+,/SP
복사본	복사본/NNG
신문	신문/NNG
스크랩	스크랩/NNG
70여	70/SN+여/XSN
장,	장/NNB+,/SP
우편물	우편물/NNG
수발대장	수발/NNG+대장/NNG
등	등/NNB
박스	박스/NNG
2개	2/SN+개/NNB
분량의	분량/NNG+의/JKG
자료를	자료/NNG+를/JKO
압수했다고	압수/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.4.2
이날 압수수색은 전 씨가 수감된 방과 감방 내 개인소지품 보관함, 영치물품 창고에 대해 이뤄졌다.

이날	이날/NNG
압수수색은	압수/NNG+수색/NNG+은/JX
전	전/NNP
씨가	씨/NNB+가/JKS
수감된	수감/NNG+되/XSV+ㄴ/ETM
방과	방/NNG+과/JC
감방	감방/NNG
내	내/NNB
개인소지품	개인/NNG+소지품/NNG
보관함,	보관함/NNG+,/SP
영치물품	영치/NNG+물품/NNG
창고에	창고/NNG+에/JKB
대해	대하/VV+아/EC
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.4.3
