# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.381
metadata : {}


# id : NWRW1800000025.381.1.1
현대차그룹 309명 임원승진

현대차그룹	현대차그룹/NNP
309명	309/SN+명/NNB
임원승진	임원/NNG+승진/NNG


# id : NWRW1800000025.381.2.1
현대·기아자동차그룹은 28일 현대자동차 106명, 기아자동차 53명 등 총 309명 규모의 2011년도 정기 임원 승진 인사를 실시했다.

현대·기아자동차그룹은	현대/NNP+·/SP+기아자동차그룹/NNP+은/JX
28일	28/SN+일/NNB
현대자동차	현대자동차/NNP
106명,	106/SN+명/NNB+,/SP
기아자동차	기아자동차/NNP
53명	53/SN+명/NNB
등	등/NNB
총	총/MMA
309명	309/SN+명/NNB
규모의	규모/NNG+의/JKG
2011년도	2011/SN+년도/NNB
정기	정기/NNG
임원	임원/NNG
승진	승진/NNG
인사를	인사/NNG+를/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.381.3.1
▶B5면에 명단

▶B5면에	▶/SW+B/SL+5/SN+면/NNG+에/JKB
명단	명단/NNG


# id : NWRW1800000025.381.4.1
직급별로는 △전무 31명 △상무 48명 △이사 91명 △이사대우 136명 △연구위원 3명 등이다.

직급별로는	직급/NNG+별/XSN+로/JKB+는/JX
△전무	△/SW+전무/NNG
31명	31/SN+명/NNB
△상무	△/SW+상무/NNG
48명	48/SN+명/NNB
△이사	△/SW+이사/NNG
91명	91/SN+명/NNB
△이사대우	△/SW+이사/NNG+대우/NNG
136명	136/SN+명/NNB
△연구위원	△/SW+연구/NNG+위원/NNG
3명	3/SN+명/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.381.4.2
부사장 이상 승진은 법정 공방 중인 현대건설 인수전의 가닥이 잡히는 내년 1월 이후에 있을 것으로 보인다.

부사장	부사장/NNG
이상	이상/NNG
승진은	승진/NNG+은/JX
법정	법정/NNG
공방	공방/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
현대건설	현대건설/NNP
인수전의	인수전/NNG+의/JKG
가닥이	가닥/NNG+이/JKS
잡히는	잡히/VV+는/ETM
내년	내년/NNG
1월	1/SN+월/NNB
이후에	이후/NNG+에/JKB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.381.5.1
전무 이하 승진만 발표했지만 임원 승진 규모가 역대 가장 많았던 지난해 304명보다 5명 더 많아 사상 최대를 기록했다.

전무	전무/NNG
이하	이하/NNG
승진만	승진/NNG+만/JX
발표했지만	발표/NNG+하/XSV+았/EP+지만/EC
임원	임원/NNG
승진	승진/NNG
규모가	규모/NNG+가/JKS
역대	역대/NNG
가장	가장/MAG
많았던	많/VA+았/EP+던/ETM
지난해	지난해/NNG
304명보다	304/SN+명/NNB+보다/JKB
5명	5/SN+명/NNB
더	더/MAG
많아	많/VA+아/EC
사상	사상/NNG
최대를	최대/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.381.5.2
주력 계열사인 현대차와 기아차가 사상 최대 실적을 기록할 것으로 전망되는 등 계열사들의 성적이 전반적으로 좋아진 데 따른 결과로 해석된다.

주력	주력/NNG
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
현대차와	현대차/NNP+와/JC
기아차가	기아차/NNP+가/JKS
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되는	전망/NNG+되/XSV+는/ETM
등	등/NNB
계열사들의	계열사/NNG+들/XSN+의/JKG
성적이	성적/NNG+이/JKS
전반적으로	전반/NNG+적/XSN+으로/JKB
좋아진	좋/VA+아/EC+지/VX+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.381.6.1
직무 분야별 승진 임원 비율은 연구개발(R&D) 및 품질·생산 부문이 44%를 차지해 가장 많았고, 판매·마케팅이 33%로 뒤를 이었다.

직무	직무/NNG
분야별	분야/NNG+별/XSN
승진	승진/NNG
임원	임원/NNG
비율은	비율/NNG+은/JX
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
및	및/MAG
품질·생산	품질/NNG+·/SP+생산/NNG
부문이	부문/NNG+이/JKS
44%를	44/SN+%/SW+를/JKO
차지해	차지/NNG+하/XSV+아/EC
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
판매·마케팅이	판매/NNG+·/SP+마케팅/NNG+이/JKS
33%로	33/SN+%/SW+로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.381.6.2
현대차 관계자는 “세계 최고 수준으로 도약한 R&D 및 품질분야의 지속적인 성장을 이어가기 위해 관련 임원들을 대거 승진시켰다”고 말했다.

현대차	현대차/NNP
관계자는	관계자/NNG+는/JX
“세계	“/SS+세계/NNG
최고	최고/NNG
수준으로	수준/NNG+으로/JKB
도약한	도약/NNG+하/XSV+ㄴ/ETM
R&D	R/SL+&/SW+D/SL
및	및/MAG
품질분야의	품질/NNG+분야/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
이어가기	잇/VV+어/EC+가/VX+기/ETN
위해	위하/VV+아/EC
관련	관련/NNG
임원들을	임원/NNG+들/XSN+을/JKO
대거	대거/MAG
승진시켰다”고	승진/NNG+시키/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.381.7.1
또 해외 생산 및 판매 실적이 사상 최대를 기록하면서 해외 주재원들이 대거 승진자 명단에 포함됐다.

또	또/MAG
해외	해외/NNG
생산	생산/NNG
및	및/MAG
판매	판매/NNG
실적이	실적/NNG+이/JKS
사상	사상/NNG
최대를	최대/NNG+를/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
주재원들이	주재원/NNG+들/XSN+이/JKS
대거	대거/MAG
승진자	승진자/NNG
명단에	명단/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.381.7.2
전체 승진 임원 중 16%가 해외 주재원.

전체	전체/NNG
승진	승진/NNG
임원	임원/NNG
중	중/NNB
16%가	16/SN+%/SW+가/JKS
해외	해외/NNG
주재원.	주재원/NNG+./SF


# id : NWRW1800000025.381.7.3
전체 임원 승진자 중 초급임원인 이사대우 승진자 비율이 46%로 높았다.

전체	전체/NNG
임원	임원/NNG
승진자	승진자/NNG
중	중/NNB
초급임원인	초급/NNG+임원/NNG+이/VCP+ㄴ/ETM
이사대우	이사/NNG+대우/NNG
비율이	비율/NNG+이/JKS
46%로	46/SN+%/SW+로/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.381.7.4
최연소 임원 승진은 부장 2년 차인 백수정 현대캐피탈 마케팅실장(39)으로 브랜드 가치 제고에 대한 성과를 인정받아 이사대우로 승진했다.

최연소	최/XPN+연소/NNG
임원	임원/NNG
승진은	승진/NNG+은/JX
부장	부장/NNG
2년	2/SN+년/NNB
차인	차/NNB+이/VCP+ㄴ/ETM
백수정	백수정/NNP
현대캐피탈	현대캐피탈/NNP
마케팅실장(39)으로	마케팅실장/NNG+(/SS+39/SN+)/SS+으로/JKB
브랜드	브랜드/NNG
가치	가치/NNG
제고에	제고/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성과를	성과/NNG+를/JKO
인정받아	인정/NNG+받/XSV+아/EC
이사대우로	이사/NNG+대우/NNG+로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


