# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.170
metadata : {}


# id : NWRW1800000022.170.1.1
[수도권Ⅲ] 용인 "노인이 살기 편한 곳 만들겠다";복지관 잇달아 개설… 곳곳에 게이트볼장 조성

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
용인	용인/NNP
"노인이	"/SS+노인/NNG+이/JKS
살기	살/VV+기/ETN
편한	편하/VA+ㄴ/ETM
곳	곳/NNG
만들겠다";복지관	만들/VV+겠/EP+다/EF+"/SS+;/SW+복지관/NNG
잇달아	잇달/VV+아/EC
개설…	개설/NNG+…/SE
곳곳에	곳곳/NNG+에/JKB
게이트볼장	게이트볼장/NNG
조성	조성/NNG


# id : NWRW1800000022.170.2.1
용인시의 노인 인구는 2009년 3월 기준으로 6만6250명에 달한다.

용인시의	용인시/NNP+의/JKG
노인	노인/NNG
인구는	인구/NNG+는/JX
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
기준으로	기준/NNG+으로/JKB
6만6250명에	6/SN+만/NR+6250/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.2.2
전체 인구 81만6879명의 8.1%를 넘었다.

전체	전체/NNG
인구	인구/NNG
81만6879명의	81/SN+만/NR+6879/SN+명/NNB+의/JKG
8.1%를	8/SN+./SP+1/SN+%/SW+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.170.2.3
노인 인구 증가에 따라 용인시는 올해 노인복지사업에 197억원의 예산을 투입해 노인 복지 시설을 확충한다는 계획을 세웠다.

노인	노인/NNG
인구	인구/NNG
증가에	증가/NNG+에/JKB
따라	따르/VV+아/EC
용인시는	용인시/NNP+는/JX
올해	올해/NNG
노인복지사업에	노인/NNG+복지/NNG+사업/NNG+에/JKB
197억원의	197/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
투입해	투입/NNG+하/XSV+아/EC
복지	복지/NNG
시설을	시설/NNG+을/JKO
확충한다는	확충/NNG+하/XSV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.170.3.1
먼저 죽전, 동백, 수지 등 3곳에 노인복지관이 새로 문을 연다.

먼저	먼저/MAG
죽전,	죽전/NNP+,/SP
동백,	동백/NNP+,/SP
수지	수지/NNP
등	등/NNB
3곳에	3/SN+곳/NNG+에/JKB
노인복지관이	노인/NNG+복지관/NNG+이/JKS
새로	새로/MAG
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.3.2
기흥구 보정동엔 연면적 3966㎡ 규모로 죽전종합복지관 내 노인복지관이 2012년 완공된다.

기흥구	기흥구/NNP
보정동엔	보정동/NNP+에/JKB+ㄴ/JX
연면적	연면적/NNG
3966㎡	3966/SN+㎡/SW
규모로	규모/NNG+로/JKB
죽전종합복지관	죽전종합복지관/NNP
내	내/NNB
노인복지관이	노인/NNG+복지관/NNG+이/JKS
2012년	2012/SN+년/NNB
완공된다.	완공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.3.3
노인복지관엔 치매 주간보호센터, 노인상담실, 물리치료실 등의 시설이 들어선다.

노인복지관엔	노인/NNG+복지관/NNG+에/JKB+ㄴ/JX
치매	치매/NNG
주간보호센터,	주간/NNG+보호/NNG+센터/NNG+,/SP
노인상담실,	노인/NNG+상담실/NNG+,/SP
물리치료실	물리/NNG+치료실/NNG
등의	등/NNB+의/JKG
시설이	시설/NNG+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.3.4
기흥구 중동엔 동백종합복지센터가 2012년 12월 문을 연다.

기흥구	기흥구/NNP
중동엔	중동/NNP+에/JKB+ㄴ/JX
동백종합복지센터가	동백종합복지센터/NNP+가/JKS
2012년	2012/SN+년/NNB
12월	12/SN+월/NNB
문을	문/NNG+을/JKO
