# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.171
metadata : {}


# id : NWRW1800000049.171.1.1
산후 15%가 우울증… 치료는 1%도 안돼

산후	산후/NNG
15%가	15/SN+%/SW+가/JKS
우울증…	우울증/NNG+…/SE
치료는	치료/NNG+는/JX
1%도	1/SN+%/SW+도/JX
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000049.171.2.1
5%는 고위험… 영아살해등 잇단 충격 준비없는 출산 젊은 엄마들에 심해

5%는	5/SN+%/SW+는/JX
고위험…	고/XPN+위험/NNG+…/SE
영아살해등	영아/NNG+살해/NNG+등/NNB
잇단	잇달/VV+ㄴ/ETM
충격	충격/NNG
준비없는	준비/NNG+없/VA+는/ETM
출산	출산/NNG
젊은	젊/VA+은/ETM
엄마들에	엄마/NNG+들/XSN+에/JKB
심해	심하/VA+아/EF


# id : NWRW1800000049.171.3.1
15일 산후우울증을 앓던 젊은 엄마 A 씨(21)가 태어난 지 7개월 된 자식을 폭행해 두개골 골절과 뇌출혈 등 중상을 입힌 사건이 발생했다.

15일	15/SN+일/NNB
산후우울증을	산후/NNG+우울증/NNG+을/JKO
앓던	앓/VV+던/ETM
젊은	젊/VA+은/ETM
엄마	엄마/NNG
A	A/SL
씨(21)가	씨/NNB+(/SS+21/SN+)/SS+가/JKS
태어난	태어나/VV+ㄴ/ETM
지	지/NNB
7개월	7/SN+개월/NNB
된	되/VV+ㄴ/ETM
자식을	자식/NNG+을/JKO
폭행해	폭행/NNG+하/XSV+아/EC
두개골	두개골/NNG
골절과	골절/NNG+과/JC
뇌출혈	뇌출혈/NNG
등	등/NNB
중상을	중상/NNG+을/JKO
입힌	입히/VV+ㄴ/ETM
사건이	사건/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.171.3.2
22일에도 생후 10개월 된 딸이 울며 보챈다는 이유로 플라스틱 공을 던져 숨지게 한 엄마 B 씨(29)가 경찰에 붙잡혔다.

22일에도	22/SN+일/NNB+에/JKB+도/JX
생후	생후/NNG
10개월	10/SN+개월/NNB
된	되/VV+ㄴ/ETM
딸이	딸/NNG+이/JKS
울며	울/VV+며/EC
보챈다는	보채/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
플라스틱	플라스틱/NNG
공을	공/NNG+을/JKO
던져	던지/VV+어/EC
숨지게	숨지/VV+게/EC
한	하/VV+ㄴ/ETM
엄마	엄마/NNG
B	B/SL
씨(29)가	씨/NNB+(/SS+29/SN+)/SS+가/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.171.3.3
두 사람 모두 산후우울증과 극심한 육아 스트레스로 이 같은 일을 저지른 것으로 밝혀졌다.

두	두/MMN
사람	사람/NNG
모두	모두/MAG
산후우울증과	산후/NNG+우울증/NNG+과/JC
극심한	극심하/VA+ㄴ/ETM
육아	육아/NNG
스트레스로	스트레스/NNG+로/JKB
이	이/NP
같은	같/VA+은/ETM
일을	일/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.171.4.1
출산 후 우울함을 느끼는 것은 전체 산모의 85%가 경험할 정도로 일반적인 현상이다.

출산	출산/NNG
후	후/NNG
우울함을	우울함/NNG+을/JKO
느끼는	느끼/VV+는/ETM
것은	것/NNB+은/JX
전체	전체/NNG
산모의	산모/NNG+의/JKG
85%가	85/SN+%/SW+가/JKS
경험할	경험/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.171.4.2
하지만 산후우울증은 극심한 불안과 우울증이 오랫동안 지속되는 것을 의미한다.

하지만	하지만/MAJ
산후우울증은	산후/NNG+우울증/NNG+은/JX
극심한	극심하/VA+ㄴ/ETM
불안과	불안/NNG+과/JC
우울증이	우울증/NNG+이/JKS
