# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.414
metadata : {}


# id : NWRW1800000038.414.1.1
'대화 재개론' 동시에 꺼낸 황우여·김한길

'대화	'/SS+대화/NNG
재개론'	재개/NNG+론/XSN+'/SS
동시에	동시/NNG+에/JKB
꺼낸	꺼내/VV+ㄴ/ETM
황우여·김한길	황우여/NNP+·/SP+김한길/NNP


# id : NWRW1800000038.414.2.1
3자 회담 실패 13일 만에…黃 "대표회담 제의할 생각", 金 "대통령과 대화문 열려있어"

3자	3/SN+자/NNB
회담	회담/NNG
실패	실패/NNG
13일	13/SN+일/NNB
만에…黃	만/NNB+에/JKB+…/SE+黃/SH
"대표회담	"/SS+대표/NNG+회담/NNG
제의할	제의/NNG+하/XSV+ㄹ/ETM
생각",	생각/NNG+"/SS+,/SP
金	金/SH
"대통령과	"/SS+대통령/NNG+과/JKB
대화문	대화/NNG+문/NNG
열려있어"	열리/VV+어/EC+있/VX+어/EF+"/SS


# id : NWRW1800000038.414.3.1
새누리당 황우여, 민주당 김한길 대표가 29일 여야 간 대화 재개론을 동시에 꺼냈다.

새누리당	새누리당/NNP
황우여,	황우여/NNP+,/SP
민주당	민주당/NNP
김한길	김한길/NNP
대표가	대표/NNG+가/JKS
29일	29/SN+일/NNB
여야	여야/NNG
간	간/NNB
대화	대화/NNG
재개론을	재개/NNG+론/XSN+을/JKO
동시에	동시/NNG+에/JKB
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.414.3.2
지난 16일 박근혜 대통령과 여야 대표 간 3자 회담이 성과 없이 끝난 지 13일 만이다.

지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
여야	여야/NNG
대표	대표/NNG
간	간/NNB
3자	3/SN+자/NNB
회담이	회담/NNG+이/JKS
성과	성과/NNG
없이	없이/MAG
끝난	끝나/VV+ㄴ/ETM
지	지/NNB
13일	13/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.414.4.1
황 대표는 이날 본지 통화와 언론 인터뷰에서 "3자 회담에서 서로가 공감한 부분을 구체화하기 위해 여야 간 추가 논의가 필요하다"며 "10월 말이나 11월 초쯤 김한길 대표에게 여야 대표 회담을 제의할 생각"이라고 말했다.

황	황/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
본지	본지/NNG
통화와	통화/NNG+와/JC
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"3자	"/SS+3/SN+자/NNB
회담에서	회담/NNG+에서/JKB
서로가	서로/NNG+가/JKS
공감한	공감/NNG+하/XSV+ㄴ/ETM
부분을	부분/NNG+을/JKO
구체화하기	구체/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
여야	여야/NNG
간	간/NNB
추가	추가/NNG
논의가	논의/NNG+가/JKS
필요하다"며	필요/NNG+하/XSA+다/EF+"/SS+며/EC
"10월	"/SS+10/SN+월/NNB
말이나	말/NNB+이나/JC
11월	11/SN+월/NNB
초쯤	초/NNB+쯤/XSN
김한길	김한길/NNP
대표에게	대표/NNG+에게/JKB
대표	대표/NNG
회담을	회담/NNG+을/JKO
제의할	제의/NNG+하/XSV+ㄹ/ETM
생각"이라고	생각/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.4.2
황 대표는 3자 회담을 다시 열지에 대해선 "박 대통령이 지난 3자 회담 때 '또 만나자'고 했다"고 말했다.

황	황/NNP
대표는	대표/NNG+는/JX
3자	3/SN+자/NNB
회담을	회담/NNG+을/JKO
다시	다시/MAG
열지에	열/VV+ㄹ지/EF+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
회담	회담/NNG
때	때/NNG
'또	'/SS+또/MAG
만나자'고	만나/VV+자/EF+'/SS+고/JKQ
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.4.3
다만 "모든 현안은 정기국회에서 다뤄질 것인 만큼 양당 간 대화가 중심이 돼야 한다"고 했다.

다만	다만/MAG
"모든	"/SS+모든/MMN
현안은	현안/NNG+은/JX
정기국회에서	정기/NNG+국회/NNG+에서/JKB
다뤄질	다루/VV+어/EC+지/VX+ㄹ/ETM
