# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.288
metadata : {}


# id : NWRW1800000048.288.1.1
“국사교과서 국정화 반대” 교육감들도 나섰다

“국사교과서	“/SS+국사/NNG+교과서/NNG
국정화	국정/NNG+화/XSN
반대”	반대/NNG+”/SS
교육감들도	교육감/NNG+들/XSN+도/JX
나섰다	나서/VV+었/EP+다/EF


# id : NWRW1800000048.288.2.1
17곳 중 10곳 교육감 공동 성명서

17곳	17/SN+곳/NNG
중	중/NNB
10곳	10/SN+곳/NNG
교육감	교육감/NNG
공동	공동/NNG
성명서	성명서/NNG


# id : NWRW1800000048.288.3.1
“국가주도 획일화 교육은 시대 역행

“국가주도	“/SS+국가/NNG+주도/NNG
획일화	획일화/NNG
교육은	교육/NNG+은/JX
시대	시대/NNG
역행	역행/NNG


# id : NWRW1800000048.288.4.1
민주주의·다원성 가치와 안맞아”

민주주의·다원성	민주주의/NNG+·/SP+다원/NNG+성/XSN
가치와	가치/NNG+와/JKB
안맞아”	안/MAG+맞/VV+아/EF+”/SS


# id : NWRW1800000048.288.5.1
전국 17개 시·도교육청 가운데 10곳의 교육감이 정부와 새누리당의 ‘국사(중학교 역사·고교 한국사) 교과서 국정화’ 추진을 중단해달라는 내용의 공동 성명서를 발표했다.

전국	전국/NNG
17개	17/SN+개/NNB
시·도교육청	시·도/NNG+교육청/NNG
가운데	가운데/NNG
10곳의	10/SN+곳/NNG+의/JKG
교육감이	교육감/NNG+이/JKS
정부와	정부/NNG+와/JC
새누리당의	새누리당/NNP+의/JKG
‘국사(중학교	‘/SS+국사/NNG+(/SS+중학교/NNG
역사·고교	역사/NNG+·/SP+고교/NNG
한국사)	한국사/NNG+)/SS
교과서	교과서/NNG
국정화’	국정/NNG+화/XSN+’/SS
추진을	추진/NNG+을/JKO
중단해달라는	중단/NNG+하/XSV+아/EC+달/VX+라는/ETM
내용의	내용/NNG+의/JKG
공동	공동/NNG
성명서를	성명서/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.288.5.2
국정 교과서는 시대 흐름·민주주의·자율성·다원성·사회적 합의·민의 등에 부합하지 않는다는 이유에서다.

국정	국정/NNG
교과서는	교과서/NNG+는/JX
시대	시대/NNG
흐름·민주주의·자율성·다원성·사회적	흐름/NNG+·/SP+민주주의/NNG+·/SP+자율/NNG+성/XSN+·/SP+다원/NNG+성/XSN+·/SP+사회/NNG+적/XSN
합의·민의	합의/NNG+·/SP+민의/NNG
등에	등/NNB+에/JKB
부합하지	부합/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000048.288.6.1
조희연 서울교육감을 포함해 강원·경기·인천 등 수도권 교육감 4명과 장휘국 광주교육감을 비롯해 부산·경남·전남·전북·제주 등 남부권 교육감 6명은 8일 각각 이런 내용을 담은 공동성명을 발표했다.

조희연	조희연/NNP
서울교육감을	서울/NNP+교육감/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
강원·경기·인천	강원/NNP+·/SP+경기/NNP+·/SP+인천/NNP
등	등/NNB
수도권	수도/NNG+권/XSN
교육감	교육감/NNG
4명과	4/SN+명/NNB+과/JC
장휘국	장휘국/NNP
광주교육감을	광주/NNP+교육감/NNG+을/JKO
비롯해	비롯하/VV+아/EC
부산·경남·전남·전북·제주	부산/NNP+·/SP+경남/NNP+·/SP+전남/NNP+·/SP+전북/NNP+·/SP+제주/NNP
남부권	남부/NNG+권/XSN
6명은	6/SN+명/NNB+은/JX
8일	8/SN+일/NNB
각각	각각/MAG
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
공동성명을	공동/NNG+성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.288.6.2
수도권과 남부권 교육감이 따로 성명을 냈지만 “시대의 흐름에 역행하는 국사 교과서 국정화 시도는 중단되어야 한다”는 내용은 같았다.

수도권과	수도/NNG+권/XSN+과/JC
남부권	남부/NNG+권/XSN
교육감이	교육감/NNG+이/JKS
따로	따로/MAG
성명을	성명/NNG+을/JKO
냈지만	내/VV+었/EP+지만/EC
“시대의	“/SS+시대/NNG+의/JKG
흐름에	흐름/NNG+에/JKB
역행하는	역행/NNG+하/XSV+는/ETM
국사	국사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
시도는	시도/NNG+는/JX
중단되어야	중단/NNG+되/XSV+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
내용은	내용/NNG+은/JX
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.288.6.3
최근 김무성 새누리당 대표와 황우여 부총리 겸 교육부장관이 거듭 국정화 가능성을 언급하고, 정부가 조만간 이를 확정 발표하리라는 전망에 대한 심각한 우려의 표명이다.

최근	최근/MAG
김무성	김무성/NNP
새누리당	새누리당/NNP
대표와	대표/NNG+와/JC
황우여	황우여/NNP
부총리	부총리/NNG
겸	겸/NNB
교육부장관이	교육부/NNG+장관/NNG+이/JKS
거듭	거듭/MAG
국정화	국정/NNG+화/XSN
가능성을	가능/NNG+성/XSN+을/JKO
언급하고,	언급/NNG+하/XSV+고/EC+,/SP
정부가	정부/NNG+가/JKS
조만간	조만간/MAG
이를	이/NP+를/JKO
확정	확정/NNG
발표하리라는	발표/NNG+하/XSV+리라는/ETM
전망에	전망/NNG+에/JKB
