# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.43
metadata : {}


# id : NWRW1800000033.43.1.1
도요타, 부활인가 반짝회복인가

도요타,	도요타/NNP+,/SP
부활인가	부활/NNG+이/VCP+ㄴ가/EF
반짝회복인가	반짝/MAG+회복/NNG+이/VCP+ㄴ가/EF


# id : NWRW1800000033.43.2.1
올 상반기 487만대 팔아 세계 1위 자리 되찾아… 영업익 1조엔 돌파 자신감 엔고와 中시장 反日감정 수출에 찬물 끼얹을 수도

올	올/NNG
상반기	상반기/NNG
487만대	487/SN+만/NR+대/NNB
팔아	팔/VV+아/EC
세계	세계/NNG
1위	1/SN+위/NNB
자리	자리/NNG
되찾아…	되찾/VV+아/EF+…/SE
영업익	영업익/NNG
1조엔	1/SN+조/NR+엔/NNB
돌파	돌파/NNG
자신감	자신감/NNG
엔고와	엔고/NNG+와/JC
中시장	中/SH+시장/NNG
反日감정	反日/SH+감정/NNG
수출에	수출/NNG+에/JKB
찬물	찬물/NNG
끼얹을	끼얹/VV+을/ETM
수도	수/NNB+도/JX


# id : NWRW1800000033.43.3.1
도요타 부활의 신호탄인가, 일시적인 회복인가.

도요타	도요타/NNP
부활의	부활/NNG+의/JKG
신호탄인가,	신호탄/NNG+이/VCP+ㄴ가/EF+,/SP
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
회복인가.	회복/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000033.43.4.1
일본을 대표하는 기업 중 하나로 수년간 추락을 거듭했던 도요타자동차가 최근 선전하고 있다.

일본을	일본/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
기업	기업/NNG
중	중/NNB
하나로	하나/NR+로/JKB
수년간	수년/NNG+간/XSN
추락을	추락/NNG+을/JKO
거듭했던	거듭/MAG+하/XSV+았/EP+던/ETM
도요타자동차가	도요타자동차/NNP+가/JKS
최근	최근/NNG
선전하고	선전/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.43.4.2
지난해 판매량은 GM과 폴크스바겐에 이어 세계 3위로 뒤처졌지만 올해 상반기에 487만 대를 팔아 판매량 부문에서 세계 1위 자리를 되찾았다.

지난해	지난해/NNG
판매량은	판매량/NNG+은/JX
GM과	GM/SL+과/JC
폴크스바겐에	폴크스바겐/NNP+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
3위로	3/SN+위/NNB+로/JKB
뒤처졌지만	뒤처지/VV+었/EP+지만/EC
올해	올해/NNG
상반기에	상반기/NNG+에/JKB
487만	487/SN+만/NR
대를	대/NNB+를/JKO
팔아	팔/VV+아/EC
판매량	판매량/NNG
부문에서	부문/NNG+에서/JKB
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
되찾았다.	되찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.4.3
2분기(4∼6월) 영업이익은 2900억 엔(약 4조1700억 원)으로 분기 기준으로 4년 만에 최고치를 경신했다.

2분기(4∼6월)	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS
영업이익은	영업/NNG+이익/NNG+은/JX
2900억	2900/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
4조1700억	4/SN+조/NR+1700/SN+억/NR
원)으로	원/NNB+)/SS+으로/JKB
분기	분기/NNG
기준으로	기준/NNG+으로/JKB
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.5.1
도요타의 위기는 2008년 말 터진 글로벌 금융위기와 함께 왔다.

도요타의	도요타/NNP+의/JKG
위기는	위기/NNG+는/JX
2008년	2008/SN+년/NNB
말	말/NNB
터진	터지/VV+ㄴ/ETM
글로벌	글로벌/NNG
금융위기와	금융/NNG+위기/NNG+와/JKB
함께	함께/MAG
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.5.2
선진국 경제가 얼어붙고 엔화 강세까지 겹치면서 자동차 판매가 급감했다.

선진국	선진국/NNG
경제가	경제/NNG+가/JKS
얼어붙고	얼어붙/VV+고/EC
엔화	엔화/NNG
강세까지	강세/NNG+까지/JX
겹치면서	겹치/VV+면서/EC
자동차	자동차/NNG
판매가	판매/NNG+가/JKS
급감했다.	급감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.5.3
2009년 3월 도요타는 4370억 엔의 순손실을 보였다.

2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
도요타는	도요타/NNP+는/JX
4370억	4370/SN+억/NR
엔의	엔/NNB+의/JKG
순손실을	순손실/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.5.4
순손실은 60년 만에 처음이었다.

