# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.327
metadata : {}


# id : NWRW1800000022.327.1.1
이정은 3R연속 6언더파… 메이저대회 첫 우승;신세계배 KLPGA 골프

이정은	이정은/NNP
3R연속	3/SN+R/SL+연속/NNG
6언더파…	6/SN+언더/NNG+파/NNG+…/SE
메이저대회	메이저/NNG+대회/NNG
첫	첫/MMN
우승;신세계배	우승/NNG+;/SW+신세계/NNP+배/NNB
KLPGA	KLPGA/SL
골프	골프/NNG


# id : NWRW1800000022.327.2.1
'66, 66, 66'

'66,	'/SS+66/SN+,/SP
66,	66/SN+,/SP
66'	66/SN+'/SS


# id : NWRW1800000022.327.3.1
사흘 연속 6언더파를 치기란 아무리 프로라도 쉬운 일이 아니다.

사흘	사흘/NNG
연속	연속/NNG
6언더파를	6/SN+언더/NNG+파/NNG+를/JKO
치기란	치/VV+기/ETN+란/JX
아무리	아무리/MAG
프로라도	프로/NNG+이/VCP+라도/EC
쉬운	쉽/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.327.3.2
그것도 마지막 라운드에서 1억원의 우승 상금을 놓고, 서희경 같은 국내 정상급 골퍼와 맞대결을 벌이는 상황에선 부담은 더욱 커진다.

그것도	그것/NP+도/JX
마지막	마지막/NNG
라운드에서	라운드/NNG+에서/JKB
1억원의	1/SN+억/NR+원/NNB+의/JKG
우승	우승/NNG
상금을	상금/NNG+을/JKO
놓고,	놓/VV+고/EC+,/SP
서희경	서희경/NNP
같은	같/VA+은/ETM
국내	국내/NNG
정상급	정상급/NNG
골퍼와	골퍼/NNG+와/JKB
맞대결을	맞대결/NNG+을/JKO
벌이는	벌이/VV+는/ETM
상황에선	상황/NNG+에서/JKB+ㄴ/JX
부담은	부담/NNG+은/JX
더욱	더욱/MAG
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.327.3.3
이런 상황에서 무너지지 않고 오히려 명성이 앞서는 상대방을 곤혹스럽게 만드는 스타일이 있다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
무너지지	무너지/VV+지/EC
않고	않/VX+고/EC
오히려	오히려/MAG
명성이	명성/NNG+이/JKS
앞서는	앞서/VV+는/ETM
상대방을	상대방/NNG+을/JKO
곤혹스럽게	곤혹/NNG+스럽/XSA+게/EC
만드는	만들/VV+는/ETM
스타일이	스타일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.327.3.4
타이거 우즈를 무너뜨린 양용은처럼 '네가 누구든 될 대로 되라'는 식으로 공을 치는 선수들이다.

타이거	타이거/NNP
우즈를	우즈/NNP+를/JKO
무너뜨린	무너뜨리/VV+ㄴ/ETM
양용은처럼	양용은/NNP+처럼/JKB
'네가	'/SS+네/NP+가/JKS
누구든	누구/NP+든/JX
될	되/VV+ㄹ/ETM
대로	대로/NNB
되라'는	되/VV+라/EF+'/SS+는/ETM
식으로	식/NNB+으로/JKB
공을	공/NNG+을/JKO
치는	치/VV+는/ETM
선수들이다.	선수/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.327.4.1
18일 경기도 여주 자유골프장(파72.6천404야드)에서 열린 제31회 신세계배 KLPGA선수권대회 마지막 3라운드.

18일	18/SN+일/NNB
경기도	경기도/NNP
여주	여주/NNP
자유골프장(파72.6천404야드)에서	자유골프장/NNP+(/SS+파/NNG+72/SN+./SP+6/SN+천/NR+404/SN+야드/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
제31회	제/XPN+31/SN+회/NNB
신세계배	신세계/NNP+배/NNB
KLPGA선수권대회	KLPGA/SL+선수/NNG+권/XSN+대회/NNG
마지막	마지막/NNG
3라운드.	3/SN+라운드/NNG+./SF


# id : NWRW1800000022.327.4.2
프로 3년차로 올 4월 첫 우승을 경험한 이정은은 12언더파로 서희경에 1타 앞선 채 출발했다.

프로	프로/NNG
3년차로	3/SN+년/NNB+차/NNB+로/JKB
올	올/NNG
4월	4/SN+월/NNB
첫	첫/MMN
우승을	우승/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
이정은은	이정은/NNP+은/JX
12언더파로	12/SN+언더/NNG+파/NNG+로/JKB
서희경에	서희경/NNP+에/JKB
1타	1/SN+타/NNG
앞선	앞서/VV+ㄴ/ETM
채	채/NNB
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.327.4.3
평소 "다른 건 몰라도 드라이버 샷만큼은 자신 있다"고 말하던 그는 호쾌한 티 샷을 뿌리며 경기를 시작했다.

평소	평소/NNG
"다른	"/SS+다른/MMD
건	거/NNB+ㄴ/JX
몰라도	모르/VV+아도/EC
드라이버	드라이버/NNG
샷만큼은	샷/NNG+만큼/JKB+은/JX
자신	자신/NNG
있다"고	있/VA+다/EF+"/SS+고/JKQ
말하던	말/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
호쾌한	호쾌하/VA+ㄴ/ETM
티	티/NNG
샷을	샷/NNG+을/JKO
뿌리며	뿌리/VV+며/EC
경기를	경기/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.327.4.4
평균 드라이버 티 샷 거리 258야드로 국내 여자선수 가운데 3위다.

평균	평균/NNG
드라이버	드라이버/NNG
티	티/NNG
샷	샷/NNG
거리	거리/NNG
258야드로	258/SN+야드/NNB+로/JKB
국내	국내/NNG
여자선수	여자/NNG+선수/NNG
가운데	가운데/NNG
3위다.	3/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.327.5.1
여러 차례 롱 퍼팅을 성공시키며 선두를 유지하던 이정은은 8번홀(파3) 보기로 서희경에게 공동 선두를 허용했다.

여러	여러/MMN
차례	차례/NNG
롱	롱/NNG
퍼팅을	퍼팅/NNG+을/JKO
성공시키며	성공/NNG+시키/XSV+며/EC
선두를	선두/NNG+를/JKO
유지하던	유지/NNG+하/XSV+던/ETM
이정은은	이정은/NNP+은/JX
8번홀(파3)	8/SN+번/NNB+홀/NNG+(/SS+파/NNG+3/SN+)/SS
보기로	보기/NNG+로/JKB
서희경에게	서희경/NNP+에게/JKB
공동	공동/NNG
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.327.5.2
9번홀(파5)에서 버디를 잡은 서희경에게 역전 기회를 내줄 뻔했지만, 16m짜리 어프로치 샷이 그대도 홀로 빨려 들어가 한숨을 돌렸다.

9번홀(파5)에서	9/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
버디를	버디/NNG+를/JKO
잡은	잡/VV+은/ETM
서희경에게	서희경/NNP+에게/JKB
역전	역전/NNG
기회를	기회/NNG+를/JKO
내줄	내주/VV+ㄹ/ETM
뻔했지만,	뻔/NNB+하/XSA+았/EP+지만/EC+,/SP
16m짜리	16/SN+m/SW+짜리/XSN
어프로치	어프로치/NNG
샷이	샷/NNG+이/JKS
그대도	그대도/MAG
홀로	홀/NNG+로/JKB
빨려	빨리/VV+어/EC
들어가	들어가/VV+아/EC
한숨을	한/XPN+숨/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.327.5.3
그리고 11번홀(파5)과 12번홀(파4)에서 연속 버디로 2타를 앞선 이정은은 17번홀(파4)에서 이글성 버디로 승부에 쐐기를 박았다.

그리고	그리고/MAJ
11번홀(파5)과	11/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+과/JC
12번홀(파4)에서	12/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
연속	연속/NNG
버디로	버디/NNG+로/JKB
2타를	2/SN+타/NNG+를/JKO
앞선	앞서/VV+ㄴ/ETM
이정은은	이정은/NNP+은/JX
