# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.369
metadata : {}


# id : NWRW1800000038.369.1.1
"中, 북한 문제 입장 변화… 빨리 시진핑 만날 것"

"中,	"/SS+中/SH+,/SP
북한	북한/NNP
문제	문제/NNG
입장	입장/NNG
변화…	변화/NNG+…/SE
빨리	빨리/MAG
시진핑	시진핑/NNP
만날	만나/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.369.2.1
朴대통령, 언론 정치부장 만찬

朴대통령,	朴/SH+대통령/NNG+,/SP
언론	언론/NNG
정치부장	정치부장/NNG
만찬	만찬/NNG


# id : NWRW1800000038.369.3.1
박근혜 대통령은 15일 정치부장들과의 만찬에서 북한 문제 해법은 물론 중국·일본과의 관계 등에 대해 솔직한 입장을 밝혔다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
정치부장들과의	정치부장/NNG+들/XSN+과/JKB+의/JKG
만찬에서	만찬/NNG+에서/JKB
북한	북한/NNP
문제	문제/NNG
해법은	해법/NNG+은/JX
물론	물론/MAG
중국·일본과의	중국/NNP+·/SP+일본/NNP+과/JKB+의/JKG
관계	관계/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
솔직한	솔직하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.369.4.1
◇"중국이 변하고 있다"

◇"중국이	◇/SW+"/SS+중국/NNP+이/JKS
변하고	변하/VV+고/EC
있다"	있/VX+다/EF+"/SS


# id : NWRW1800000038.369.5.1
박 대통령은 "중국이 이번에 UN 안보리 대북 제재 결의에 대해서도 적극 동참했고, 이행에도 적극적으로 바뀐 모습을 보이고 있다"면서 "중국이 모든 것을 다룰 수는 없지만 상당히 중요한 역할을 할 수 있다고 생각한다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"중국이	"/SS+중국/NNP+이/JKS
이번에	이번/NNG+에/JKB
UN	UN/SL
안보리	안보리/NNG
대북	대북/NNG
제재	제재/NNG
결의에	결의/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
적극	적극/NNG
동참했고,	동참/NNG+하/XSV+았/EP+고/EC+,/SP
이행에도	이행/NNG+에/JKB+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
바뀐	바뀌/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
모든	모든/MMN
것을	것/NNB+을/JKO
다룰	다루/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
상당히	상당히/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.5.2
"미국이나 다른 나라도 중국에 기대를 하고 있다"고도 했다.

"미국이나	"/SS+미국/NNP+이나/JC
다른	다른/MMD
나라도	나라/NNG+도/JX
중국에	중국/NNP+에/JKB
기대를	기대/NNG+를/JKO
하고	하/VV+고/EC
있다"고도	있/VX+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.5.3
그는 "중국에서 '가급적 방중(訪中)을 해줬으면 좋겠다'고 여러 경로를 통해 얘기가 왔기 때문에 가능한 한 빨리 중국을 방문하려 한다"며 "시진핑 주석 등 중국 지도부와 적극적으로 얘기를 나눠보려고 한다"고 했다.

그는	그/NP+는/JX
"중국에서	"/SS+중국/NNP+에서/JKB
'가급적	'/SS+가급적/NNG
방중(訪中)을	방중/NNG+(/SS+訪中/SH+)/SS+을/JKO
해줬으면	하/VV+아/EC+주/VX+었/EP+으면/EC
좋겠다'고	좋/VA+겠/EP+다/EF+'/SS+고/JKQ
여러	여러/MMN
경로를	경로/NNG+를/JKO
통해	통하/VV+아/EC
얘기가	얘기/NNG+가/JKS
왔기	오/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
빨리	빨리/MAG
중국을	중국/NNP+을/JKO
방문하려	방문/NNG+하/XSV+려/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"시진핑	"/SS+시진핑/NNP
주석	주석/NNG
등	등/NNB
중국	중국/NNP
지도부와	지도부/NNG+와/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
얘기를	얘기/NNG+를/JKO
나눠보려고	나누/VV+어/EC+보/VX+려고/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.6.1
◇"평화 원하면 전쟁에 대비하라"

◇"평화	◇/SW+"/SS+평화/NNG
원하면	원/NNG+하/XSV+면/EC
전쟁에	전쟁/NNG+에/JKB
대비하라"	대비/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000038.369.7.1
박 대통령은 지난 14일 개성공단 완제품 반환을 위해 대북 대화 제의를 한 것과 관련, "개성공단 폐쇄는 있을 수 없는 일이었고, 완성품과 원자재 이런 걸 쥐고 있으면서 못 주겠다고 한다면 북한은 점점 더 코너에 몰릴 것"이라며 "북한은 이런 부분에서는 신사적으로 해야 한다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
개성공단	개성공단/NNP
완제품	완제품/NNG
반환을	반환/NNG+을/JKO
위해	위하/VV+아/EC
대북	대북/NNG
대화	대화/NNG
제의를	제의/NNG+를/JKO
한	하/VV+ㄴ/ETM
것과	것/NNB+과/JKB
관련,	관련/NNG+,/SP
"개성공단	"/SS+개성공단/NNP
폐쇄는	폐쇄/NNG+는/JX
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일이었고,	일/NNG+이/VCP+었/EP+고/EC+,/SP
완성품과	완성품/NNG+과/JC
원자재	원자재/NNG
이런	이런/MMD
걸	거/NNB+ㄹ/JKO
쥐고	쥐/VV+고/EC
있으면서	있/VX+으면서/EC
못	못/MAG
주겠다고	주/VV+겠/EP+다고/EC
한다면	하/VV+ㄴ다면/EC
북한은	북한/NNP+은/JX
점점	점점/MAG
더	더/MAG
코너에	코너/NNG+에/JKB
몰릴	몰리/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"북한은	"/SS+북한/NNP+은/JX
부분에서는	부분/NNG+에서/JKB+는/JX
신사적으로	신사/NNG+적/XSN+으로/JKB
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.8.1
박 대통령은 한반도 신뢰 프로세스에 대해 "(북한이) 그냥 변하지 않으면 방법이 없다고 손 놓고 있는 것이 아니라 우리가 일관되게 국제사회와 공조해서 노력을 함으로써 북한이 변하도록, 전략적으로 그런 선택을 하도록 하겠다는 적극적인 방법"이라고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
한반도	한반도/NNP
신뢰	신뢰/NNG
프로세스에	프로세스/NNG+에/JKB
대해	대하/VV+아/EC
"(북한이)	"/SS+(/SS+북한/NNP+이/JKS+)/SS
그냥	그냥/MAG
변하지	변하/VV+지/EC
않으면	않/VX+으면/EC
방법이	방법/NNG+이/JKS
없다고	없/VA+다고/EC
손	손/NNG
놓고	놓/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
우리가	우리/NP+가/JKS
일관되게	일관/NNG+되/XSV+게/EC
국제사회와	국제/NNG+사회/NNG+와/JKB
공조해서	공조/NNG+하/XSV+아서/EC
노력을	노력/NNG+을/JKO
함으로써	하/VV+ㅁ/ETN+으로써/JKB
북한이	북한/NNP+이/JKS
변하도록,	변하/VV+도록/EC+,/SP
전략적으로	전략/NNG+적/XSN+으로/JKB
그런	그런/MMD
선택을	선택/NNG+을/JKO
하도록	하/VV+도록/EC
하겠다는	하/VX+겠/EP+다는/ETM
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
방법"이라고	방법/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.9.1
박 대통령은 "'돌파구를 만들 획기적인 제안이 없지 않으냐', 이런 생각을 하는 분도 있는데 그럼 여태까지 획기적인 제안을 해서 성공한 적이 있느냐. 결국 지금 이 상태가 되지 않았느냐"고도 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"'돌파구를	"/SS+'/SS+돌파구/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
제안이	제안/NNG+이/JKS
없지	없/VA+지/EC
않으냐',	않/VX+으냐/EF+'/SS+,/SP
이런	이런/MMD
생각을	생각/NNG+을/JKO
하는	하/VV+는/ETM
분도	분/NNB+도/JX
있는데	있/VA+는데/EC
그럼	그럼/MAJ
여태까지	여태/MAG+까지/JX
제안을	제안/NNG+을/JKO
해서	하/VV+아서/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐.	있/VA+느냐/EF+./SF
결국	결국/MAG
지금	지금/MAG
이	이/MMD
상태가	상태/NNG+가/JKC
되지	되/VV+지/EC
않았느냐"고도	않/VX+았/EP+느냐/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.9.2
