# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.382
metadata : {}


# id : NWRW1800000049.382.1.1
野, 8일 저녁부터 국회농성 ‘탄핵대기’

野,	野/SH+,/SP
8일	8/SN+일/NNB
저녁부터	저녁/NNG+부터/JX
국회농성	국회/NNG+농성/NNG
‘탄핵대기’	‘/SS+탄핵/NNG+대기/NNG+’/SS


# id : NWRW1800000049.382.2.1
[탄핵안 표결 D-1]“세월호 구조 못하고 올림머리” 비판 탄핵표결 자정 넘길 가능성 대비… 국민의당, 임시국회 소집 제안

[탄핵안	[/SS+탄핵안/NNG
표결	표결/NNG
D-1]“세월호	D/SL+-/SO+1/SN+]/SS+“/SS+세월호/NNP
구조	구조/NNG
못하고	못/MAG+하/VV+고/EC
올림머리”	올림머리/NNG+”/SS
비판	비판/NNG
탄핵표결	탄핵/NNG+표결/NNG
자정	자정/NNG
넘길	넘기/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN
대비…	대비/NNG+…/SE
국민의당,	국민의당/NNP+,/SP
임시국회	임시/NNG+국회/NNG
소집	소집/NNG
제안	제안/NNG


# id : NWRW1800000049.382.3.1
7일 야 3당은 공동결의대회를 열어 야권 공조를 다지면서 새누리당의 탄핵 동참을 압박했다.

7일	7/SN+일/NNB
야	야/NNG
3당은	3/SN+당/NNG+은/JX
공동결의대회를	공동/NNG+결의/NNG+대회/NNG+를/JKO
열어	열/VV+어/EC
야권	야권/NNG
공조를	공조/NNG+를/JKO
다지면서	다지/VV+면서/EC
새누리당의	새누리당/NNP+의/JKG
탄핵	탄핵/NNG
동참을	동참/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.3.2
이날 더불어민주당 국민의당 정의당 소속 의원들은 국회 로텐더홀에서 “탄핵이 애국이다, 새누리당도 동참하라”는 구호를 외치면서 새누리당을 향한 탄핵 시위를 했다.

이날	이날/NNG
더불어민주당	더불어민주당/NNP
국민의당	국민의당/NNP
정의당	정의당/NNP
소속	소속/NNG
의원들은	의원/NNG+들/XSN+은/JX
국회	국회/NNG
로텐더홀에서	로텐더홀/NNG+에서/JKB
“탄핵이	“/SS+탄핵/NNG+이/JKS
애국이다,	애국/NNG+이/VCP+다/EF+,/SP
새누리당도	새누리당/NNP+도/JX
동참하라”는	동참/NNG+하/XSV+라/EF+”/SS+는/ETM
구호를	구호/NNG+를/JKO
외치면서	외치/VV+면서/EC
새누리당을	새누리당/NNP+을/JKO
향한	향하/VV+ㄴ/ETM
탄핵	탄핵/NNG
시위를	시위/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.3.3
민주당 추미애 대표는 “(세월호) 아이들이 구조되지 못했다는 보고 이후에도 올림머리를 했다는 소식을 듣고 어머니의 마음으로, 사람의 마음으로 이해할 수가 없었다”고 박근혜 대통령을 비판하며 “(새누리당이) 국민 마음을 헤아린다는 표시로 9일 탄핵 가결에 동참해 달라”고 호소했다.

민주당	민주당/NNP
추미애	추미애/NNP
대표는	대표/NNG+는/JX
“(세월호)	“/SS+(/SS+세월호/NNP+)/SS
아이들이	아이/NNG+들/XSN+이/JKS
구조되지	구조/NNG+되/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
보고	보고/NNG
이후에도	이후/NNG+에/JKB+도/JX
올림머리를	올림머리/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
어머니의	어머니/NNG+의/JKG
마음으로,	마음/NNG+으로/JKB+,/SP
사람의	사람/NNG+의/JKG
마음으로	마음/NNG+으로/JKB
이해할	이해/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
“(새누리당이)	“/SS+(/SS+새누리당/NNP+이/JKS+)/SS
국민	국민/NNG
마음을	마음/NNG+을/JKO
헤아린다는	헤아리/VV+ㄴ다는/ETM
표시로	표시/NNG+로/JKB
9일	9/SN+일/NNB
탄핵	탄핵/NNG
가결에	가결/NNG+에/JKB
동참해	동참/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.4.1
민주당은 탄핵안 표결 전날인 8일 오후 9시부터 소속 의원 전원이 국회 로텐더홀에 모여 밤샘 농성을 한 뒤 이튿날 곧바로 국회 본회의장으로 이동하기로 했다.

민주당은	민주당/NNP+은/JX
탄핵안	탄핵안/NNG
표결	표결/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
8일	8/SN+일/NNB
오후	오후/NNG
9시부터	9/SN+시/NNB+부터/JX
소속	소속/NNG
의원	의원/NNG
전원이	전원/NNG+이/JKS
국회	국회/NNG
로텐더홀에	로텐더홀/NNG+에/JKB
모여	모이/VV+어/EC
밤샘	밤샘/NNG
농성을	농성/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
이튿날	이튿날/NNG
곧바로	곧바로/MAG
본회의장으로	본회의장/NNG+으로/JKB
이동하기로	이동/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.4.2
민주당 관계자는 “8일부터 국회를 에워싼 촛불집회가 예정돼 있어 국회 출입이 어려워질 수 있다고 한다”며 “의원뿐 아니라 보좌진도 국회 안이나 인근에 머무는 등 24시간 비상체제”라고 전했다.

민주당	민주당/NNP
관계자는	관계자/NNG+는/JX
“8일부터	“/SS+8/SN+일/NNB+부터/JX
국회를	국회/NNG+를/JKO
에워싼	에워싸/VV+ㄴ/ETM
