# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.51
metadata : {}


# id : NWRW1800000028.51.1.1
‘북한 석방’ 로버트 박 중국 거쳐 미국 도착

‘북한	‘/SS+북한/NNP
석방’	석방/NNG+’/SS
로버트	로버트/NNP
박	박/NNP
중국	중국/NNP
거쳐	거치/VV+어/EC
미국	미국/NNP
도착	도착/NNG


# id : NWRW1800000028.51.2.1
북한의 인권과 종교 상황에 항의하겠다며 자진 입북했다가 43일간 북한에 체포됐던 한국계 미국인 로버트 박이 지난 6일 석방돼 베이징을 거쳐 미국에 도착했다.

북한의	북한/NNP+의/JKG
인권과	인권/NNG+과/JC
종교	종교/NNG
상황에	상황/NNG+에/JKB
항의하겠다며	항의/NNG+하/XSV+겠/EP+다며/EC
자진	자진/NNG
입북했다가	입북/NNG+하/XSV+았/EP+다가/EC
43일간	43/SN+일/NNB+간/XSN
북한에	북한/NNP+에/JKB
체포됐던	체포/NNG+되/XSV+었/EP+던/ETM
한국계	한국/NNP+계/XSN
미국인	미국인/NNG
로버트	로버트/NNP
박이	박/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
석방돼	석방/NNG+되/XSV+어/EC
베이징을	베이징/NNP+을/JKO
거쳐	거치/VV+어/EC
미국에	미국/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.51.3.1
로버트 박은 6일 오전 북한 고려항공편으로 베이징 서우두 공항에 도착해 취재진에게 잠시 모습을 비친 뒤 공항을 빠져나갔다.

로버트	로버트/NNP
박은	박/NNP+은/JX
6일	6/SN+일/NNB
오전	오전/NNG
북한	북한/NNP
고려항공편으로	고려항공/NNP+편/NNB+으로/JKB
베이징	베이징/NNP
서우두	서우두/NNP
공항에	공항/NNG+에/JKB
도착해	도착/NNG+하/XSV+아/EC
취재진에게	취재진/NNG+에게/JKB
잠시	잠시/MAG
모습을	모습/NNG+을/JKO
비친	비치/VV+ㄴ/ETM
뒤	뒤/NNG
공항을	공항/NNG+을/JKO
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.51.3.2
그는 이날 밤 주중 미국 대사관 직원들의 안내로 미국행 비행기에 탑승했고, 6일(현지시각) 미국 로스앤젤레스 국제공항에 도착했다고 <에이피>(AP) 통신이 전했다.

그는	그/NP+는/JX
이날	이날/NNG
밤	밤/NNG
주중	주중/NNG
미국	미국/NNP
대사관	대사관/NNG
직원들의	직원/NNG+들/XSN+의/JKG
안내로	안내/NNG+로/JKB
미국행	미국행/NNG
비행기에	비행기/NNG+에/JKB
탑승했고,	탑승/NNG+하/XSV+았/EP+고/EC+,/SP
6일(현지시각)	6/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
로스앤젤레스	로스앤젤레스/NNP
국제공항에	국제공항/NNG+에/JKB
도착했다고	도착/NNG+하/XSV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신이	통신/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.51.4.1
베이징 서우두 공항에서 로버트 박은 취재진의 시선을 피하면서 질문에 한마디도 답하지 않았다.

베이징	베이징/NNP
서우두	서우두/NNP
공항에서	공항/NNG+에서/JKB
로버트	로버트/NNP
박은	박/NNP+은/JX
취재진의	취재진/NNG+의/JKG
시선을	시선/NNG+을/JKO
피하면서	피하/VV+면서/EC
질문에	질문/NNG+에/JKB
한마디도	한마디/NNG+도/JX
답하지	답/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.51.4.2
그는 고개를 떨구고 시선을 아래로 한 채 취재진과 눈을 마주치지 않았으며, 쏟아지는 취재진의 질문에 묵묵부답이었다.

그는	그/NP+는/JX
고개를	고개/NNG+를/JKO
떨구고	떨구/VV+고/EC
시선을	시선/NNG+을/JKO
아래로	아래/NNG+로/JKB
한	하/VV+ㄴ/ETM
채	채/NNB
취재진과	취재진/NNG+과/JKB
눈을	눈/NNG+을/JKO
마주치지	마주치/VV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
쏟아지는	쏟아지/VV+는/ETM
취재진의	취재진/NNG+의/JKG
질문에	질문/NNG+에/JKB
묵묵부답이었다.	묵묵부답/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.51.4.3
많이 지친 표정이었다.

많이	많이/MAG
지친	지치/VV+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.51.4.4
주중 미국 대사관의 수전 스티븐슨 대변인은 “우리는 북한이 박씨를 석방한 데 대해 환영한다”고 밝혔다.

주중	주중/NNG
미국	미국/NNP
대사관의	대사관/NNG+의/JKG
수전	수전/NNP
스티븐슨	스티븐슨/NNP
대변인은	대변인/NNG+은/JX
“우리는	“/SS+우리/NP+는/JX
북한이	북한/NNP+이/JKS
박씨를	박/NNP+씨/NNB+를/JKO
석방한	석방/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
환영한다”고	환영/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.51.5.1
지난해 크리스마스에 북한 최고 지도자인 김정일 국방위원장에게 정치범 수용소 폐쇄와 종교의 자유를 호소하겠다며 “신의 사랑을 가지고 간다”고 외치면서 스스로 두만강을 건너 북한에 들어갔던 로버트 박은 북한 당국에 무단 입국 혐의로 체포됐다.

지난해	지난해/NNG
크리스마스에	크리스마스/NNG+에/JKB
북한	북한/NNP
최고	최고/NNG
지도자인	지도자/NNG+이/VCP+ㄴ/ETM
김정일	김정일/NNP
국방위원장에게	국방/NNG+위원장/NNG+에게/JKB
정치범	정치범/NNG
수용소	수용소/NNG
폐쇄와	폐쇄/NNG+와/JC
종교의	종교/NNG+의/JKG
자유를	자유/NNG+를/JKO
호소하겠다며	호소/NNG+하/XSV+겠/EP+다며/EC
“신의	“/SS+신/NNG+의/JKG
사랑을	사랑/NNG+을/JKO
가지고	가지/VV+고/EC
간다”고	가/VV+ㄴ다/EF+”/SS+고/JKQ
외치면서	외치/VV+면서/EC
스스로	스스로/MAG
두만강을	두만강/NNP+을/JKO
건너	건너/VV+어/EC
북한에	북한/NNP+에/JKB
들어갔던	들어가/VV+았/EP+던/ETM
로버트	로버트/NNP
박은	박/NNP+은/JX
당국에	당국/NNG+에/JKB
무단	무단/NNG
입국	입국/NNG
혐의로	혐의/NNG+로/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.51.5.2
<조선중앙통신>은 5일 로버트 박이 애초 자신의 주장을 바꿔 “북한의 모든 곳에 종교의 자유가 있다”고 말했다고 보도했으며, 박씨가 자청한 기자회견 내용도 공개했다.

<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
5일	5/SN+일/NNB
로버트	로버트/NNP
박이	박/NNP+이/JKS
애초	애초/NNG
자신의	자신/NNG+의/JKG
주장을	주장/NNG+을/JKO
바꿔	바꾸/VV+어/EC
“북한의	“/SS+북한/NNP+의/JKG
모든	모든/MMN
곳에	곳/NNG+에/JKB
종교의	종교/NNG+의/JKG
자유가	자유/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
보도했으며,	보도/NNG+하/XSV+았/EP+으며/EC+,/SP
박씨가	박/NNP+씨/NNB+가/JKS
자청한	자청/NNG+하/XSV+ㄴ/ETM
기자회견	기자/NNG+회견/NNG
내용도	내용/NNG+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.51.5.3
로버트 박은 당분간 가족들과 함께 휴식을 한 뒤 교회활동을 해온 애리조나주 투손으로 갈 것으로 알려졌다.

로버트	로버트/NNP
박은	박/NNP+은/JX
당분간	당분간/MAG
가족들과	가족/NNG+들/XSN+과/JKB
함께	함께/MAG
휴식을	휴식/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
교회활동을	교회/NNG+활동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
애리조나주	애리조나주/NNP
투손으로	투손/NNP+으로/JKB
갈	가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


