# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.267
metadata : {}


# id : NWRW1800000041.267.1.1
송은범, 다시 김성근 품으로

송은범,	송은범/NNP+,/SP
다시	다시/MAG
김성근	김성근/NNP
품으로	품/NNG+으로/JKB


# id : NWRW1800000041.267.2.1
한화와 4년 총액 34억원 사인… 계약 못한 FA, 배영수 등 5명

한화와	한화/NNP+와/JKB
4년	4/SN+년/NNB
총액	총액/NNG
34억원	34/SN+억/NR+원/NNB
사인…	사인/NNG+…/SE
계약	계약/NNG
못한	못/MAG+하/VV+ㄴ/ETM
FA,	FA/SL+,/SP
배영수	배영수/NNP
등	등/NNB
5명	5/SN+명/NNB


# id : NWRW1800000041.267.3.1
송은범(사진)이 옛 스승 김성근 감독의 품에 안겼다.

송은범(사진)이	송은범/NNP+(/SS+사진/NNG+)/SS+이/JKS
옛	옛/MMA
스승	스승/NNG
김성근	김성근/NNP
감독의	감독/NNG+의/JKG
품에	품/NNG+에/JKB
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.267.4.1
한화는 2일 송은범과 4년간 총액 34억 원(계약금 12억 원, 연봉 4억5000만 원, 옵션 4억 원)에 자유계약선수(FA) 계약을 체결했다고 발표했다.

한화는	한화/NNP+는/JX
2일	2/SN+일/NNB
송은범과	송은범/NNP+과/JKB
4년간	4/SN+년/NNB+간/XSN
총액	총액/NNG
34억	34/SN+억/NR
원(계약금	원/NNB+(/SS+계약금/NNG
12억	12/SN+억/NR
원,	원/NNB+,/SP
연봉	연봉/NNG
4억5000만	4/SN+억/NR+5000/SN+만/NR
옵션	옵션/NNG
4억	4/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
계약을	계약/NNG+을/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.4.2
FA 시장의 열기가 식어가는 가운데 한화는 권혁에 이어 송은범까지 영입하며 마운드를 강화했다.

FA	FA/SL
시장의	시장/NNG+의/JKG
열기가	열기/NNG+가/JKS
식어가는	식/VV+어/EC+가/VX+는/ETM
가운데	가운데/NNG
한화는	한화/NNP+는/JX
권혁에	권혁/NNP+에/JKB
이어	잇/VV+어/EC
송은범까지	송은범/NNP+까지/JX
영입하며	영입/NNG+하/XSV+며/EC
마운드를	마운드/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.5.1
2007∼2011년 김성근 SK 감독 아래서 뛰었던 송은범은 2009시즌 12승 3패, 평균자책점 3.13으로 활약했었다.

2007∼2011년	2007/SN+∼/SO+2011/SN+년/NNB
김성근	김성근/NNP
SK	SK/SL
감독	감독/NNG
아래서	아래/NNG+서/JKB
뛰었던	뛰/VV+었/EP+던/ETM
송은범은	송은범/NNP+은/JX
2009시즌	2009/SN+시즌/NNG
12승	12/SN+승/NNB
3패,	3/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
3.13으로	3/SN+./SP+13/SN+으로/JKB
활약했었다.	활약/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000041.267.5.2
올 시즌 KIA에서 27경기에 출전해 4승 8패, 평균자책점 7.32로 부진했던 송은범은 KIA와의 협상에 실패하고 FA 시장에 나왔다.

올	올/NNG
시즌	시즌/NNG
KIA에서	KIA/SL+에서/JKB
27경기에	27/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
4승	4/SN+승/NNB
8패,	8/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
7.32로	7/SN+./SP+32/SN+로/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
송은범은	송은범/NNP+은/JX
KIA와의	KIA/SL+와/JKB+의/JKG
협상에	협상/NNG+에/JKB
실패하고	실패/NNG+하/XSV+고/EC
FA	FA/SL
시장에	시장/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.5.3
한화는 송은범의 구속이 150km 안팎을 유지하고 있어 제구를 회복하면 예전 모습을 보여줄 수 있을 것으로 기대하고 영입했다.

한화는	한화/NNP+는/JX
송은범의	송은범/NNP+의/JKG
구속이	구속/NNG+이/JKS
150km	150/SN+km/SW
안팎을	안팎/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있어	있/VX+어/EC
제구를	제구/NNG+를/JKO
회복하면	회복/NNG+하/XSV+면/EC
예전	예전/NNG
모습을	모습/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.6.1
다른 구단과의 협상 마감시한을 하루 앞둔 이날까지 계약을 하지 못한 FA는 삼성 배영수, KIA 차일목, SK 이재영 나주환, 넥센 이성열 등 5명이다.

다른	다른/MMD
구단과의	구단/NNG+과/JKB+의/JKG
협상	협상/NNG
마감시한을	마감/NNG+시한/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
이날까지	이날/NNG+까지/JX
계약을	계약/NNG+을/JKO
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
FA는	FA/SL+는/JX
삼성	삼성/NNP
배영수,	배영수/NNP+,/SP
KIA	KIA/SL
차일목,	차일목/NNP+,/SP
SK	SK/SL
이재영	이재영/NNP
나주환,	나주환/NNP+,/SP
넥센	넥센/NNP
이성열	이성열/NNP
등	등/NNB
5명이다.	5/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.267.6.2
이들 중 배영수는 재협상을 통해 ‘삼성맨’으로 남을 가능성이 커졌다.

이들	이/NP+들/XSN
중	중/NNB
배영수는	배영수/NNP+는/JX
재협상을	재/XPN+협상/NNG+을/JKO
통해	통하/VV+아/EC
‘삼성맨’으로	‘/SS+삼성/NNP+맨/NNG+’/SS+으로/JKB
남을	남/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.267.6.3
하일성 프로야구 해설위원(KBSN)은 “프랜차이즈 스타로서의 가치까지 포함한 삼성의 조건보다 더 좋은 조건으로 배영수를 데려가기는 힘들 것”이라고 내다봤다.

하일성	하일성/NNP
프로야구	프로/NNG+야구/NNG
해설위원(KBSN)은	해설/NNG+위원/NNG+(/SS+KBSN/SL+)/SS+은/JX
“프랜차이즈	“/SS+프랜차이즈/NNG
스타로서의	스타/NNG+로서/JKB+의/JKG
가치까지	가치/NNG+까지/JX
포함한	포함/NNG+하/XSV+ㄴ/ETM
삼성의	삼성/NNP+의/JKG
조건보다	조건/NNG+보다/JKB
더	더/MAG
좋은	좋/VA+은/ETM
조건으로	조건/NNG+으로/JKB
배영수를	배영수/NNP+를/JKO
데려가기는	데려가/VV+기/ETN+는/JX
힘들	힘들/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.7.1
올해는 유독 늦게까지 계약하지 못한 FA가 많다.

올해는	올해/NNG+는/JX
유독	유독/MAG
늦게까지	늦/VA+게/EC+까지/JX
계약하지	계약/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
FA가	FA/SL+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.267.7.2
역대 가장 많은 19명이 FA 자격을 얻은 탓도 있지만 선수층이 그만큼 두꺼워졌기 때문이다.

역대	역대/NNG
가장	가장/MAG
많은	많/VA+은/ETM
19명이	19/SN+명/NNB+이/JKS
FA	FA/SL
자격을	자격/NNG+을/JKO
얻은	얻/VV+은/ETM
탓도	탓/NNG+도/JX
있지만	있/VA+지만/EC
선수층이	선수/NNG+층/XSN+이/JKS
그만큼	그만큼/MAG
두꺼워졌기	두껍/VA+어/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.267.7.3
내부에서 대체 자원을 찾을 수 있게 됨에 따라 구단들은 꼭 필요한 대어(大魚) 1, 2명에게만 집중하는 식으로 전략을 바꿨다.

내부에서	내부/NNG+에서/JKB
대체	대체/NNG
자원을	자원/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
구단들은	구단/NNG+들/XSN+은/JX
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
대어(大魚)	대어/NNG+(/SS+大魚/SH+)/SS
1,	1/SN+,/SP
2명에게만	2/SN+명/NNB+에게/JKB+만/JX
집중하는	집중/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
전략을	전략/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.267.8.1
시간이 흐를수록 선수보다 구단이 유리한 고지에 설 수밖에 없다.

시간이	시간/NNG+이/JKS
흐를수록	흐르/VV+ㄹ수록/EC
선수보다	선수/NNG+보다/JKB
구단이	구단/NNG+이/JKS
