# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.333
metadata : {}


# id : NWRW1800000054.333.1.1
[NEWS&VIEW] 뒷감당 대책 세우고 외교 뒤집나

[NEWS&VIEW]	[/SS+NEWS/SL+&/SW+VIEW/SL+]/SS
뒷감당	뒷감당/NNG
대책	대책/NNG
세우고	세우/VV+고/EC
외교	외교/NNG
뒤집나	뒤집/VV+나/EF


# id : NWRW1800000054.333.2.1
정치권·대선주자들, 국민감정 편승해 "위안부·사드 재협상"

정치권·대선주자들,	정치/NNG+권/XSN+·/SP+대선/NNG+주자/NNG+들/XSN+,/SP
국민감정	국민감정/NNG
편승해	편승/NNG+하/XSV+아/EC
"위안부·사드	"/SS+위안부/NNG+·/SP+사드/NNG
재협상"	재/XPN+협상/NNG+"/SS


# id : NWRW1800000054.333.3.1
정치권과 대선 주자들이 최근 경쟁적으로 '위안부 합의 재협상·백지화' '사드(THAAD·고고도 미사일 방어 체계) 배치 연기·철회' 주장을 하면서 정작 그에 따른 대책과 '뒷감당'에 대해선 입을 다물고 있다.

정치권과	정치/NNG+권/XSN+과/JC
대선	대선/NNG
주자들이	주자/NNG+들/XSN+이/JKS
최근	최근/MAG
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
'위안부	'/SS+위안부/NNG
합의	합의/NNG
재협상·백지화'	재/XPN+협상/NNG+·/SP+백지/NNG+화/XSN+'/SS
'사드(THAAD·고고도	'/SS+사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체계)	체계/NNG+)/SS
배치	배치/NNG
연기·철회'	연기/NNG+·/SP+철회/NNG+'/SS
주장을	주장/NNG+을/JKO
하면서	하/VV+면서/EC
정작	정작/MAG
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
대책과	대책/NNG+과/JC
'뒷감당'에	'/SS+뒷감당/NNG+'/SS+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
입을	입/NNG+을/JKO
다물고	다물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.333.3.2
한·미 동맹 훼손, 북핵 공조 파기, 국가 신용도 저하 등 수많은 후폭풍이 예상되는 논쟁적 외교 사안을 마치 국내 정치 공약 뒤집듯이 여기고 있다는 비판이 나온다.

한·미	한·미/NNP
동맹	동맹/NNG
훼손,	훼손/NNG+,/SP
북핵	북핵/NNG
공조	공조/NNG
파기,	파기/NNG+,/SP
국가	국가/NNG
신용도	신용도/NNG
저하	저하/NNG
등	등/NNB
수많은	수많/VA+은/ETM
후폭풍이	후폭풍/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
논쟁적	논쟁/NNG+적/XSN
외교	외교/NNG
사안을	사안/NNG+을/JKO
마치	마치/MAG
국내	국내/NNG
정치	정치/NNG
공약	공약/NNG
뒤집듯이	뒤집/VV+듯이/EC
여기고	여기/VV+고/EC
있다는	있/VX+다는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.333.3.3
박철희 서울대 교수는 "국익에 대한 면밀한 분석과 전략 없이 국민감정에 편승해 외교 합의를 뒤집으면 국가 차원의 위기를 맞을 수도 있다"며 "지금 한국 외교는 실수를 할 여력이 없다"고 했다.

박철희	박철희/NNP
서울대	서울대/NNP
교수는	교수/NNG+는/JX
"국익에	"/SS+국익/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
면밀한	면밀하/VA+ㄴ/ETM
분석과	분석/NNG+과/JC
전략	전략/NNG
없이	없이/MAG
국민감정에	국민감정/NNG+에/JKB
편승해	편승/NNG+하/XSV+아/EC
외교	외교/NNG
합의를	합의/NNG+를/JKO
뒤집으면	뒤집/VV+으면/EC
국가	국가/NNG
차원의	차원/NNG+의/JKG
위기를	위기/NNG+를/JKO
맞을	맞/VV+을/ETM
수도	수/NNB+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"지금	"/SS+지금/MAG
한국	한국/NNP
외교는	외교/NNG+는/JX
실수를	실수/NNG+를/JKO
할	하/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.333.4.1
더불어민주당 우상호 원내대표는 9일 "위안부 합의에 따라 일본에서 받은 10억엔은 굴욕적인 돈"이라며 "예비비라도 편성할 테니 10억엔을 돌려주자"고 했다.

더불어민주당	더불어민주당/NNP
우상호	우상호/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
9일	9/SN+일/NNB
"위안부	"/SS+위안부/NNG
합의에	합의/NNG+에/JKB
따라	따르/VV+아/EC
일본에서	일본/NNP+에서/JKB
받은	받/VV+은/ETM
10억엔은	10/SN+억/NR+엔/NNB+은/JX
굴욕적인	굴욕/NNG+적/XSN+이/VCP+ㄴ/ETM
돈"이라며	돈/NNG+"/SS+이/VCP+라며/EC
"예비비라도	"/SS+예비비/NNG+이/VCP+라도/EC
편성할	편성/NNG+하/XSV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
10억엔을	10/SN+억/NR+엔/NNB+을/JKO
돌려주자"고	돌려주/VV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.333.4.2
사실상 위안부 합의를 전면 파기하자는 얘기다.

사실상	사실/NNG+상/XSN
위안부	위안부/NNG
합의를	합의/NNG+를/JKO
전면	전면/NNG
파기하자는	파기/NNG+하/XSV+자는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.333.4.3
야권 주요 대선 주자들도 위안부 합의를 "반인륜적 범죄에 대한 면죄부"(문재인 전 민주당 대표), "외교 참사"(안철수 국민의당 의원)로 규정하며 재협상·백지화를 주장하고 있다.

야권	야권/NNG
주요	주요/NNG
대선	대선/NNG
주자들도	주자/NNG+들/XSN+도/JX
위안부	위안부/NNG
합의를	합의/NNG+를/JKO
"반인륜적	"/SS+반/XPN+인륜/NNG+적/XSN
범죄에	범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
면죄부"(문재인	면죄부/NNG+"/SS+(/SS+문재인/NNP
전	전/MMD
민주당	민주당/NNP
대표),	대표/NNG+)/SS+,/SP
"외교	"/SS+외교/NNG
참사"(안철수	참사/NNG+"/SS+(/SS+안철수/NNP
국민의당	국민의당/NNP
의원)로	의원/NNG+)/SS+로/JKB
규정하며	규정/NNG+하/XSV+며/EC
재협상·백지화를	재/XPN+협상/NNG+·/SP+백지/NNG+화/XSN+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.333.4.4
반기문 전 유엔 사무총장도 최근 '재협상 검토'로 돌아선 것으로 알려졌다.

반기문	반기문/NNP
전	전/MMD
유엔	유엔/NNP
사무총장도	사무총장/NNG+도/JX
최근	최근/MAG
'재협상	'/SS+재/XPN+협상/NNG
검토'로	검토/NNG+'/SS+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.333.5.1
정치권이 위안부 합의에 이처럼 부정적 말을 쏟아내는 것은 일차적으로 일본이 사죄·반성에 진정성 있는 태도를 보여주지 않으면서 격해진 국민감정을 반영할 수밖에 없기 때문이다.

정치권이	정치/NNG+권/XSN+이/JKS
위안부	위안부/NNG
합의에	합의/NNG+에/JKB
이처럼	이/NP+처럼/JKB
부정적	부정/NNG+적/XSN
말을	말/NNG+을/JKO
쏟아내는	쏟/VV+아/EC+내/VX+는/ETM
것은	것/NNB+은/JX
일차적으로	일차/NNG+적/XSN+으로/JKB
일본이	일본/NNP+이/JKS
사죄·반성에	사죄/NNG+·/SP+반성/NNG+에/JKB
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
태도를	태도/NNG+를/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
않으면서	않/VX+으면서/EC
격해진	격하/VA+아/EC+지/VX+ㄴ/ETM
국민감정을	국민감정/NNG+을/JKO
반영할	반영/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.333.5.2
하지만 책임 있는 국정 운영자 차원에서 실제로 합의를 깨고 재협상을 하겠다는 것은 완전히 다른 문제다.

하지만	하지만/MAJ
책임	책임/NNG
있는	있/VA+는/ETM
국정	국정/NNG
운영자	운영자/NNG
차원에서	차원/NNG+에서/JKB
실제로	실제로/MAG
합의를	합의/NNG+를/JKO
깨고	깨/VV+고/EC
재협상을	재/XPN+협상/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
것은	것/NNB+은/JX
완전히	완전히/MAG
