# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.72
metadata : {}


# id : NWRW1800000032.72.1.1
SOC금융, 어윤대의 ‘미소’…씁쓸한 강만수

SOC금융,	SOC/SL+금융/NNG+,/SP
어윤대의	어윤대/NNP+의/JKG
‘미소’…씁쓸한	‘/SS+미소/NNG+’/SS+…/SE+씁쓸하/VA+ㄴ/ETM
강만수	강만수/NNP


# id : NWRW1800000032.72.2.1
국민은행 올 발전분야 2조5천억원 수주 등 급성장

국민은행	국민은행/NNP
올	올/NNG
발전분야	발전/NNG+분야/NNG
2조5천억원	2/SN+조/NR+5/SN+천억/NR+원/NNB
수주	수주/NNG
등	등/NNB
급성장	급성장/NNG


# id : NWRW1800000032.72.3.1
산업은행 독주 흔들…“강 회장 소매집중탓” 비판

산업은행	산업은행/NNP
독주	독주/NNG
흔들…“강	흔들/XR+…/SE+“/SS+강/NNP
회장	회장/NNG
소매집중탓”	소매/NNG+집중/NNG+탓/NNG+”/SS
비판	비판/NNG


# id : NWRW1800000032.72.4.1
산업은행이 주도하고 있던 사회간접자본(SOC) 금융에 국민은행이 치고 올라오면서 어윤대(왼쪽 사진) 케이비(KB)금융그룹 회장과 강만수(오른쪽) 산은금융그룹 회장의 표정이 엇갈리고 있다.

산업은행이	산업은행/NNP+이/JKS
주도하고	주도/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
사회간접자본(SOC)	사회/NNG+간접/NNG+자본/NNG+(/SS+SOC/SL+)/SS
금융에	금융/NNG+에/JKB
국민은행이	국민은행/NNP+이/JKS
치고	치/VV+고/EC
올라오면서	올라오/VV+면서/EC
어윤대(왼쪽	어윤대/NNP+(/SS+왼쪽/NNG
사진)	사진/NNG+)/SS
케이비(KB)금융그룹	케이비/NNP+(/SS+KB/SL+)/SS+금융/NNG+그룹/NNG
회장과	회장/NNG+과/JC
강만수(오른쪽)	강만수/NNP+(/SS+오른쪽/NNG+)/SS
산은금융그룹	산은금융그룹/NNP
회장의	회장/NNG+의/JKG
표정이	표정/NNG+이/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.4.2
사회간접자본 금융은 도로·항만·발전소 등 기반시설(인프라) 건설에 필요한 자금을 충당하기 위해 프로젝트파이낸싱(PF) 기법으로 민간 투자자금을 주선하는 금융서비스다.

사회간접자본	사회/NNG+간접/NNG+자본/NNG
금융은	금융/NNG+은/JX
도로·항만·발전소	도로/NNG+·/SP+항만/NNG+·/SP+발전소/NNG
등	등/NNB
기반시설(인프라)	기반/NNG+시설/NNG+(/SS+인프라/NNG+)/SS
건설에	건설/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자금을	자금/NNG+을/JKO
충당하기	충당/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
프로젝트파이낸싱(PF)	프로젝트/NNG+파이낸싱/NNG+(/SS+PF/SL+)/SS
기법으로	기법/NNG+으로/JKB
민간	민간/NNG
투자자금을	투자/NNG+자금/NNG+을/JKO
주선하는	주선/NNG+하/XSV+는/ETM
금융서비스다.	금융/NNG+서비스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.72.5.1
