# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.235
metadata : {}


# id : NWRW1800000046.235.1.1
청용, 너마저… 발목 다쳐 대표팀 제외

청용,	청용/NNP+,/SP
너마저…	너/NP+마저/JX+…/SE
발목	발목/NNG
다쳐	다치/VV+어/EC
대표팀	대표/NNG+팀/NNG
제외	제외/NNG


# id : NWRW1800000046.235.2.1
손흥민도 부상 '먹구름'

손흥민도	손흥민/NNP+도/JX
부상	부상/NNG
'먹구름'	'/SS+먹구름/NNG+'/SS


# id : NWRW1800000046.235.3.1
울리 슈틸리케(61·독일) 축구 대표팀 감독은 지난 30일 쿠웨이트와의 러시아월드컵 2차 예선 4차전 원정 경기(8일)에 대비한 소집 명단을 발표한 뒤 "대표팀 선수층이 두꺼워졌다"며 만족감을 표했다.

울리	울리/NNP
슈틸리케(61·독일)	슈틸리케/NNP+(/SS+61/SN+·/SP+독일/NNP+)/SS
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
쿠웨이트와의	쿠웨이트/NNP+와/JKB+의/JKG
러시아월드컵	러시아/NNP+월드컵/NNG
2차	2/SN+차/NNB
예선	예선/NNG
4차전	4/SN+차전/NNB
원정	원정/NNG
경기(8일)에	경기/NNG+(/SS+8/SN+일/NNB+)/SS+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
소집	소집/NNG
명단을	명단/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"대표팀	"/SS+대표/NNG+팀/NNG
선수층이	선수/NNG+층/XSN+이/JKS
두꺼워졌다"며	두껍/VA+어/EC+지/VX+었/EP+다/EF+"/SS+며/EC
만족감을	만족감/NNG+을/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.235.3.2
이번 명단은 한국 축구가 자랑하는 유럽파 선수들이 총망라되며 최정예 멤버라는 평가를 받았다.

이번	이번/NNG
명단은	명단/NNG+은/JX
한국	한국/NNP
축구가	축구/NNG+가/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
유럽파	유럽파/NNG
선수들이	선수/NNG+들/XSN+이/JKS
총망라되며	총망라/NNG+되/XSV+며/EC
최정예	최/XPN+정예/NNG
멤버라는	멤버/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.235.3.3
하지만 쿠웨이트로 떠나기도 전에 주축 선수들이 부상을 당하며 슈틸리케호(號)엔 먹구름이 드리우고 있다.

하지만	하지만/MAJ
쿠웨이트로	쿠웨이트/NNP+로/JKB
떠나기도	떠나/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
주축	주축/NNG
선수들이	선수/NNG+들/XSN+이/JKS
부상을	부상/NNG+을/JKO
당하며	당하/VV+며/EC
슈틸리케호(號)엔	슈틸리케호/NNP+(/SS+號/SH+)/SS+에/JKB+ㄴ/JX
먹구름이	먹구름/NNG+이/JKS
드리우고	드리우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.235.4.1
대한축구협회는 1일 "지난 29일 훈련 도중 오른쪽 발목을 다친 이청용(크리스털 팰리스·사진)이 이번 대표팀 명단에서 제외됐다"며 "이에 대한 대체 발탁은 없다"고 밝혔다.

대한축구협회는	대한축구협회/NNP+는/JX
1일	1/SN+일/NNB
"지난	"/SS+지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
훈련	훈련/NNG
도중	도중/NNG
오른쪽	오른쪽/NNG
발목을	발목/NNG+을/JKO
다친	다치/VV+ㄴ/ETM
이청용(크리스털	이청용/NNP+(/SS+크리스털/NNP
