# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.213
metadata : {}


# id : NWRW1800000026.213.1.1
[뉴스 블로그] 자동차 보험업계 공공의 적 'ND효과(내비게이션+DMB)'

[뉴스	[/SS+뉴스/NNG
블로그]	블로그/NNG+]/SS
자동차	자동차/NNG
보험업계	보험업/NNG+계/XSN
공공의	공공/NNG+의/JKG
적	적/NNG
'ND효과(내비게이션+DMB)'	'/SS+ND/SL+효과/NNG+(/SS+내비게이션/NNG++/SW+DMB/SL+)/SS+'/SS


# id : NWRW1800000026.213.2.1
요즘 자동차 사고 보험금 지급이 늘어나 골머리를 썩는 보험업계에서 'ND효과(effect)'란 신조어가 화제입니다.

요즘	요즘/NNG
자동차	자동차/NNG
사고	사고/NNG
보험금	보험금/NNG
지급이	지급/NNG+이/JKS
늘어나	늘어나/VV+아/EC
골머리를	골머리/NNG+를/JKO
썩는	썩/VV+는/ETM
보험업계에서	보험업/NNG+계/XSN+에서/JKB
'ND효과(effect)'란	'/SS+ND/SL+효과/NNG+(/SS+effect/SL+)/SS+'/SS+이/VCP+란/ETM
신조어가	신조어/NNG+가/JKS
화제입니다.	화제/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.213.2.2
ND효과는 내비게이션(Navigation)과 DMB(디지털멀티미디어방송)의 영어 앞글자만 따서 만든 단어예요.

ND효과는	ND/SL+효과/NNG+는/JX
내비게이션(Navigation)과	내비게이션/NNG+(/SS+Navigation/SL+)/SS+과/JC
DMB(디지털멀티미디어방송)의	DMB/SL+(/SS+디지털/NNG+멀티미디어/NNG+방송/NNG+)/SS+의/JKG
영어	영어/NNP
앞글자만	앞/NNG+글자/NNG+만/JX
따서	따/VV+아서/EC
만든	만들/VV+ㄴ/ETM
단어예요.	단어/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000026.213.2.3
자동차 사고가 늘어 이유를 고민하던 보험 전문가들이 만들어냈다고 하네요.

자동차	자동차/NNG
