# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.5
metadata : {}


# id : NWRW1800000041.5.1.1
현대오일뱅크-롯데케미칼 합작 ‘현대케미칼’ 출범

현대오일뱅크-롯데케미칼	현대오일뱅크/NNP+-/SO+롯데케미칼/NNP
합작	합작/NNG
‘현대케미칼’	‘/SS+현대케미칼/NNP+’/SS
출범	출범/NNG


# id : NWRW1800000041.5.2.1
6대4 비율 1조2000억원 투자… 油化기초원료 혼합자일렌 생산

6대4	6/SN+대/NNB+4/SN
비율	비율/NNG
1조2000억원	1/SN+조/NR+2000/SN+억/NR+원/NNB
투자…	투자/NNG+…/SE
油化기초원료	油化/SH+기초/NNG+원료/NNG
혼합자일렌	혼합/NNG+자일렌/NNG
생산	생산/NNG


# id : NWRW1800000041.5.3.1
현대오일뱅크와 롯데케미칼이 합작 법인인 ‘현대케미칼’을 설립해 석유화학제품 기초 원료를 생산한다.

현대오일뱅크와	현대오일뱅크/NNP+와/JC
롯데케미칼이	롯데케미칼/NNP+이/JKS
합작	합작/NNG
법인인	법인/NNG+이/VCP+ㄴ/ETM
‘현대케미칼’을	‘/SS+현대케미칼/NNP+’/SS+을/JKO
설립해	설립/NNG+하/XSV+아/EC
석유화학제품	석유/NNG+화학/NNG+제품/NNG
기초	기초/NNG
원료를	원료/NNG+를/JKO
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.4.1
권오갑 현대오일뱅크 사장과 허수영 롯데케미칼 사장은 21일 서울 중구 을지로 롯데호텔에서 콘덴세이트(초경질원유) 정제공장과 혼합자일렌(MX) 제조 공장 건설 및 합작법인 설립을 위한 계약을 체결했다.

권오갑	권오갑/NNP
현대오일뱅크	현대오일뱅크/NNP
사장과	사장/NNG+과/JC
허수영	허수영/NNP
롯데케미칼	롯데케미칼/NNP
사장은	사장/NNG+은/JX
21일	21/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
을지로	을지로/NNP
롯데호텔에서	롯데호텔/NNP+에서/JKB
콘덴세이트(초경질원유)	콘덴세이트/NNG+(/SS+초/XPN+경질/NNG+원유/NNG+)/SS
정제공장과	정제/NNG+공장/NNG+과/JC
혼합자일렌(MX)	혼합/NNG+자일렌/NNG+(/SS+MX/SL+)/SS
제조	제조/NNG
공장	공장/NNG
건설	건설/NNG
및	및/MAG
합작법인	합작/NNG+법인/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.5.4.2
총 투자금액은 1조2000억 원이다.

총	총/MMA
투자금액은	투자/NNG+금액/NNG+은/JX
1조2000억	1/SN+조/NR+2000/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.5.4.3
현대오일뱅크와 롯데케미칼이 각각 6 대 4 비율로 출자한다.

현대오일뱅크와	현대오일뱅크/NNP+와/JC
롯데케미칼이	롯데케미칼/NNP+이/JKS
각각	각각/MAG
6	6/SN
대	대/NNB
4	4/SN
비율로	비율/NNG+로/JKB
출자한다.	출자/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.4.4
합작법인은 3월에 출범한다.

합작법인은	합작/NNG+법인/NNG+은/JX
3월에	3/SN+월/NNB+에/JKB
출범한다.	출범/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.4.5
합작공장은 충남 서산시 대산읍 현대오일뱅크 대산공장 내 22만 m²(약 6만5000평) 터에 들어선다.

합작공장은	합작/NNG+공장/NNG+은/JX
충남	충남/NNP
서산시	서산시/NNP
대산읍	대산읍/NNP
현대오일뱅크	현대오일뱅크/NNP
대산공장	대산/NNP+공장/NNG
내	내/NNB
22만	22/SN+만/NR
m²(약	m²/SW+(/SS+약/MMA
6만5000평)	6/SN+만/NR+5000/SN+평/NNB+)/SS
터에	터/NNG+에/JKB
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.4.6
2016년 하반기(7∼12월)에 본격적인 상업 가동을 시작할 예정이다.

2016년	2016/SN+년/NNB
하반기(7∼12월)에	하반기/NNG+(/SS+7/SN+∼/SO+12/SN+월/NNB+)/SS+에/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
상업	상업/NNG
가동을	가동/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.5.5.1
