# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.245
metadata : {}


# id : NWRW1800000041.245.1.1
[그런거 野]FA, 대박과 도박 사이

[그런거	[/SS+그런/MMD+거/NNB
野]FA,	野/SH+]/SS+FA/SL+,/SP
대박과	대/XPN+박/NNG+과/JC
도박	도박/NNG
사이	사이/NNG


# id : NWRW1800000041.245.2.1
2013시즌이 끝난 뒤 자유계약선수(FA)를 붙잡기 위해 9개 구단이 쓴 돈은 523억5000만 원.

2013시즌이	2013/SN+시즌/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
자유계약선수(FA)를	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+를/JKO
붙잡기	붙잡/VV+기/ETN
위해	위하/VV+아/EC
9개	9/SN+개/NNB
구단이	구단/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
523억5000만	523/SN+억/NR+5000/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000041.245.2.2
이전까지 최고액이었던 2011년 261억5000만 원의 두 배가 넘는 금액이다.

이전까지	이전/NNG+까지/JX
최고액이었던	최고액/NNG+이/VCP+었/EP+던/ETM
2011년	2011/SN+년/NNB
261억5000만	261/SN+억/NR+5000/SN+만/NR
원의	원/NNB+의/JKG
두	두/MMN
배가	배/NNG+가/JKS
넘는	넘/VV+는/ETM
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.2.3
강민호(롯데), 정근우(SK→한화), 이용규(KIA→한화), 장원삼(삼성)은 역대 FA 몸값 1위였던 2005년 심정수(삼성)의 60억 원을 넘어서는 ‘FA 대박’을 터뜨렸다.

강민호(롯데),	강민호/NNP+(/SS+롯데/NNP+)/SS+,/SP
정근우(SK→한화),	정근우/NNP+(/SS+SK/SL+→/SW+한화/NNP+)/SS+,/SP
이용규(KIA→한화),	이용규/NNP+(/SS+KIA/SL+→/SW+한화/NNP+)/SS+,/SP
장원삼(삼성)은	장원삼/NNP+(/SS+삼성/NNP+)/SS+은/JX
역대	역대/NNG
FA	FA/SL
몸값	몸값/NNG
1위였던	1/SN+위/NNB+이/VCP+었/EP+던/ETM
2005년	2005/SN+년/NNB
심정수(삼성)의	심정수/NNP+(/SS+삼성/NNP+)/SS+의/JKG
60억	60/SN+억/NR
원을	원/NNB+을/JKO
넘어서는	넘어서/VV+는/ETM
‘FA	‘/SS+FA/SL
대박’을	대/XPN+박/NNG+’/SS+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.245.2.4
구단들의 과열 경쟁 탓에 선수들의 몸값에 ‘거품’이 끼었다는 지적이 나올 만도 했다.

구단들의	구단/NNG+들/XSN+의/JKG
과열	과열/NNG
경쟁	경쟁/NNG
탓에	탓/NNG+에/JKB
선수들의	선수/NNG+들/XSN+의/JKG
몸값에	몸값/NNG+에/JKB
‘거품’이	‘/SS+거품/NNG+’/SS+이/JKS
끼었다는	끼/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
만도	만/NNB+도/JX
