# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.212
metadata : {}


# id : NWRW1800000056.212.1.1
[단독] 임태희 전 대통령실장, 국립 한경대 총장 1순위 추천

[단독]	[/SS+단독/NNG+]/SS
임태희	임태희/NNP
전	전/MMD
대통령실장,	대통령실장/NNG+,/SP
국립	국립/NNG
한경대	한경대/NNP
총장	총장/NNG
1순위	1/SN+순위/NNG
추천	추천/NNG


# id : NWRW1800000056.212.2.1
시민단체 “4대강 책임자가 총장, 어불성설” 반발

시민단체	시민/NNG+단체/NNG
“4대강	“/SS+4/SN+대/NNG+강/NNG
책임자가	책임자/NNG+가/JKS
총장,	총장/NNG+,/SP
어불성설”	어불성설/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000056.212.3.1
경기 안성시에 있는 국립 한경대 새 총장 후보자 1순위로 ‘4대강 전도사’ 임태희 전 대통령 비서실장이 추천돼 반발이 일고 있다.

경기	경기/NNP
안성시에	안성시/NNP+에/JKB
있는	있/VA+는/ETM
국립	국립/NNG
한경대	한경대/NNP
새	새/MMA
총장	총장/NNG
후보자	후보자/NNG
1순위로	1/SN+순위/NNG+로/JKB
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
전도사’	전도사/NNG+’/SS
임태희	임태희/NNP
전	전/MMD
대통령	대통령/NNG
비서실장이	비서실장/NNG+이/JKS
추천돼	추천/NNG+되/XSV+어/EC
반발이	반발/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.212.4.1
한경대는 19일 “오늘 총장후보자추천위원회에서 신임 총장 후보로 임태희 전 실장과 박상돈 교수(응용수학과)가 결정돼 교육부에 이를 통보할 예정”이라고 밝혔다.

한경대는	한경대/NNP+는/JX
19일	19/SN+일/NNB
“오늘	“/SS+오늘/MAG
총장후보자추천위원회에서	총장/NNG+후보자/NNG+추천/NNG+위원회/NNG+에서/JKB
신임	신임/NNG
총장	총장/NNG
후보로	후보/NNG+로/JKB
임태희	임태희/NNP
전	전/MMD
실장과	실장/NNG+과/JC
박상돈	박상돈/NNP
교수(응용수학과)가	교수/NNG+(/SS+응용/NNG+수학과/NNG+)/SS+가/JKS
결정돼	결정/NNG+되/XSV+어/EC
교육부에	교육부/NNG+에/JKB
이를	이/NP+를/JKO
통보할	통보/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.212.4.2
국립대인 한경대의 총장 선출 방식은 간선제다.

국립대인	국립대/NNG+이/VCP+ㄴ/ETM
한경대의	한경대/NNP+의/JKG
총장	총장/NNG
선출	선출/NNG
방식은	방식/NNG+은/JX
간선제다.	간선/NNG+제/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.212.4.3
한경대는 교수와 학생 등 50명으로 이뤄진 총장 후보자 추천위원회를 18일 구성한 뒤 이날 후보자 6명을 상대로 투표를 벌여 임 전 실장을 1순위로 뽑았다.

한경대는	한경대/NNP+는/JX
교수와	교수/NNG+와/JC
학생	학생/NNG
등	등/NNB
50명으로	50/SN+명/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
총장	총장/NNG
후보자	후보자/NNG
추천위원회를	추천/NNG+위원회/NNG+를/JKO
18일	18/SN+일/NNB
구성한	구성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이날	이날/NNG
6명을	6/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
투표를	투표/NNG+를/JKO
벌여	벌이/VV+어/EC
임	임/NNP
전	전/MMD
실장을	실장/NNG+을/JKO
1순위로	1/SN+순위/NNG+로/JKB
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.212.4.4
한경대가 1, 2위 후보자를 교육부에 추천하면 교육부장관이 이 가운데 1명을 임명권자인 대통령에게 임용 제청한다.

한경대가	한경대/NNP+가/JKS
1,	1/SN+,/SP
2위	2/SN+위/NNB
후보자를	후보자/NNG+를/JKO
교육부에	교육부/NNG+에/JKB
추천하면	추천/NNG+하/XSV+면/EC
교육부장관이	교육부/NNG+장관/NNG+이/JKS
이	이/NP
가운데	가운데/NNG
1명을	1/SN+명/NNB+을/JKO
임명권자인	임명권자/NNG+이/VCP+ㄴ/ETM
대통령에게	대통령/NNG+에게/JKB
임용	임용/NNG
제청한다.	제청/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.212.5.1
하지만 환경단체 등은 임 전 실장이 이명박 정부 때 고용노동부 장관과 대통령 비서실장을 지내면서 실패한 국책사업으로 꼽히는 4대강 사업에 찬성한 대표적 인물이란 점에서 강하게 반발하고 나섰다.

하지만	하지만/MAJ
환경단체	환경/NNG+단체/NNG
등은	등/NNB+은/JX
임	임/NNP
전	전/MMD
실장이	실장/NNG+이/JKS
이명박	이명박/NNP
정부	정부/NNG
때	때/NNG
고용노동부	고용/NNG+노동부/NNG
장관과	장관/NNG+과/JC
대통령	대통령/NNG
비서실장을	비서실장/NNG+을/JKO
지내면서	지내/VV+면서/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
국책사업으로	국책/NNG+사업/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
찬성한	찬성/NNG+하/XSV+ㄴ/ETM
대표적	대표/NNG+적/XSN
인물이란	인물/NNG+이/VCP+란/ETM
점에서	점/NNG+에서/JKB
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.212.5.2
환경운동연합은 이날 “임 전 실장은 4대강 찬동 인사 리스트에서 대표적 에이(A)급 찬동인사이고 논란이 많았던 한반도 대운하와 4대강 사업 진두 지휘한 인물로, 그런 분이 국립대 총장 후보자 선출에서 1순위 득표한 것은 유감이다”고 밝혔다.

환경운동연합은	환경운동연합/NNP+은/JX
이날	이날/NNG
“임	“/SS+임/NNP
전	전/MMD
실장은	실장/NNG+은/JX
4대강	4/SN+대/NNG+강/NNG
찬동	찬동/NNG
인사	인사/NNG
리스트에서	리스트/NNG+에서/JKB
대표적	대표/NNG+적/XSN
에이(A)급	에이/NNG+(/SS+A/SL+)/SS+급/NNG
찬동인사이고	찬동/NNG+인사/NNG+이/VCP+고/EC
논란이	논란/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
