# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.192
metadata : {}


# id : NWRW1800000036.192.1.1
경찰간부도 ‘CNK’ 5억 차익

경찰간부도	경찰/NNG+간부/NNG+도/JX
‘CNK’	‘/SS+CNK/SL+’/SS
5억	5/SN+억/NR
차익	차익/NNG


# id : NWRW1800000036.192.2.1
[한겨레] 보도자료 발표직후 팔아

[한겨레]	[/SS+한겨레/NNP+]/SS
보도자료	보도/NNG+자료/NNG
발표직후	발표/NNG+직후/NNG
팔아	팔/VV+아/EF


# id : NWRW1800000036.192.3.1
“회장이 고교동창 절친”

“회장이	“/SS+회장/NNG+이/JKS
고교동창	고교/NNG+동창/NNG
절친”	절친/NNG+”/SS


# id : NWRW1800000036.192.4.1
카메룬 다이아몬드 개발 현황을 부풀린 씨앤케이(CNK)의 주식을 현직 경찰 간부가 사고팔면서 수억원의 시세차익을 올린 사실이 29일 밝혀졌다.

카메룬	카메룬/NNP
다이아몬드	다이아몬드/NNG
개발	개발/NNG
현황을	현황/NNG+을/JKO
부풀린	부풀리/VV+ㄴ/ETM
씨앤케이(CNK)의	씨앤케이/NNP+(/SS+CNK/SL+)/SS+의/JKG
주식을	주식/NNG+을/JKO
현직	현직/NNG
경찰	경찰/NNG
간부가	간부/NNG+가/JKS
사고팔면서	사고팔/VV+면서/EC
수억원의	수억/NR+원/NNB+의/JKG
시세차익을	시세/NNG+차익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
29일	29/SN+일/NNB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.192.4.2
경찰은 이 간부를 대기발령하고 감찰 조사에 들어갔다.

경찰은	경찰/NNG+은/JX
이	이/MMD
간부를	간부/NNG+를/JKO
대기발령하고	대기/NNG+발령/NNG+하/XSV+고/EC
감찰	감찰/NNG
조사에	조사/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.192.5.1
총경급 경찰 간부인 ㅇ씨는 서울지방경찰청에 근무하던 2009년 2월, 씨앤케이의 유상증자에 참여해 6300만원으로 이 회사 주식 10만주를 사들였다.

총경급	총경급/NNG
경찰	경찰/NNG
간부인	간부/NNG+이/VCP+ㄴ/ETM
ㅇ씨는	ㅇ/NNG+씨/NNB+는/JX
서울지방경찰청에	서울지방경찰청/NNP+에/JKB
근무하던	근무/NNG+하/XSV+던/ETM
2009년	2009/SN+년/NNB
2월,	2/SN+월/NNB+,/SP
씨앤케이의	씨앤케이/NNP+의/JKG
유상증자에	유상/NNG+증자/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
6300만원으로	6300/SN+만/NR+원/NNB+으로/JKB
이	이/MMD
회사	회사/NNG
주식	주식/NNG
10만주를	10/SN+만/NR+주/NNG+를/JKO
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.192.5.2
그리고 2010년 12월 외교통상부가 “씨앤케이가 4억2천만 캐럿이 매장돼있는 카메룬 다이아몬드 개발권을 얻었다”는 보도자료를 발표한 직후 주식을 모두 팔아 5억원의 시세차익을 올렸다.

그리고	그리고/MAJ
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
외교통상부가	외교/NNG+통상부/NNG+가/JKS
“씨앤케이가	“/SS+씨앤케이/NNP+가/JKS
4억2천만	4/SN+억/NR+2/SN+천만/NR
캐럿이	캐럿/NNB+이/JKS
매장돼있는	매장/NNG+되/XSV+어/EC+있/VX+는/ETM
카메룬	카메룬/NNP
다이아몬드	다이아몬드/NNG
개발권을	개발/NNG+권/XSN+을/JKO
얻었다”는	얻/VV+었/EP+다/EF+”/SS+는/ETM
보도자료를	보도/NNG+자료/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
주식을	주식/NNG+을/JKO
모두	모두/MAG
팔아	팔/VV+아/EC
5억원의	5/SN+억/NR+원/NNB+의/JKG
시세차익을	시세/NNG+차익/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.192.6.1
그러나 ㅇ씨는 “고교 동창으로 절친한 사이인 오덕균 씨앤케이 회장이 투자를 권유해 주식을 샀을 뿐 절차상 아무런 문제가 없다”고 주장하고 있는 것으로 알려졌다.

그러나	그러나/MAJ
ㅇ씨는	ㅇ/NNG+씨/NNB+는/JX
“고교	“/SS+고교/NNG
동창으로	동창/NNG+으로/JKB
절친한	절친하/VA+ㄴ/ETM
사이인	사이/NNG+이/VCP+ㄴ/ETM
오덕균	오덕균/NNP
씨앤케이	씨앤케이/NNP
회장이	회장/NNG+이/JKS
투자를	투자/NNG+를/JKO
권유해	권유/NNG+하/XSV+아/EC
주식을	주식/NNG+을/JKO
샀을	사/VV+았/EP+을/ETM
뿐	뿐/NNB
절차상	절차/NNG+상/XSN
아무런	아무런/MMD
문제가	문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.192.7.1
한편, 씨앤케이의 다이아몬드 개발 의혹을 수사중인 서울중앙지검 금융조세조사3부(부장 윤희식)는 이 회사의 신주인수권부사채(BW) 매매계좌 59개의 내역을 확보하고 이 계좌의 입·출금 흐름을 집중 조사하고 있다.

한편,	한편/NNG+,/SP
씨앤케이의	씨앤케이/NNP+의/JKG
다이아몬드	다이아몬드/NNG
개발	개발/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
금융조세조사3부(부장	금융/NNG+조세/NNG+조사/NNG+3/SN+부/NNG+(/SS+부장/NNG
윤희식)는	윤희식/NNP+)/SS+는/JX
이	이/MMD
회사의	회사/NNG+의/JKG
신주인수권부사채(BW)	신주/NNG+인수권부/NNG+사채/NNG+(/SS+BW/SL+)/SS
매매계좌	매매/NNG+계좌/NNG
59개의	59/SN+개/NNB+의/JKG
내역을	내역/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
계좌의	계좌/NNG+의/JKG
입·출금	입·출금/NNG
흐름을	흐름/NNG+을/JKO
집중	집중/NNG
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.192.7.2
오 회장이 정·관계 실력자들에게 신주인수권부사채를 헐값에 넘기는 방식으로 사업 편의를 위한 로비를 벌였다는 의혹을 살펴보기 위한 것이다.

오	오/NNP
회장이	회장/NNG+이/JKS
정·관계	정·관계/NNG
실력자들에게	실력자/NNG+들/XSN+에게/JKB
신주인수권부사채를	신주/NNG+인수권부/NNG+사채/NNG+를/JKO
헐값에	헐값/NNG+에/JKB
넘기는	넘기/VV+는/ETM
방식으로	방식/NNG+으로/JKB
사업	사업/NNG
편의를	편의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
로비를	로비/NNG+를/JKO
벌였다는	벌이/VV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
살펴보기	살펴보/VV+기/ETN
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.192.7.3
검찰은 또 외교부가 다이아몬드 매장량이 부풀려진 허위 보도자료를 배포한 2010년 12월17일 직후부터 2011년 2월28일까지 씨앤케이 주식을 5만주 이상 대량으로 내다판 32명의 계좌내역을 확보해 입출금된 자금의 흐름도 조사하고 있다.

검찰은	검찰/NNG+은/JX
또	또/MAG
외교부가	외교부/NNG+가/JKS
다이아몬드	다이아몬드/NNG
매장량이	매장량/NNG+이/JKS
부풀려진	부풀리/VV+어/EC+지/VX+ㄴ/ETM
허위	허위/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
배포한	배포/NNG+하/XSV+ㄴ/ETM
2010년	2010/SN+년/NNB
12월17일	12/SN+월/NNB+17/SN+일/NNB
직후부터	직후/NNG+부터/JX
2011년	2011/SN+년/NNB
2월28일까지	2/SN+월/NNB+28/SN+일/NNB+까지/JX
씨앤케이	씨앤케이/NNP
주식을	주식/NNG+을/JKO
5만주	5/SN+만/NR+주/NNG
이상	이상/NNG
대량으로	대량/NNG+으로/JKB
내다판	내/VV+다/EC+팔/VV+ㄴ/ETM
32명의	32/SN+명/NNB+의/JKG
계좌내역을	계좌/NNG+내역/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
입출금된	입출금/NNG+되/XSV+ㄴ/ETM
자금의	자금/NNG+의/JKG
흐름도	흐름/NNG+도/JX
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


