# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.55
metadata : {}


# id : NWRW1800000025.55.1.1
두근두근… 조마조마… 새벽잠 설쳐도, 점심 걸러도 신났다

두근두근…	두근두근/MAG+…/SE
조마조마…	조마조마/MAG+…/SE
새벽잠	새벽잠/NNG
설쳐도,	설치/VV+어도/EC+,/SP
점심	점심/NNG
걸러도	거르/VV+어도/EC
신났다	신나/VV+았/EP+다/EF


# id : NWRW1800000025.55.2.1
“어쩜 저렇게 떨지도 않고 잘하나.

“어쩜	“/SS+어쩜/MAG
저렇게	저렇/VA+게/EC
떨지도	떨/VV+지/EC+도/JX
않고	않/VX+고/EC
잘하나.	잘/MAG+하/XSV+나/EF+./SF


# id : NWRW1800000025.55.2.2
정말 감탄만 나와요.”

정말	정말/MAG
감탄만	감탄/NNG+만/JX
나와요.”	나오/VV+아요/EF+./SF+”/SS


# id : NWRW1800000025.55.3.1
‘기적의 금메달’로 시작된 하루는 ‘세계 최고기록’으로 이어지며 온종일 사람들을 들뜨게 만들었다.

‘기적의	‘/SS+기적/NNG+의/JKG
금메달’로	금메달/NNG+’/SS+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
하루는	하루/NNG+는/JX
‘세계	‘/SS+세계/NNG
최고기록’으로	최고/NNG+기록/NNG+’/SS+으로/JKB
이어지며	이어지/VV+며/EC
온종일	온종일/MAG
사람들을	사람/NNG+들/XSN+을/JKO
들뜨게	들뜨/VV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.3.2
24일 캐나다 밴쿠버 겨울올림픽에서 이승훈과 김연아의 연이은 활약에 온 국민은 기쁨의 탄성을 내질렀다.

24일	24/SN+일/NNB
캐나다	캐나다/NNP
밴쿠버	밴쿠버/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
이승훈과	이승훈/NNP+과/JC
김연아의	김연아/NNP+의/JKG
연이은	연잇/VV+은/ETM
활약에	활약/NNG+에/JKB
온	온/MMN
국민은	국민/NNG+은/JX
기쁨의	기쁨/NNG+의/JKG
탄성을	탄성/NNG+을/JKO
내질렀다.	내지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.4.1
포문을 연 것은 이날 오전 6시 반경 전해진 스피드스케이팅 1만 m 이승훈의 승전보.

포문을	포문/NNG+을/JKO
연	열/VV+ㄴ/ETM
것은	것/NNB+은/JX
이날	이날/NNG
오전	오전/NNG
6시	6/SN+시/NNB
반경	반/NNG+경/XSN
전해진	전하/VV+아/EC+지/VX+ㄴ/ETM
스피드스케이팅	스피드/NNG+스케이팅/NNG
1만	1/SN+만/NR
m	m/SW
이승훈의	이승훈/NNP+의/JKG
승전보.	승전보/NNG+./SF


# id : NWRW1800000025.55.4.2
이승훈이 네덜란드의 스벤 크라머르에게 뒤져 은메달에 머무르는 듯하다가 크라머르의 실격으로 금메달이 확정되자 새벽잠을 설치며 경기를 지켜보던 시민들은 ‘기적의 금메달’이라며 환호했다.

이승훈이	이승훈/NNP+이/JKS
네덜란드의	네덜란드/NNP+의/JKG
스벤	스벤/NNP
크라머르에게	크라머르/NNP+에게/JKB
뒤져	뒤지/VV+어/EC
은메달에	은메달/NNG+에/JKB
머무르는	머무르/VV+는/ETM
듯하다가	듯/NNB+하/XSA+다가/EC
크라머르의	크라머르/NNP+의/JKG
실격으로	실격/NNG+으로/JKB
금메달이	금메달/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
새벽잠을	새벽잠/NNG+을/JKO
설치며	설치/VV+며/EC
경기를	경기/NNG+를/JKO
지켜보던	지켜보/VV+던/ETM
시민들은	시민/NNG+들/XSN+은/JX
‘기적의	‘/SS+기적/NNG+의/JKG
금메달’이라며	금메달/NNG+’/SS+이/VCP+라며/EC
환호했다.	환호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.4.3
김정원 씨(25·여)는 “1만 m에는 이번이 겨우 세 번째 출전이라던데 정말 대단하다”며 “잠을 안 자고 경기를 본 기쁨을 감추지 못했다.

김정원	김정원/NNP
씨(25·여)는	씨/NNB+(/SS+25/SN+·/SP+여/NNG+)/SS+는/JX
“1만	“/SS+1/SN+만/NR
m에는	m/SW+에/JKB+는/JX
이번이	이번/NNG+이/JKS
겨우	겨우/MAG
세	세/MMN
번째	번/NNB+째/XSN
출전이라던데	출전/NNG+이/VCP+라던데/EC
정말	정말/MAG
대단하다”며	대단하/VA+다/EF+”/SS+며/EC
“잠을	“/SS+잠/NNG+을/JKO
안	안/MAG
자고	자/VV+고/EC
경기를	경기/NNG+를/JKO
본	보/VV+ㄴ/ETM
기쁨을	기쁨/NNG+을/JKO
감추지	감추/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.55.4.4
직장인들은 출근하자마자 이승훈의 극적인 금메달을 화제로 얘기꽃을 피웠다.

직장인들은	직장인/NNG+들/XSN+은/JX
출근하자마자	출근/NNG+하/XSV+자마자/EC
이승훈의	이승훈/NNP+의/JKG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
금메달을	금메달/NNG+을/JKO
화제로	화제/NNG+로/JKB
얘기꽃을	얘기꽃/NNG+을/JKO
피웠다.	피우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.4.5
회사원 강윤구 씨(29)는 “아침 회의에서도 이승훈 얘기가 끊이지 않았다”며 “다른 선수를 한 바퀴 이상 제치는 장면을 얘기하며 다들 대단하다고 난리였다”고 말했다.

회사원	회사원/NNG
강윤구	강윤구/NNP
씨(29)는	씨/NNB+(/SS+29/SN+)/SS+는/JX
“아침	“/SS+아침/NNG
회의에서도	회의/NNG+에서/JKB+도/JX
이승훈	이승훈/NNP
얘기가	얘기/NNG+가/JKS
끊이지	끊이/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“다른	“/SS+다른/MMD
선수를	선수/NNG+를/JKO
한	한/MMN
바퀴	바퀴/NNB
이상	이상/NNG
제치는	제치/VV+는/ETM
장면을	장면/NNG+을/JKO
얘기하며	얘기/NNG+하/XSV+며/EC
다들	다/MAG+들/XSN
대단하다고	대단하/VA+다고/EC
난리였다”고	난리/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.5.1
온라인에서도 떠들썩했다.

온라인에서도	온라인/NNG+에서/JKB+도/JX
떠들썩했다.	떠들썩하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.55.5.2
이승훈의 미니홈피도 아침부터 승전보를 축하하려는 누리꾼들로 북적였다.

이승훈의	이승훈/NNP+의/JKG
미니홈피도	미니/NNG+홈피/NNG+도/JX
아침부터	아침/NNG+부터/JX
승전보를	승전보/NNG+를/JKO
축하하려는	축하/NNG+하/XSV+려는/ETM
누리꾼들로	누리/NNG+꾼/XSN+들/XSN+로/JKB
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.5.3
오후 8시까지 하루방문 수가 14만6000여 명을 넘어섰다.

오후	오후/NNG
8시까지	8/SN+시/NNB+까지/JX
하루방문	하루/NNG+방문/NNG
수가	수/NNG+가/JKS
14만6000여	14/SN+만/NR+6000/SN+여/XSN
명을	명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.5.4
축하방명록도 3000여 개 가까이 올라왔다.

축하방명록도	축하/NNG+방명록/NNG+도/JX
3000여	3000/SN+여/XSN
개	개/NNB
가까이	가까이/MAG
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.5.5
이승훈을 진정한 우승자라고 여기고 무동을 태운 네덜란드의 동메달리스트 보프 더용은 진정한 ‘올림픽 정신’을 보여준 인물로 누리꾼들 사이에서 화제가 됐다.

이승훈을	이승훈/NNP+을/JKO
진정한	진정하/VA+ㄴ/ETM
우승자라고	우승자/NNG+이/VCP+라고/EC
여기고	여기/VV+고/EC
무동을	무동/NNG+을/JKO
태운	태우/VV+ㄴ/ETM
네덜란드의	네덜란드/NNP+의/JKG
동메달리스트	동메달리스트/NNG
보프	보프/NNP
더용은	더용/NNP+은/JX
‘올림픽	‘/SS+올림픽/NNG
정신’을	정신/NNG+’/SS+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
인물로	인물/NNG+로/JKB
누리꾼들	누리/NNG+꾼/XSN+들/XSN
사이에서	사이/NNG+에서/JKB
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.6.1
새벽부터 이어진 올림픽 열기는 점심 무렵 기다리던 김연아의 피겨스케이팅 여자 싱글 쇼트프로그램 경기와 함께 ‘최고조’에 이르렀다.

새벽부터	새벽/NNG+부터/JX
이어진	이어지/VV+ㄴ/ETM
올림픽	올림픽/NNG
열기는	열기/NNG+는/JX
점심	점심/NNG
무렵	무렵/NNB
기다리던	기다리/VV+던/ETM
김연아의	김연아/NNP+의/JKG
피겨스케이팅	피겨/NNG+스케이팅/NNG
여자	여자/NNG
싱글	싱글/NNG
쇼트프로그램	쇼트프로그램/NNG
경기와	경기/NNG+와/JKB
함께	함께/MAG
‘최고조’에	‘/SS+최/XPN+고조/NNG+’/SS+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.6.2
직장인들이 김연아의 경기장면을 보기 위해 구내식당에서 간단히 식사를 한 뒤 TV를 지켜보는 바람에 사무실 주변 식당들은 한산한 모습이었다.

직장인들이	직장인/NNG+들/XSN+이/JKS
김연아의	김연아/NNP+의/JKG
경기장면을	경기/NNG+장면/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
구내식당에서	구내식당/NNG+에서/JKB
간단히	간단히/MAG
식사를	식사/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
TV를	TV/SL+를/JKO
지켜보는	지켜보/VV+는/ETM
바람에	바람/NNB+에/JKB
사무실	사무실/NNG
주변	주변/NNG
식당들은	식당/NNG+들/XSN+은/JX
한산한	한산하/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.55.7.1
오후 1시경 바쁜 발걸음이 오가던 영등포역 대합실에서는 김연아의 경기가 시작되자 TV 앞에서 시민들이 숨을 죽였다.

오후	오후/NNG
1시경	1/SN+시/NNB+경/XSN
바쁜	바쁘/VA+ㄴ/ETM
발걸음이	발걸음/NNG+이/JKS
오가던	오가/VV+던/ETM
영등포역	영등포역/NNP
대합실에서는	대합실/NNG+에서/JKB+는/JX
김연아의	김연아/NNP+의/JKG
경기가	경기/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
TV	TV/SL
앞에서	앞/NNG+에서/JKB
시민들이	시민/NNG+들/XSN+이/JKS
숨을	숨/NNG+을/JKO
죽였다.	죽이/VV+었/EP+다/EF+./SF


