# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.335
metadata : {}


# id : NWRW1800000033.335.1.1
민주 “중수부 폐지-공수처 신설” 檢에 역공

민주	민주/NNP
“중수부	“/SS+중수부/NNG
폐지-공수처	폐지/NNG+-/SO+공수처/NNG
신설”	신설/NNG+”/SS
檢에	檢/SH+에/JKB
역공	역공/NNG


# id : NWRW1800000033.335.2.1
민주통합당은 23일 검찰의 박지원 원내대표 소환에 다시 불응하며 검찰개혁 법안을 추진하는 등 입법권을 앞세워 검찰 압박 수위를 한층 높였다.

민주통합당은	민주통합당/NNP+은/JX
23일	23/SN+일/NNB
검찰의	검찰/NNG+의/JKG
박지원	박지원/NNP
원내대표	원내/NNG+대표/NNG
소환에	소환/NNG+에/JKB
다시	다시/MAG
불응하며	불응/NNG+하/XSV+며/EC
검찰개혁	검찰/NNG+개혁/NNG
법안을	법안/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
등	등/NNB
입법권을	입법/NNG+권/XSN+을/JKO
앞세워	앞세우/VV+어/EC
검찰	검찰/NNG
압박	압박/NNG
수위를	수위/NNG+를/JKO
한층	한층/MAG
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.335.2.2
검찰 역시 박 원내대표의 세 번째 소환 통보를 예고하는 등 민주당 대 검찰의 대치가 전면전으로 확산되는 양상을 보인다.

검찰	검찰/NNG
역시	역시/MAG
박	박/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
소환	소환/NNG
통보를	통보/NNG+를/JKO
예고하는	예고/NNG+하/XSV+는/ETM
등	등/NNB
민주당	민주당/NNP
대	대/NNB
검찰의	검찰/NNG+의/JKG
대치가	대치/NNG+가/JKS
전면전으로	전면전/NNG+으로/JKB
확산되는	확산/NNG+되/XSV+는/ETM
양상을	양상/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.335.3.1
저축은행으로부터 금품을 받은 혐의를 받고 있는 박 원내대표는 이날 오전 10시로 예정된 검찰의 2차 소환 통보에 불응했다.

저축은행으로부터	저축/NNG+은행/NNG+으로부터/JKB
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
10시로	10/SN+시/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
검찰의	검찰/NNG+의/JKG
2차	2/SN+차/NNB
소환	소환/NNG
통보에	통보/NNG+에/JKB
불응했다.	불응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.335.3.2
19일에 이어 두 번째다.

19일에	19/SN+일/NNB+에/JKB
