# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.373
metadata : {}


# id : NWRW1800000036.373.1.1
“6·15, 10·4 정신 확고히 지켜야”박근혜, MB와 ‘대북관’ 차별화

“6·15,	“/SS+6/SN+·/SP+15/SN+,/SP
10·4	10/SN+·/SP+4/SN
정신	정신/NNG
확고히	확고히/MAG
지켜야”박근혜,	지키/VV+어야/EC+”/SS+박근혜/NNP+,/SP
MB와	MB/SL+와/JKB
‘대북관’	‘/SS+대북관/NNG+’/SS
차별화	차별/NNG+화/XSN


# id : NWRW1800000036.373.2.1
[한겨레] ‘핵안보 학술회의’ 참석…한명숙 “김정은과 대화를”

[한겨레]	[/SS+한겨레/NNP+]/SS
‘핵안보	‘/SS+핵/NNG+안보/NNG
학술회의’	학술회의/NNG+’/SS
참석…한명숙	참석/NNG+…/SE+한명숙/NNP
“김정은과	“/SS+김정은/NNP+과/JKB
대화를”	대화/NNG+를/JKO+”/SS


# id : NWRW1800000036.373.3.1
박근혜 새누리당 비상대책위원장은 28일 “7·4 공동성명, 남북기본합의서, 6·15 및 10·4 선언을 꿰뚫는 기본 정신은 서로 상대방을 인정하고 함께 평화를 만들어가자는 것”이라며 “저와 새누리당은 남북한이 ‘상호존중과 인정’의 정신을 확고하게 지켜야 한다는 점을 분명히 밝힌다”고 말했다.

박근혜	박근혜/NNP
새누리당	새누리당/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
28일	28/SN+일/NNB
“7·4	“/SS+7/SN+·/SP+4/SN
공동성명,	공동/NNG+성명/NNG+,/SP
남북기본합의서,	남북/NNP+기본/NNG+합의서/NNG+,/SP
6·15	6/SN+·/SP+15/SN
및	및/MAG
10·4	10/SN+·/SP+4/SN
선언을	선언/NNG+을/JKO
꿰뚫는	꿰뚫/VV+는/ETM
기본	기본/NNG
정신은	정신/NNG+은/JX
서로	서로/MAG
상대방을	상대방/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
함께	함께/MAG
평화를	평화/NNG+를/JKO
만들어가자는	만들/VV+어/EC+가/VX+자는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“저와	“/SS+저/NP+와/JC
새누리당은	새누리당/NNP+은/JX
남북한이	남북한/NNP+이/JKS
‘상호존중과	‘/SS+상호/NNG+존중/NNG+과/JC
인정’의	인정/NNG+’/SS+의/JKG
정신을	정신/NNG+을/JKO
