# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.89
metadata : {}


# id : NWRW1800000054.89.1.1
'가성비' 좋은 맛집 찾으시나요?

'가성비'	'/SS+가성비/NNG+'/SS
좋은	좋/VA+은/ETM
맛집	맛집/NNG
찾으시나요?	찾/VV+으시/EP+나/EF+요/JX+?/SF


# id : NWRW1800000054.89.2.1
미쉐린 서울판 8일 발간 앞두고 '빕 구르망 식당' 48곳 발표

미쉐린	미쉐린/NNP
서울판	서울판/NNG
8일	8/SN+일/NNB
발간	발간/NNG
앞두고	앞두/VV+고/EC
'빕	'/SS+빕/NNG
구르망	구르망/NNG
식당'	식당/NNG+'/SS
48곳	48/SN+곳/NNG
발표	발표/NNG


# id : NWRW1800000054.89.3.1
프랑스의 세계적 레스토랑 가이드 '미쉐린'이 서울에서 가성비(가격 대비 성능) 좋은 맛집 '빕 구르망(Bib Gourmand)' 레스토랑 48곳을 1일 발표했다.

프랑스의	프랑스/NNP+의/JKG
세계적	세계/NNG+적/XSN
레스토랑	레스토랑/NNG
가이드	가이드/NNG
'미쉐린'이	'/SS+미쉐린/NNP+'/SS+이/JKS
서울에서	서울/NNP+에서/JKB
가성비(가격	가성비/NNG+(/SS+가격/NNG
대비	대비/NNG
성능)	성능/NNG+)/SS
좋은	좋/VA+은/ETM
맛집	맛집/NNG
'빕	'/SS+빕/NNG
구르망(Bib	구르망/NNG+(/SS+Bib/SL
Gourmand)'	Gourmand/SL+)/SS+'/SS
48곳을	48/SN+곳/NNG+을/JKO
1일	1/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.89.3.2
빕 구르망 레스토랑은 3만5000원 이하로 훌륭한 식사를 할 수 있는 맛집을 의미한다.

빕	빕/NNG
구르망	구르망/NNG
레스토랑은	레스토랑/NNG+은/JX
3만5000원	3/SN+만/NR+5000/SN+원/NNB
이하로	이하/NNG+로/JKB
훌륭한	훌륭하/VA+ㄴ/ETM
식사를	식사/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
맛집을	맛집/NNG+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.89.3.3
지난해 36곳에서 12곳 늘었다.

지난해	지난해/NNG
36곳에서	36/SN+곳/NNG+에서/JKB
12곳	12/SN+곳/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.89.4.1
새롭게 추가된 레스토랑은 17곳이다.

새롭게	새롭/VA+게/EC
추가된	추가/NNG+되/XSV+ㄴ/ETM
레스토랑은	레스토랑/NNG+은/JX
17곳이다.	17/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.89.4.2
