# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.49
metadata : {}


# id : NWRW1800000033.49.1.1
中-EU ‘태양광 전쟁’

中-EU	中/SH+-/SO+EU/SL
‘태양광	‘/SS+태양광/NNG
전쟁’	전쟁/NNG+’/SS


# id : NWRW1800000033.49.2.1
EU“중국산 덤핑여부 조사”… 中 “불법보조금 WTO 제소”

EU“중국산	EU/SL+“/SS+중국/NNP+산/XSN
덤핑여부	덤핑/NNG+여부/NNG
조사”…	조사/NNG+”/SS+…/SE
中	中/SH
“불법보조금	“/SS+불법/NNG+보조금/NNG
WTO	WTO/SL
제소”	제소/NNG+”/SS


# id : NWRW1800000033.49.3.1
중국이 유럽연합(EU)과 ‘태양광 전쟁’에 돌입했다.

중국이	중국/NNP+이/JKS
유럽연합(EU)과	유럽연합/NNP+(/SS+EU/SL+)/SS+과/JKB
‘태양광	‘/SS+태양광/NNG
전쟁’에	전쟁/NNG+’/SS+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.49.3.2
6일 관영 신화(新華)통신에 따르면 선단양(沈丹陽) 중국 상무부 대변인은 EU 국가들이 태양광발전 설비에 불법 보조금을 주고 있다며 세계무역기구(WTO)에 제소하는 절차에 착수했다고 밝혔다.

6일	6/SN+일/NNB
관영	관영/NNG
신화(新華)통신에	신화/NNP+(/SS+新華/SH+)/SS+통신/NNG+에/JKB
따르면	따르/VV+면/EC
선단양(沈丹陽)	선단양/NNP+(/SS+沈丹陽/SH+)/SS
중국	중국/NNP
상무부	상무부/NNG
대변인은	대변인/NNG+은/JX
EU	EU/SL
국가들이	국가/NNG+들/XSN+이/JKS
태양광발전	태양광/NNG+발전/NNG
설비에	설비/NNG+에/JKB
불법	불법/NNG
보조금을	보조금/NNG+을/JKO
주고	주/VV+고/EC
있다며	있/VX+다며/EC
세계무역기구(WTO)에	세계무역기구/NNP+(/SS+WTO/SL+)/SS+에/JKB
제소하는	제소/NNG+하/XSV+는/ETM
절차에	절차/NNG+에/JKB
착수했다고	착수/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.49.4.1
선 대변인은 “유럽에서 제조된 태양광발전 설비에 몇몇 국가가 보조금을 주고 있어 중국산 광(光)전지 수출이 심각한 타격을 받고 있다”고 주장했다.

선	선/NNP
대변인은	대변인/NNG+은/JX
“유럽에서	“/SS+유럽/NNP+에서/JKB
제조된	제조/NNG+되/XSV+ㄴ/ETM
태양광발전	태양광/NNG+발전/NNG
설비에	설비/NNG+에/JKB
몇몇	몇몇/NR
