# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.124
metadata : {}


# id : NWRW1800000026.124.1.1
[울산] 현대重 '직장인 월드컵' 막 올라;부서별 190여 팀 출전

[울산]	[/SS+울산/NNP+]/SS
현대重	현대重/NNP
'직장인	'/SS+직장인/NNG
월드컵'	월드컵/NNG+'/SS
막	막/NNG
올라;부서별	오르/VV+아/EF+;/SW+부서/NNG+별/XSN
190여	190/SN+여/XSN
팀	팀/NNG
출전	출전/NNG


# id : NWRW1800000026.124.2.1
전국 최대 직장인 축구대회로 꼽히는 현대중공업의 부서별 축구대회가 지난 14일 개막됐다.

전국	전국/NNG
최대	최대/NNG
직장인	직장인/NNG
축구대회로	축구/NNG+대회/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
현대중공업의	현대중공업/NNP+의/JKG
부서별	부서/NNG+별/XSN
축구대회가	축구/NNG+대회/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
개막됐다.	개막/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.124.3.1
대회는 이 회사 190여개 부서팀이 실력에 따라 1, 2, 3부 리그로 나눠 오는 11월까지 7개월간 총 190여 경기를 치른다.

대회는	대회/NNG+는/JX
이	이/MMD
회사	회사/NNG
190여개	190/SN+여/XSN+개/NNB
부서팀이	부서/NNG+팀/NNG+이/JKS
실력에	실력/NNG+에/JKB
따라	따르/VV+아/EC
1,	1/SN+,/SP
2,	2/SN+,/SP
3부	3부/NNG
리그로	리그/NNG+로/JKB
나눠	나누/VV+어/EC
오는	오/VV+는/ETM
11월까지	11/SN+월/NNB+까지/JX
7개월간	7/SN+개월/NNB+간/XSN
총	총/MMA
190여	190/SN+여/XSN
경기를	경기/NNG+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.124.3.2
대회는 올해로 32년째 이어지고 있고, 매년 출전선수가 4000여명에 이른다.

대회는	대회/NNG+는/JX
올해로	올해/NNG+로/JKB
32년째	32/SN+년/NNB+째/XSN
이어지고	이어지/VV+고/EC
있고,	있/VX+고/EC+,/SP
매년	매년/MAG
출전선수가	출전/NNG+선수/NNG+가/JKS
4000여명에	4000/SN+여/XSN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.124.4.1
경기는 2002년 한·일 월드컵 당시 스페인과 터키 대표팀의 훈련캠프로 이용됐던 서부축구장(울산 동구 서부동)과 강동축구장(울산 북구 당사동)의 천연 잔디구장에서 펼쳐진다.

경기는	경기/NNG+는/JX
2002년	2002/SN+년/NNB
한·일	한·일/NNP
월드컵	월드컵/NNG
당시	당시/NNG
스페인과	스페인/NNP+과/JC
터키	터키/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
훈련캠프로	훈련/NNG+캠프/NNG+로/JKB
이용됐던	이용/NNG+되/XSV+었/EP+던/ETM
서부축구장(울산	서부축구장/NNP+(/SS+울산/NNP
동구	동구/NNP
서부동)과	서부동/NNP+)/SS+과/JC
강동축구장(울산	강동축구장/NNP+(/SS+울산/NNP
북구	북구/NNP
당사동)의	당사동/NNP+)/SS+의/JKG
천연	천연/NNG
잔디구장에서	잔디/NNG+구장/NNG+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.124.4.2
경기 운영은 국제축구심판 김상우 과장(조선계약운영부)을 비롯해 축구심판 자격을 갖춘 직원 10여명이 맡는다.

경기	경기/NNG
운영은	운영/NNG+은/JX
국제축구심판	국제/NNG+축구/NNG+심판/NNG
김상우	김상우/NNP
과장(조선계약운영부)을	과장/NNG+(/SS+조선/NNG+계약/NNG+운영부/NNG+)/SS+을/JKO
비롯해	비롯하/VV+아/EC
축구심판	축구/NNG+심판/NNG
자격을	자격/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
직원	직원/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000026.124.5.1
사내 부서별 축구대회지만 경기 수준도 높은 것으로 평이 나 있다.

사내	사내/NNG
부서별	부서/NNG+별/XSN
축구대회지만	축구/NNG+대회/NNG+이/VCP+지만/EC
경기	경기/NNG
수준도	수준/NNG+도/JX
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
평이	평/NNG+이/JKS
나	나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.124.5.2
회사 측은 "1부 리그의 우승·준우승 팀은 실업축구팀과 견줘도 밀리지 않을 만큼 탄탄한 실력을 갖고 있다"고 말했다.

회사	회사/NNG
측은	측/NNB+은/JX
"1부	"/SS+1/SN+부/NNB
리그의	리그/NNG+의/JKG
우승·준우승	우승/NNG+·/SP+준/XPN+우승/NNG
팀은	팀/NNG+은/JX
실업축구팀과	실업/NNG+축구팀/NNG+과/JKB
견줘도	견주/VV+어도/EC
밀리지	밀리/VV+지/EC
않을	않/VX+을/ETM
만큼	만큼/NNB
탄탄한	탄탄하/VA+ㄴ/ETM
실력을	실력/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


