# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.427
metadata : {}


# id : NWRW1800000048.427.1.1
문-안 ‘담판’ 합의 불발…주류-비주류 오늘 중앙위 총력전

문-안	문/NNP+-/SO+안/NNP
‘담판’	‘/SS+담판/NNG+’/SS
합의	합의/NNG
불발…주류-비주류	불발/NNG+…/SE+주류/NNG+-/SO+비/XPN+주류/NNG
오늘	오늘/MAG
중앙위	중앙위/NNG
총력전	총력전/NNG


# id : NWRW1800000048.427.2.1
비공개로 80분 만났지만 ‘평행선’

비공개로	비/XPN+공개/NNG+로/JKB
80분	80/SN+분/NNB
만났지만	만나/VV+았/EP+지만/EC
‘평행선’	‘/SS+평행선/NNG+’/SS


# id : NWRW1800000048.427.3.1
문 ‘재신임 투표’ 추후 더 논의키로

문	문/NNP
‘재신임	‘/SS+재/XPN+신임/NNG
투표’	투표/NNG+’/SS
추후	추후/NNG
더	더/MAG
논의키로	논의/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000048.427.4.1
안이 제시한 인재 영입 등 공감대

안이	안/NNP+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
인재	인재/NNG
영입	영입/NNG
등	등/NNB
공감대	공감대/NNG


# id : NWRW1800000048.427.5.1
새정치 오늘 공천혁신안 투표

새정치	새정치/NNP
오늘	오늘/MAG
공천혁신안	공천/NNG+혁신안/NNG
투표	투표/NNG


# id : NWRW1800000048.427.6.1
“당 쪼개지나” 우려속 주류 우세 분위기

“당	“/SS+당/NNG
쪼개지나”	쪼개지/VV+나/EF+”/SS
우려속	우려/NNG+속/NNG
주류	주류/NNG
우세	우세/NNG
분위기	분위기/NNG


# id : NWRW1800000048.427.7.1
비주류 “무기명 아니면 집단퇴장”

비주류	비/XPN+주류/NNG
“무기명	“/SS+무/XPN+기명/NNG
아니면	아니/VCN+면/EC
집단퇴장”	집단/NNG+퇴장/NNG+”/SS


# id : NWRW1800000048.427.8.1
새정치민주연합의 공천 혁신안 처리를 위한 중앙위원회 개최 여부를 두고 첨예하게 각을 세워왔던 문재인 대표와 안철수 의원이 15일 철통 보안 속에 배석자 없이 단둘이 만나 담판을 시도했으나 가시적 합의에 이르지는 못했다.

새정치민주연합의	새정치민주연합/NNP+의/JKG
공천	공천/NNG
혁신안	혁신안/NNG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중앙위원회	중앙/NNG+위원회/NNG
개최	개최/NNG
여부를	여부/NNG+를/JKO
두고	두/VV+고/EC
첨예하게	첨예하/VA+게/EC
각을	각/NNG+을/JKO
세워왔던	세우/VV+어/EC+오/VX+았/EP+던/ETM
문재인	문재인/NNP
대표와	대표/NNG+와/JC
안철수	안철수/NNP
의원이	의원/NNG+이/JKS
15일	15/SN+일/NNB
철통	철통/NNG
보안	보안/NNG
속에	속/NNG+에/JKB
배석자	배석자/NNG
없이	없이/MAG
단둘이	단둘/NNG+이/JKS
만나	만나/VV+아/EC
담판을	담판/NNG+을/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
가시적	가시/NNG+적/XSN
합의에	합의/NNG+에/JKB
이르지는	이르/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.427.8.2
이에 따라 문재인 대표 재신임의 전초전 성격을 띠는 중앙위는 16일 예정대로 개최된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
문재인	문재인/NNP
대표	대표/NNG
재신임의	재/XPN+신임/NNG+의/JKG
전초전	전초전/NNG
성격을	성격/NNG+을/JKO
띠는	띠/VV+는/ETM
중앙위는	중앙위/NNG+는/JX
16일	16/SN+일/NNB
예정대로	예정/NNG+대로/JX
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.427.8.3
하지만 안 의원이 제시한 ‘3대 혁신’ 방안에 대해 두 사람이 공감대를 형성해 중앙위 이후 함께 노력해나가기로 합의하면서 충돌로만 치닫던 새정치연합의 계파 갈등에 새로운 숨구멍이 트일 수 있을지 주목된다.

하지만	하지만/MAJ
안	안/NNP
의원이	의원/NNG+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
‘3대	‘/SS+3/SN+대/NNG
혁신’	혁신/NNG+’/SS
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
두	두/MMN
사람이	사람/NNG+이/JKS
공감대를	공감대/NNG+를/JKO
형성해	형성/NNG+하/XSV+아/EC
중앙위	중앙위/NNG
이후	이후/NNG
함께	함께/MAG
노력해나가기로	노력/NNG+하/XSV+아/EC+나가/VX+기/ETN+로/JKB
합의하면서	합의/NNG+하/XSV+면서/EC
충돌로만	충돌/NNG+로/JKB+만/JX
치닫던	치닫/VV+던/ETM
새정치연합의	새정치연합/NNP+의/JKG
계파	계파/NNG
갈등에	갈등/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
숨구멍이	숨구멍/NNG+이/JKS
트일	트이/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.427.9.1
문 대표와 안 의원은 이날 오후 6시부터 1시간20분가량 시내 모처에서 배석자 없이 만나 격의 없이 진지한 대화를 나눴다고 회동이 끝난 뒤 김성수 대변인이 전했다.

문	문/NNP
대표와	대표/NNG+와/JC
안	안/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
6시부터	6/SN+시/NNB+부터/JX
1시간20분가량	1/SN+시간/NNB+20/SN+분/NNB+가량/XSN
시내	시내/NNG
모처에서	모처/NNG+에서/JKB
배석자	배석자/NNG
없이	없이/MAG
만나	만나/VV+아/EC
격의	격의/NNG
진지한	진지하/VA+ㄴ/ETM
대화를	대화/NNG+를/JKO
나눴다고	나누/VV+었/EP+다고/EC
회동이	회동/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
김성수	김성수/NNP
대변인이	대변인/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.427.9.2
문 대표는 이 자리에서 혁신안의 의미와 함께 16일 중앙위 개최의 불가피성을 언급하며 협조를 구했으나, 안 의원은 중앙위에서의 혁신안 표결을 보류하고 중앙위를 충분한 혁신안 토론의 장으로 삼아야 한다고 주장했다.

문	문/NNP
대표는	대표/NNG+는/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
혁신안의	혁신안/NNG+의/JKG
의미와	의미/NNG+와/JKB
함께	함께/MAG
16일	16/SN+일/NNB
중앙위	중앙위/NNG
개최의	개최/NNG+의/JKG
불가피성을	불가피성/NNG+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
협조를	협조/NNG+를/JKO
구했으나,	구하/VV+았/EP+으나/EC+,/SP
안	안/NNP
의원은	의원/NNG+은/JX
중앙위에서의	중앙위/NNG+에서/JKB+의/JKG
혁신안	혁신안/NNG
표결을	표결/NNG+을/JKO
보류하고	보류/NNG+하/XSV+고/EC
중앙위를	중앙위/NNG+를/JKO
충분한	충분하/VA+ㄴ/ETM
토론의	토론/NNG+의/JKG
장으로	장/NNG+으로/JKB
삼아야	삼/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.427.9.3
재신임 투표와 관련해서도 안 의원은 철회를 요청했으나, 문 대표는 추석 전까지는 해야 한다는 입장을 고수한 것으로 전해졌다.

재신임	재/XPN+신임/NNG
투표와	투표/NNG+와/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
안	안/NNP
의원은	의원/NNG+은/JX
철회를	철회/NNG+를/JKO
요청했으나,	요청/NNG+하/XSV+았/EP+으나/EC+,/SP
문	문/NNP
대표는	대표/NNG+는/JX
추석	추석/NNG
전까지는	전/NNG+까지/JX+는/JX
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
고수한	고수/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.427.9.4
사실상 두 사람의 기존 입장 차이만 거듭 확인한 셈이다.

사실상	사실/NNG+상/XSN
두	두/MMN
사람의	사람/NNG+의/JKG
기존	기존/NNG
입장	입장/NNG
차이만	차이/NNG+만/JX
거듭	거듭/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.427.9.5
이에 따라 예정대로 16일 중앙위에서 공천 혁신안이 처리될 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
예정대로	예정/NNG+대로/JX
16일	16/SN+일/NNB
중앙위에서	중앙위/NNG+에서/JKB
공천	공천/NNG
혁신안이	혁신안/NNG+이/JKS
처리될	처리/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.427.9.6
다만 안 의원의 ‘재신임 투표 철회’ 요구에 대해 문 대표가 추후 의견을 더 나누기로 하고, 안 의원이 제시한 △낡은 진보 청산 △당내 부정부패 척결 △인재 영입 등 ‘3대 혁신’ 방안에 대해 두 사람이 공감대를 형성해 중앙위 이후 함께 노력해나가기로 합의하는 등 향후 대화의 여지를 남겨뒀다.

다만	다만/MAG
안	안/NNP
의원의	의원/NNG+의/JKG
‘재신임	‘/SS+재/XPN+신임/NNG
투표	투표/NNG
철회’	철회/NNG+’/SS
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
문	문/NNP
대표가	대표/NNG+가/JKS
추후	추후/NNG
의견을	의견/NNG+을/JKO
더	더/MAG
나누기로	나누/VV+기/ETN+로/JKB
하고,	하/VV+고/EC+,/SP
의원이	의원/NNG+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
△낡은	△/SW+낡/VV+은/ETM
진보	진보/NNG
청산	청산/NNG
△당내	△/SW+당내/NNG
부정부패	부정부패/NNG
척결	척결/NNG
△인재	△/SW+인재/NNG
영입	영입/NNG
등	등/NNB
‘3대	‘/SS+3/SN+대/NNG
혁신’	혁신/NNG+’/SS
방안에	방안/NNG+에/JKB
두	두/MMN
사람이	사람/NNG+이/JKS
공감대를	공감대/NNG+를/JKO
형성해	형성/NNG+하/XSV+아/EC
중앙위	중앙위/NNG
이후	이후/NNG
함께	함께/MAG
노력해나가기로	노력/NNG+하/XSV+아/EC+나가/VX+기/ETN+로/JKB
합의하는	합의/NNG+하/XSV+는/ETM
향후	향후/NNG
대화의	대화/NNG+의/JKG
여지를	여지/NNG+를/JKO
남겨뒀다.	남기/VV+어/EC+두/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.427.10.1
두 사람의 만남에 앞서 당 안에서는 혁신안 처리를 위한 중앙위 개최를 하루 앞두고 주류와 비주류가 각각 공개·비공개 회동 중간중간 전화와 문자메시지를 돌리며 세 결집을 위한 총력전을 벌이는 모습이 연출되기도 했다.

두	두/MMN
사람의	사람/NNG+의/JKG
만남에	만남/NNG+에/JKB
앞서	앞서/VV+어/EC
당	당/NNG
안에서는	안/NNG+에서/JKB+는/JX
혁신안	혁신안/NNG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
중앙위	중앙위/NNG
개최를	개최/NNG+를/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
주류와	주류/NNG+와/JC
비주류가	비/XPN+주류/NNG+가/JKS
각각	각각/MAG
공개·비공개	공개/NNG+·/SP+비/XPN+공개/NNG
회동	회동/NNG
중간중간	중간중간/NNG
