# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.26
metadata : {}


# id : NWRW1800000053.26.1.1
출범 10년만에 中企 보물창고된 ‘기업마당’

출범	출범/NNG
10년만에	10/SN+년/NNB+만/NNB+에/JKB
中企	中企/SH
보물창고된	보물/NNG+창고/NNG+되/XSV+ㄴ/ETM
‘기업마당’	‘/SS+기업/NNG+마당/NNG+’/SS


# id : NWRW1800000053.26.2.1
육아와 살림에만 전념하다 7년 만에 재입사한 김민정 씨(43)는 회사 생활이 낯설기만 했다.

육아와	육아/NNG+와/JC
살림에만	살림/NNG+에/JKB+만/JX
전념하다	전념/NNG+하/XSV+다/EC
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
재입사한	재/XPN+입사/NNG+하/XSV+ㄴ/ETM
김민정	김민정/NNP
씨(43)는	씨/NNB+(/SS+43/SN+)/SS+는/JX
회사	회사/NNG
생활이	생활/NNG+이/JKS
낯설기만	낯설/VA+기/ETN+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.26.2.2
김 씨의 일과는 사무실을 청소하고 하루 한 번 금전 출납장을 상사에게 보고하는 것이 전부였다.

김	김/NNP
씨의	씨/NNB+의/JKG
일과는	일과/NNG+는/JX
사무실을	사무실/NNG+을/JKO
청소하고	청소/NNG+하/XSV+고/EC
하루	하루/NNG
한	한/MMN
번	번/NNB
금전	금전/NNG
출납장을	출납장/NNG+을/JKO
상사에게	상사/NNG+에게/JKB
보고하는	보고/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
전부였다.	전부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.26.3.1
불안해하던 김 씨는 새로운 일을 찾기 위해 중소기업지원정보가 있는 기업마당(bizinfo.go.kr·사진)에 접속하기 시작했다.

불안해하던	불안/NNG+하/XSA+아/EC+하/VX+던/ETM
김	김/NNP
씨는	씨/NNB+는/JX
새로운	새롭/VA+ㄴ/ETM
일을	일/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
중소기업지원정보가	중소기업/NNG+지원/NNG+정보/NNG+가/JKS
있는	있/VA+는/ETM
기업마당(bizinfo.go.kr·사진)에	기업/NNG+마당/NNG+(/SS+bizinfo/SL+./SP+go/SL+./SP+kr/SL+·/SP+사진/NNG+)/SS+에/JKB
접속하기	접속/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.26.3.2
평소 수출에 관심이 있던 김 씨는 2009년 내수기업이 수출기업으로 전환하도록 돕는 ‘수출기업화 사업’을 찾아냈다.

평소	평소/NNG
수출에	수출/NNG+에/JKB
관심이	관심/NNG+이/JKS
있던	있/VA+던/ETM
김	김/NNP
씨는	씨/NNB+는/JX
2009년	2009/SN+년/NNB
내수기업이	내수/NNG+기업/NNG+이/JKS
수출기업으로	수출/NNG+기업/NNG+으로/JKB
전환하도록	전환/NNG+하/XSV+도록/EC
돕는	돕/VV+는/ETM
‘수출기업화	‘/SS+수출/NNG+기업/NNG+화/XSN
사업’을	사업/NNG+’/SS+을/JKO
