# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.116
metadata : {}


# id : NWRW1800000056.116.1.1
조선왕실 보물들은 포장하는 과정도 예술이었다

조선왕실	조선/NNP+왕실/NNG
보물들은	보물/NNG+들/XSN+은/JX
포장하는	포장/NNG+하/XSV+는/ETM
과정도	과정/NNG+도/JX
예술이었다	예술/NNG+이/VCP+었/EP+다/EF


# id : NWRW1800000056.116.2.1
[한겨레] 국립고궁박물관의 특별전 ‘조선왕실의 포장예술’ 눈길

[한겨레]	[/SS+한겨레/NNP+]/SS
국립고궁박물관의	국립고궁박물관/NNP+의/JKG
특별전	특별전/NNG
‘조선왕실의	‘/SS+조선/NNP+왕실/NNG+의/JKG
포장예술’	포장/NNG+예술/NNG+’/SS
눈길	눈길/NNG


# id : NWRW1800000056.116.3.1
국내 처음 왕실 물품 포장기술 조명하는 이색전시

국내	국내/NNG
처음	처음/NNG
왕실	왕실/NNG
물품	물품/NNG
포장기술	포장/NNG+기술/NNG
조명하는	조명/NNG+하/XSV+는/ETM
이색전시	이색/NNG+전시/NNG


# id : NWRW1800000056.116.4.1
옥책, 서책 쌌던 보자기, 함, 패물포장용구, 의궤 등 나와

옥책,	옥책/NNG+,/SP
서책	서책/NNG
쌌던	싸/VV+았/EP+던/ETM
보자기,	보자기/NNG+,/SP
함,	함/NNG+,/SP
패물포장용구,	패물/NNG+포장/NNG+용구/NNG+,/SP
의궤	의궤/NNG
등	등/NNB
나와	나오/VV+아/EF


# id : NWRW1800000056.116.5.1
조선시대에는 막대한 수량의 왕실 보물들을 어떻게 포장해 보관했을까.

조선시대에는	조선시대/NNG+에/JKB+는/JX
막대한	막대하/VA+ㄴ/ETM
수량의	수량/NNG+의/JKG
왕실	왕실/NNG
보물들을	보물/NNG+들/XSN+을/JKO
어떻게	어떻/VA+게/EC
포장해	포장/NNG+하/XSV+아/EC
보관했을까.	보관/NNG+하/XSV+았/EP+을까/EF+./SF


# id : NWRW1800000056.116.6.1
왕실보물들은 종류가 다양했다.

왕실보물들은	왕실/NNG+보물/NNG+들/XSN+은/JX
종류가	종류/NNG+가/JKS
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000056.116.6.2
왕비를 책봉하거나 왕과 왕비·대비 등에게 존호(덕을 기리며 바치는 칭호), 시호(죽은 뒤에 행적을 기리는 칭호) 등을 올릴 때 내용을 새겨 첩으로 엮은 '옥책'(玉冊)과 의례용 인장인 어보, 임금과 왕족의 글씨가 쓰여진 서책 등이 주종이었다.

왕비를	왕비/NNG+를/JKO
책봉하거나	책봉/NNG+하/XSV+거나/EC
왕과	왕/NNG+과/JC
왕비·대비	왕비/NNG+·/SP+대비/NNG
등에게	등/NNB+에게/JKB
존호(덕을	존호/NNG+(/SS+덕/NNG+을/JKO
기리며	기리/VV+며/EC
바치는	바치/VV+는/ETM
칭호),	칭호/NNG+)/SS+,/SP
시호(죽은	시호/NNG+(/SS+죽/VV+은/ETM
뒤에	뒤/NNG+에/JKB
행적을	행적/NNG+을/JKO
기리는	기리/VV+는/ETM
칭호)	칭호/NNG+)/SS
등을	등/NNB+을/JKO
올릴	올리/VV+ㄹ/ETM
때	때/NNG
내용을	내용/NNG+을/JKO
새겨	새기/VV+어/EC
첩으로	첩/NNG+으로/JKB
엮은	엮/VV+은/ETM
'옥책'(玉冊)과	'/SS+옥책/NNG+'/SS+(/SS+玉冊/SH+)/SS+과/JC
의례용	의례/NNG+용/XSN
인장인	인장/NNG+이/VCP+ㄴ/ETM
어보,	어보/NNG+,/SP
임금과	임금/NNG+과/JC
왕족의	왕족/NNG+의/JKG
글씨가	글씨/NNG+가/JKS
쓰여진	쓰이/VV+어/EC+지/VX+ㄴ/ETM
서책	서책/NNG
등이	등/NNB+이/JKS
주종이었다.	주종/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.116.6.3
포장의 재료나 기법도 정교하고 치밀했다.

포장의	포장/NNG+의/JKG
재료나	재료/NNG+나/JC
기법도	기법/NNG+도/JX
정교하고	정교하/VA+고/EC
치밀했다.	치밀하/VA+았/EP+다/EF+./SF


# id : NWRW1800000056.116.6.4
접어서 보관하는 옥책만 해도 파손을 막으려고 옥책 첩 사이에 솜보자기인 ‘격유보’를 끼워넣었고, 비단보자기로 싸서 보관용 상자인 갑(匣)에 넣었다.

접어서	접/VV+어서/EC
보관하는	보관/NNG+하/XSV+는/ETM
옥책만	옥책/NNG+만/JX
해도	하/VV+아도/EC
파손을	파손/NNG+을/JKO
막으려고	막/VV+으려고/EC
옥책	옥책/NNG
첩	첩/NNG
사이에	사이/NNG+에/JKB
솜보자기인	솜/NNG+보자기/NNG+이/VCP+ㄴ/ETM
‘격유보’를	‘/SS+격유보/NNG+’/SS+를/JKO
끼워넣었고,	끼우/VV+어/EC+넣/VV+었/EP+고/EC+,/SP
비단보자기로	비단/NNG+보자기/NNG+로/JKB
싸서	싸/VV+아서/EC
보관용	보관/NNG+용/XSN
상자인	상자/NNG+이/VCP+ㄴ/ETM
갑(匣)에	갑/NNG+(/SS+匣/SH+)/SS+에/JKB
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.116.6.5
갑 또한 붉은 칠을 한 내함과 이를 다시 집어넣는 흑색 외궤가 별도로 있었고, 포장 과정 자체도 ‘봉과’라는 국가의례 절차에 따라 진행될 만큼 격식을 중시했다.

갑	갑/NNG
또한	또한/MAG
붉은	붉/VA+은/ETM
칠을	칠/NNG+을/JKO
한	하/VV+ㄴ/ETM
내함과	내함/NNG+과/JC
이를	이/NP+를/JKO
다시	다시/MAG
집어넣는	집어넣/VV+는/ETM
흑색	흑색/NNG
외궤가	외궤/NNG+가/JKS
별도로	별도/NNG+로/JKB
있었고,	있/VA+었/EP+고/EC+,/SP
포장	포장/NNG
과정	과정/NNG
자체도	자체/NNG+도/JX
‘봉과’라는	‘/SS+봉과/NNG+’/SS+이/VCP+라는/ETM
국가의례	국가/NNG+의례/NNG
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
진행될	진행/NNG+되/XSV+ㄹ/ETM
만큼	만큼/NNB
격식을	격식/NNG+을/JKO
중시했다.	중시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.116.7.1
서울 경복궁 국립고궁박물관에서 27일 개막하는 특별전 ‘조선왕실의 포장예술’은 격조높은 왕실의 물품 포장기술을 처음 집중적으로 다루는 이색 전시회다.

서울	서울/NNP
경복궁	경복궁/NNP
국립고궁박물관에서	국립고궁박물관/NNP+에서/JKB
27일	27/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
특별전	특별전/NNG
‘조선왕실의	‘/SS+조선/NNP+왕실/NNG+의/JKG
포장예술’은	포장/NNG+예술/NNG+’/SS+은/JX
격조높은	격조/NNG+높/VA+은/ETM
왕실의	왕실/NNG+의/JKG
물품	물품/NNG
포장기술을	포장/NNG+기술/NNG+을/JKO
처음	처음/NNG
집중적으로	집중/NNG+적/XSN+으로/JKB
다루는	다루/VV+는/ETM
이색	이색/NNG
전시회다.	전시회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.116.7.2
전시장에는 옥책을 쌌던 비단보자기와 현종의 딸 명안공주(1667∼1687)의 혼례품을 감싼 검은색 구름무늬 보자기, 책을 넣었던 다양한 상자류, 영친왕비의 패물 포장용구 등이 나왔다.

전시장에는	전시장/NNG+에/JKB+는/JX
옥책을	옥책/NNG+을/JKO
쌌던	싸/VV+았/EP+던/ETM
비단보자기와	비단/NNG+보자기/NNG+와/JC
현종의	현종/NNP+의/JKG
딸	딸/NNG
명안공주(1667∼1687)의	명안/NNP+공주/NNG+(/SS+1667/SN+∼/SO+1687/SN+)/SS+의/JKG
혼례품을	혼례품/NNG+을/JKO
감싼	감싸/VV+ㄴ/ETM
검은색	검은색/NNG
구름무늬	구름무늬/NNG
보자기,	보자기/NNG+,/SP
책을	책/NNG+을/JKO
넣었던	넣/VV+었/EP+던/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
상자류,	상자/NNG+류/XSN+,/SP
영친왕비의	영친왕비/NNP+의/JKG
패물	패물/NNG
포장용구	포장/NNG+용구/NNG
등이	등/NNB+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.116.7.3
헌종의 후궁 경빈 김씨(1831∼1907)가 주요 기일에 입는 궁중옷들을 궁체로 쓴 서적과 이 책을 담은 상자, 포장된 혼례품을 옮기는 장면을 그린 왕실기록 문서인 의궤, 신정왕후(1808∼1890)의 팔순 잔치를 그린 정해진찬도 병풍도 눈길을 모은다.

헌종의	헌종/NNP+의/JKG
후궁	후궁/NNG
경빈	경빈/NNP
김씨(1831∼1907)가	김/NNP+씨/NNB+(/SS+1831/SN+∼/SO+1907/SN+)/SS+가/JKS
주요	주요/NNG
기일에	기일/NNG+에/JKB
입는	입/VV+는/ETM
궁중옷들을	궁중/NNG+옷/NNG+들/XSN+을/JKO
궁체로	궁체/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
서적과	서적/NNG+과/JC
이	이/MMD
책을	책/NNG+을/JKO
담은	담/VV+은/ETM
상자,	상자/NNG+,/SP
포장된	포장/NNG+되/XSV+ㄴ/ETM
혼례품을	혼례품/NNG+을/JKO
옮기는	옮기/VV+는/ETM
장면을	장면/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
왕실기록	왕실/NNG+기록/NNG
문서인	문서/NNG+이/VCP+ㄴ/ETM
의궤,	의궤/NNG+,/SP
신정왕후(1808∼1890)의	신정/NNP+왕후/NNG+(/SS+1808/SN+∼/SO+1890/SN+)/SS+의/JKG
팔순	팔순/NNG
잔치를	잔치/NNG+를/JKO
정해진찬도	정해진찬도/NNP
병풍도	병풍/NNG+도/JX
눈길을	눈길/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.116.7.4
이밖에 지하 기획전시실에는 현대 공예작가 24명이 왕실 포장문화에서 영감을 받아 제작한 현대 작품들도 감상할 수 있다.

이밖에	이/NP+밖/NNG+에/JKB
지하	지하/NNG
기획전시실에는	기획/NNG+전시실/NNG+에/JKB+는/JX
현대	현대/NNG
공예작가	공예/NNG+작가/NNG
24명이	24/SN+명/NNB+이/JKS
왕실	왕실/NNG
포장문화에서	포장/NNG+문화/NNG+에서/JKB
영감을	영감/NNG+을/JKO
받아	받/VV+아/EC
제작한	제작/NNG+하/XSV+ㄴ/ETM
작품들도	작품/NNG+들/XSN+도/JX
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.116.7.5
단순한 겉장식이 아니라 내용물의 중요성을 드러내는 상징으로서 중시됐던 왕실 포장문화의 예술성을 실감할 수 있는 자리다.

단순한	단순/NNG+하/XSA+ㄴ/ETM
겉장식이	겉장식/NNG+이/JKC
아니라	아니/VCN+라/EC
내용물의	내용물/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
드러내는	드러내/VV+는/ETM
상징으로서	상징/NNG+으로서/JKB
중시됐던	중시/NNG+되/XSV+었/EP+던/ETM
왕실	왕실/NNG
포장문화의	포장/NNG+문화/NNG+의/JKG
예술성을	예술/NNG+성/XSN+을/JKO
실감할	실감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.116.7.6
9월 3일까지.

9월	9/SN+월/NNB
3일까지.	3/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000056.116.7.7
7월 13일, 8월 10일에는 조선왕실의 포장 등을 주제로 특별강연이 열리며 여름방학 기간에는 초등학생 체험 활동도 꾸려진다.

7월	7/SN+월/NNB
13일,	13/SN+일/NNB+,/SP
8월	8/SN+월/NNB
10일에는	10/SN+일/NNB+에/JKB+는/JX
조선왕실의	조선/NNP+왕실/NNG+의/JKG
포장	포장/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
