# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.186
metadata : {}


# id : NWRW1800000025.186.1.1
[책의 향기]‘누군가의 글쓰기’ 엿보다

[책의	[/SS+책/NNG+의/JKG
향기]‘누군가의	향기/NNG+]/SS+‘/SS+누구/NP+이/VCP+ㄴ가/EF+의/JKG
글쓰기’	글쓰기/NNG+’/SS
엿보다	엿보/VV+다/EF


# id : NWRW1800000025.186.2.1
◇ 바셀린 붓다·정영문 지음·276쪽·1만2000원·자음과모음

◇	◇/SW
바셀린	바셀린/NNP
붓다·정영문	붓다/NNP+·/SP+정영문/NNP
지음·276쪽·1만2000원·자음과모음	짓/VV+음/ETN+·/SP+276/SN+쪽/NNG+·/SP+1/SN+만/NR+2000/SN+원/NNB+·/SP+자음과모음/NNP


# id : NWRW1800000025.186.3.1
한밤중에서 새벽으로 넘어가는 시간.

한밤중에서	한/XPN+밤중/NNG+에서/JKB
새벽으로	새벽/NNG+으로/JKB
넘어가는	넘어가/VV+는/ETM
시간.	시간/NNG+./SF


# id : NWRW1800000025.186.3.2
잠 못 이루는 서술자가 자신이 쓰게 될 글에 대해 골똘히 생각하는 첫 장면에서부터 이 소설은 메타텍스트적이다.

잠	잠/NNG
못	못/MAG
이루는	이루/VV+는/ETM
서술자가	서술자/NNG+가/JKS
자신이	자신/NNG+이/JKS
쓰게	쓰/VV+게/EC
될	되/VV+ㄹ/ETM
글에	글/NNG+에/JKB
대해	대하/VV+아/EC
골똘히	골똘히/MAG
생각하는	생각/NNG+하/XSV+는/ETM
첫	첫/MMN
장면에서부터	장면/NNG+에서부터/JKB
이	이/MMD
소설은	소설/NNG+은/JX
메타텍스트적이다.	메타텍스트/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.186.3.3
이후에 전개되는 이야기는 이렇다 할 사건이 없는 주변의 사소한 소리, 움직임에 관한 기록이거나 과거에 겪은 일들에 대한 회상이다.

이후에	이후/NNG+에/JKB
전개되는	전개/NNG+되/XSV+는/ETM
이야기는	이야기/NNG+는/JX
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
사건이	사건/NNG+이/JKS
없는	없/VA+는/ETM
주변의	주변/NNG+의/JKG
사소한	사소하/VA+ㄴ/ETM
소리,	소리/NNG+,/SP
움직임에	움직임/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기록이거나	기록/NNG+이/VCP+거나/EC
과거에	과거/NNG+에/JKB
겪은	겪/VV+은/ETM
일들에	일/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
회상이다.	회상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.186.3.4
