# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.244
metadata : {}


# id : NWRW1800000041.244.1.1
매킬로이, 파혼충격 사흘 뒤 우승감격

매킬로이,	매킬로이/NNP+,/SP
파혼충격	파혼/NNG+충격/NNG
사흘	사흘/NNG
뒤	뒤/NNG
우승감격	우승/NNG+감격/NNG


# id : NWRW1800000041.244.2.1
유럽투어 1년반만에 트로피 보즈니아키는 별 반응 없어

유럽투어	유럽/NNP+투어/NNG
1년반만에	1/SN+년/NNB+반/NNG+만/NNB+에/JKB
트로피	트로피/NNG
보즈니아키는	보즈니아키/NNP+는/JX
별	별/MMA
반응	반응/NNG
없어	없/VA+어/EF


# id : NWRW1800000041.244.3.1
사랑에 실패한 사내는 용서받을 수 있어도 이별에 실패한 사내는 용서받을 수 없다.

사랑에	사랑/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
사내는	사내/NNG+는/JX
용서받을	용서/NNG+받/XSV+을/ETM
수	수/NNB
있어도	있/VA+어도/EC
이별에	이별/NNG+에/JKB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.244.3.2
문자 그대로 죽을 것처럼 힘들지만 이겨내야 하는 게 이별이다.

문자	문자/NNG
그대로	그대로/MAG
죽을	죽/VV+을/ETM
것처럼	것/NNB+처럼/JKB
힘들지만	힘들/VA+지만/EC
이겨내야	이기/VV+어/EC+내/VX+어야/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
이별이다.	이별/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.244.3.3
남자는 이별하는 법을 배울 때 소년에서 사내가 된다.

남자는	남자/NNG+는/JX
이별하는	이별/NNG+하/XSV+는/ETM
법을	법/NNG+을/JKO
배울	배우/VV+ㄹ/ETM
때	때/NNG
소년에서	소년/NNG+에서/JKB
사내가	사내/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.244.3.4
로리 매킬로이(25·북아일랜드)가 18개월 만에 차지한 ‘그린재킷’이 남다른 이유다.

로리	로리/NNP
매킬로이(25·북아일랜드)가	매킬로이/NNP+(/SS+25/SN+·/SP+북아일랜드/NNP+)/SS+가/JKS
18개월	18/SN+개월/NNB
만에	만/NNB+에/JKB
차지한	차지/NNG+하/XSV+ㄴ/ETM
‘그린재킷’이	‘/SS+그린재킷/NNG+’/SS+이/JKS
남다른	남다르/VA+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.244.4.1
매킬로이는 25일(현지 시간) 잉글랜드 서리 웬트워스 골프장에서 끝난 유럽프로골프투어 BMW PGA챔피언십에서 최종합계 14언더파 274타로 우승을 차지했다.

매킬로이는	매킬로이/NNP+는/JX
25일(현지	25/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
잉글랜드	잉글랜드/NNP
서리	서리/NNP
웬트워스	웬트워스/NNP
골프장에서	골프장/NNG+에서/JKB
끝난	끝나/VV+ㄴ/ETM
유럽프로골프투어	유럽프로골프투어/NNG
BMW	BMW/SL
PGA챔피언십에서	PGA/SL+챔피언십/NNG+에서/JKB
최종합계	최종/NNG+합계/NNG
14언더파	14/SN+언더/NNG+파/NNG
274타로	274/SN+타/NNG+로/JKB
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.244.4.2
매킬로이는 선두에게 7타 뒤진 채로 이날 경기를 시작했지만 이글 1개와 버디 6개를 잡아내며 역전 우승에 성공했다.

매킬로이는	매킬로이/NNP+는/JX
선두에게	선두/NNG+에게/JKB
7타	7/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
채로	채/NNB+로/JKB
이날	이날/NNG
경기를	경기/NNG+를/JKO
시작했지만	시작/NNG+하/XSV+았/EP+지만/EC
이글	이글/NNG
1개와	1/SN+개/NNB+와/JC
버디	버디/NNG
6개를	6/SN+개/NNB+를/JKO
잡아내며	잡아내/VV+며/EC
역전	역전/NNG
우승에	우승/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.244.4.3
매킬로이가 유럽프로골프투어에서 우승한 건 2012년 11월 월드투어 챔피언십 이후 1년 6개월 만이다.

매킬로이가	매킬로이/NNP+가/JKS
유럽프로골프투어에서	유럽프로골프투어/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
월드투어	월드/NNG+투어/NNG
챔피언십	챔피언십/NNG
이후	이후/NNG
1년	1/SN+년/NNB
6개월	6/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.244.5.1
22일 테니스 스타 캐럴라인 보즈니아키(24·덴마크)와 파혼 소식을 알린 매킬로이는 우승 후 기자회견에서 “롤러코스터에 탄 것처럼 한 주가 지나갔다”며 “어떻게 우승한 건지 나도 모르겠지만 어쨌든 해냈다”고 말했다.

22일	22/SN+일/NNB
테니스	테니스/NNG
스타	스타/NNG
캐럴라인	캐럴라인/NNP
보즈니아키(24·덴마크)와	보즈니아키/NNP+(/SS+24/SN+·/SP+덴마크/NNP+)/SS+와/JKB
파혼	파혼/NNG
소식을	소식/NNG+을/JKO
알린	알리/VV+ㄴ/ETM
매킬로이는	매킬로이/NNP+는/JX
우승	우승/NNG
후	후/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“롤러코스터에	“/SS+롤러코스터/NNG+에/JKB
탄	타/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
한	한/MMN
주가	주/NNB+가/JKS
지나갔다”며	지나가/VV+았/EP+다/EF+”/SS+며/EC
“어떻게	“/SS+어떻/VA+게/EC
우승한	우승/NNG+하/XSV+ㄴ/ETM
건지	거/NNB+이/VCP+ㄴ지/EC
나도	나/NP+도/JX
모르겠지만	모르/VV+겠/EP+지만/EC
어쨌든	어쨌든/MAG
해냈다”고	해내/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.244.5.2
이어 “(이별 후) 나사가 풀린 것 같아서 정신을 집중할 곳을 찾았는데 그게 바로 골프였다.

이어	이어/MAG
“(이별	“/SS+(/SS+이별/NNG
후)	후/NNG+)/SS
나사가	나사/NNG+가/JKS
풀린	풀리/VV+ㄴ/ETM
것	것/NNB
같아서	같/VA+아서/EC
정신을	정신/NNG+을/JKO
집중할	집중/NNG+하/XSV+ㄹ/ETM
곳을	곳/NNG+을/JKO
찾았는데	찾/VV+았/EP+는데/EC
그게	그거/NP+이/JKS
바로	바로/MAG
골프였다.	골프/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.244.5.3
골프는 4, 5시간 동안 평온한 마음을 유지할 수 있도록 해줬다”며 “내가 기록할 수 있는 적은 타수로 매 홀을 마치는 데만 집중한 결과 이런 행복이 찾아왔다.

골프는	골프/NNG+는/JX
4,	4/SN+,/SP
5시간	5/SN+시간/NNB
동안	동안/NNG
평온한	평온/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해줬다”며	하/VX+아/EC+주/VX+었/EP+다/EF+”/SS+며/EC
“내가	“/SS+내/NP+가/JKS
기록할	기록/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
적은	적/VA+은/ETM
타수로	타수/NNG+로/JKB
매	매/MMD
홀을	홀/NNG+을/JKO
마치는	마치/VV+는/ETM
데만	데/NNB+만/JX
집중한	집중/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이런	이런/MMD
행복이	행복/NNG+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.244.5.4
지금은 행복하다고 말하는 게 맞을 것 같다”고 말했다.

지금은	지금/NNG+은/JX
행복하다고	행복/NNG+하/XSA+다고/EC
말하는	말/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞을	맞/VV+을/ETM
것	것/NNB
