# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.22
metadata : {}


# id : NWRW1800000049.22.1.1
달아오르는 중소형 보험사 인수전

달아오르는	달아오르/VV+는/ETM
중소형	중소형/NNG
보험사	보험사/NNG
인수전	인수전/NNG


# id : NWRW1800000049.22.2.1
생명보험업계 새판짜기 시동

생명보험업계	생명/NNG+보험업/NNG+계/XSN
새판짜기	새판/NNG+짜/VV+기/ETN
시동	시동/NNG


# id : NWRW1800000049.22.3.1
저금리로 수익성 악화에 직면한 생명보험업계의 ‘새판 짜기’가 본격화하고 있다.

저금리로	저/XPN+금리/NNG+로/JKB
수익성	수익/NNG+성/XSN
악화에	악화/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
생명보험업계의	생명/NNG+보험업/NNG+계/XSN+의/JKG
‘새판	‘/SS+새판/NNG
짜기’가	짜/VV+기/ETN+’/SS+가/JKS
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.22.3.2
미래에셋생명이 PCA생명 인수를 추진하는 데 이어 ING생명, KDB생명 등의 매각 작업이 속도를 낼 것으로 예상되는 가운데 한국 보험사 인수를 노리는 중국계 보험사들의 입질도 늘어날 것으로 보인다.

미래에셋생명이	미래에셋생명/NNP+이/JKS
PCA생명	PCA생명/NNP
인수를	인수/NNG+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
데	데/NNB
이어	잇/VV+어/EC
ING생명,	ING생명/NNP+,/SP
KDB생명	KDB생명/NNP
등의	등/NNB+의/JKG
매각	매각/NNG
작업이	작업/NNG+이/JKS
속도를	속도/NNG+를/JKO
낼	내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
가운데	가운데/NNG
한국	한국/NNP
보험사	보험사/NNG
노리는	노리/VV+는/ETM
중국계	중국/NNP+계/XSN
보험사들의	보험사/NNG+들/XSN+의/JKG
입질도	입/NNG+질/XSN+도/JX
늘어날	늘어나/VV+ㄹ/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.22.4.1
3일 금융권에 따르면 미래에셋생명은 최근 PCA생명의 매각 주간사회사인 골드만삭스에 인수의향서를 제출했다.

3일	3/SN+일/NNB
금융권에	금융/NNG+권/XSN+에/JKB
따르면	따르/VV+면/EC
미래에셋생명은	미래에셋생명/NNP+은/JX
최근	최근/NNG
PCA생명의	PCA생명/NNP+의/JKG
매각	매각/NNG
주간사회사인	주간사/NNG+회사/NNG+이/VCP+ㄴ/ETM
골드만삭스에	골드만삭스/NNP+에/JKB
인수의향서를	인수/NNG+의향서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.4.2
